stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_ukr_rus,full_model,both_correct,1019,1.0
original,ss_ukr_rus,full_model,b_only,839,1.0
original,ss_ukr_rus,full_model,c_only,530,0.0
original,ss_ukr_rus,full_model,both_wrong,684,0.0
original,ss_ukr_rus,raw_center/prototype,both_correct,1019,0.6084396467124632
original,ss_ukr_rus,raw_center/prototype,b_only,839,0.5482717520858165
original,ss_ukr_rus,raw_center/prototype,c_only,530,0.5207547169811321
original,ss_ukr_rus,raw_center/prototype,both_wrong,684,0.4546783625730994
original,ss_ukr_rus,raw_center/ridge,both_correct,1019,0.6231599607458292
original,ss_ukr_rus,raw_center/ridge,b_only,839,0.5065554231227652
original,ss_ukr_rus,raw_center/ridge,c_only,530,0.5471698113207547
original,ss_ukr_rus,raw_center/ridge,both_wrong,684,0.4093567251461988
original,ss_ukr_rus,raw_context/prototype,both_correct,1019,0.6987242394504416
original,ss_ukr_rus,raw_context/prototype,b_only,839,0.6603098927294399
original,ss_ukr_rus,raw_context/prototype,c_only,530,0.4018867924528302
original,ss_ukr_rus,raw_context/prototype,both_wrong,684,0.3406432748538012
original,ss_ukr_rus,raw_context/ridge,both_correct,1019,0.6997055937193327
original,ss_ukr_rus,raw_context/ridge,b_only,839,0.5744934445768772
original,ss_ukr_rus,raw_context/ridge,c_only,530,0.5245283018867924
original,ss_ukr_rus,raw_context/ridge,both_wrong,684,0.30701754385964913
original,ss_ukr_rus,raw_joint/prototype,both_correct,1019,0.6113837095191365
original,ss_ukr_rus,raw_joint/prototype,b_only,839,0.5864123957091776
original,ss_ukr_rus,raw_joint/prototype,c_only,530,0.48867924528301887
original,ss_ukr_rus,raw_joint/prototype,both_wrong,684,0.4239766081871345
original,ss_ukr_rus,raw_joint/ridge,both_correct,1019,0.6516192345436702
original,ss_ukr_rus,raw_joint/ridge,b_only,839,0.531585220500596
original,ss_ukr_rus,raw_joint/ridge,c_only,530,0.5452830188679245
original,ss_ukr_rus,raw_joint/ridge,both_wrong,684,0.38596491228070173
original,ss_ukr_rus,S0_conv_center/prototype,both_correct,1019,0.7301275760549558
original,ss_ukr_rus,S0_conv_center/prototype,b_only,839,0.7199046483909416
original,ss_ukr_rus,S0_conv_center/prototype,c_only,530,0.47735849056603774
original,ss_ukr_rus,S0_conv_center/prototype,both_wrong,684,0.47076023391812866
original,ss_ukr_rus,S0_conv_center/ridge,both_correct,1019,0.7477919528949951
original,ss_ukr_rus,S0_conv_center/ridge,b_only,839,0.7234803337306317
original,ss_ukr_rus,S0_conv_center/ridge,c_only,530,0.47924528301886793
original,ss_ukr_rus,S0_conv_center/ridge,both_wrong,684,0.47514619883040937
original,ss_ukr_rus,S0_pool/prototype,both_correct,1019,0.8047105004906772
original,ss_ukr_rus,S0_pool/prototype,b_only,839,0.7651966626936829
original,ss_ukr_rus,S0_pool/prototype,c_only,530,0.32452830188679244
original,ss_ukr_rus,S0_pool/prototype,both_wrong,684,0.23830409356725146
original,ss_ukr_rus,S0_pool/ridge,both_correct,1019,0.8223748773307163
original,ss_ukr_rus,S0_pool/ridge,b_only,839,0.7890345649582837
original,ss_ukr_rus,S0_pool/ridge,c_only,530,0.330188679245283
original,ss_ukr_rus,S0_pool/ridge,both_wrong,684,0.23538011695906433
original,ss_ukr_rus,U1_pre_meta/prototype,both_correct,1019,0.8626104023552502
original,ss_ukr_rus,U1_pre_meta/prototype,b_only,839,0.8712753277711561
original,ss_ukr_rus,U1_pre_meta/prototype,c_only,530,0.2792452830188679
original,ss_ukr_rus,U1_pre_meta/prototype,both_wrong,684,0.2309941520467836
