,n_nodes,n_edges,density,reciprocity,degree_assortativity,in_degree_gini,out_degree_gini,avg_clustering_approx,largest_wcc_frac,largest_scc_frac,isolated_fraction,missing_bio_rate,feature_effective_dim,feature_norm_mean,sampled_edge_count,feature_edge_count,feature_random_pair_count,feature_homophily,feature_homophily_random,dirichlet_energy,has_labels,labeled_edge_count,labeled_edge_fraction,label_homophily,label_homophily_expected,label_assortativity_newman,homophily_lift
covid19_twitter,23012850,107222182,2.0246215094659745e-07,0.00259845,-0.01715239609293201,0.9843103239957673,0.7117666572679059,0.0334232019946775,0.9689770715057022,0.055912718329107436,0.0,0.19738,116.8906463745751,1.0001013278961182,300000,240029,2000,0.5471502542495728,0.5067139863967896,0.9056994318962097,False,0,,,,,0.0404362678527832
ukr_rus_twitter,10400775,76851913,7.104333189464837e-07,0.0028807,-0.05684016088359242,0.9897288699220139,0.7922965581664572,0.047001579910619644,0.9805849083361576,0.06355199492345523,0.0,0.22964,114.91947452152147,1.0001049041748047,300000,226197,2000,0.5388059616088867,0.5126109719276428,0.9223880767822266,False,0,,,,,0.026194989681243896
midterm,341908,899979,7.698659658757204e-06,0.008542421545391615,-0.09570004116787456,0.9847380923180928,0.5812229466187782,0.03660975772670425,0.9257022356891328,0.01875650759853528,0.0,0.19766,99.98736470473608,1.00010347366333,300000,240899,2000,0.5792882442474365,0.5490227341651917,0.8414235711097717,False,0,,,,,0.030265510082244873
cp_hk_twitter,333800,1184379,1.0629659054138398e-05,0.0022256389213250152,-0.2280190179567452,0.9978859610375507,0.7145087475822066,0.09869988550953888,0.8825494307968844,0.01158178550029958,0.09857399640503295,0.22968,108.94997125758282,1.0001057386398315,300000,212073,2000,0.5534260869026184,0.5009597539901733,0.8931477665901184,False,0,,,,,0.05246633291244507
twibot20,162990,2010925,7.569664275213632e-05,0.01751432798339073,0.18663591874782479,0.9384059512546923,0.612325031717141,0.060189513977952115,0.9850972452297687,0.17982084790477942,0.009920854040125162,0.11408,109.37699780728975,1.0000993013381958,300000,263797,2000,0.5777857899665833,0.5080451369285583,0.844428300857544,True,4949,0.016496666666666666,0.40149525156597293,0.37167555213919506,0.04745907871053258,0.0697406530380249
election2020,78932,2818603,0.0004524110434241891,0.0,-0.1905119991359832,0.5429166525896401,0.9635198999784755,0.2132914943165341,0.9999493234683018,1.2669132924542645e-05,0.0,0.0,85.84329326935772,1.0000954866409302,300000,300000,2000,0.6068904995918274,0.591545045375824,0.7862189412117004,True,300000,1.0,0.9515266666666666,0.5206185601777777,0.8988835834960368,0.015345454216003418
covid_political,78672,180928,2.923283403482182e-05,0.0,-0.19557832715164092,0.7051118692105363,0.9911506604905852,0.060542817978770716,0.6605145413870246,1.271100264388855e-05,0.31688529591214154,0.0,94.96495153871804,1.0000975131988525,180928,180928,2000,0.5765814781188965,0.5495712757110596,0.8468369245529175,True,180928,1.0,0.9355157852847542,0.5177559511328556,0.8662830264744007,0.027010202407836914
ukr_rus_suspended,72295,354209,6.777180850615725e-05,0.08878938705679415,-0.12094158704483941,0.9375988707807001,0.7226562723055949,0.09641238138676685,0.7610899785600664,0.21138391313368837,0.21930977246005948,0.1688,109.0233059053794,1.000109076499939,300000,217401,2000,0.5628983974456787,0.5114114880561829,0.8742033243179321,True,222206,0.7406866666666667,0.5537609245474919,0.5521782718996393,0.0035341131270386606,0.05148690938949585
facebook_page_reference,119228,167622,1.17917467395764e-05,0.01696674660844042,0.14307276903996563,0.8626814212618445,0.5940911056198067,0.04083078401125222,0.661480524708961,0.006248532223974234,0.0,0.00384,101.60641726202124,1.000102162361145,167622,166512,2000,0.5676789879798889,0.4909351170063019,0.8646420836448669,True,95793,0.5714822636646741,0.21692608019375112,0.058547315844944124,0.1682280660668043,0.07674387097358704
