metric,scope,order,rung,cells,signed_mean_residual,mae,median_absolute_error,rmse,max_absolute_error,pearson_r,fraction_within_0_001
loss,overall,all,all,243,-0.0029137748327897894,0.006843748956124242,0.0002425888524158,0.023936889000866664,0.15799975395202637,0.9170724313733057,0.7325102880658436
loss,order,A,all,81,-0.0020438648995237713,0.009605351422926749,0.0002457289083396,0.03132074379264382,0.15799975395202637,0.9250404214966914,0.7037037037037037
loss,order,B,all,81,-0.00036770461342655245,0.0017707194756552119,0.00014489771274389998,0.005242004753214272,0.0312269255518913,0.6703881351761527,0.7283950617283951
loss,order,C,all,81,-0.006329754985419044,0.009155175969790761,0.00040782018913880004,0.026654387247923687,0.1226876955479383,0.900821439671779,0.7654320987654321
loss,order_rung,A,1,9,-0.01606026537612909,0.025844471348035667,0.01078887283802027,0.05372348004415413,0.15799975395202637,0.9913277233718983,0.1111111111111111
loss,order_rung,A,2,9,0.005818081610363582,0.0351446386018526,0.0021661147475243,0.059451454885382844,0.12936740368604657,0.6849708767828151,0.3333333333333333
loss,order_rung,A,3,9,-0.014983265875141816,0.017064500633447683,0.0005485294386745001,0.04801160296814087,0.14384557493031022,0.5244866612801092,0.7777777777777778
loss,order_rung,A,4,9,0.0023506754732807345,0.002821923898914577,0.0006189913256094,0.00550943930898549,0.014944523572921697,0.997803034799733,0.6666666666666666
loss,order_rung,A,5,9,0.0021888697370337153,0.0027608530189253307,0.0002457289083396,0.0071649629019877575,0.021410316228866508,0.9996881399977423,0.7777777777777778
loss,order_rung,A,6,9,0.0016390218187451984,0.0017532906338399564,0.00017966896120929997,0.004513062306250105,0.013490068260580298,0.9969916021694571,0.8888888888888888
loss,order_rung,A,7,9,0.00012450676907370238,0.0002813076875504087,0.00015875521785340004,0.00037562930934725597,0.0007754662074149001,0.48686021432677345,1.0
loss,order_rung,A,8,9,0.00011581666750420666,0.0002985326426217711,0.0001544523461234277,0.0004183665002040718,0.0009204233065248001,0.5405850328300034,1.0
loss,order_rung,A,9,9,0.00041177507955583416,0.00047864434115276605,0.00012816803064199996,0.0008512553866566973,0.0020736660517287004,0.6220336847996438,0.7777777777777778
loss,order_rung,B,1,9,2.8289278917441652e-06,3.264618701188566e-06,8.908100425997559e-07,6.99887498534588e-06,2.0587816834397726e-05,0.999999974577704,1.0
loss,order_rung,B,2,9,-0.003105368775878659,0.0031311014837835027,0.00045429129386319995,0.006801838272857728,0.0199048966169358,0.9097332262724418,0.5555555555555556
loss,order_rung,B,3,9,-0.0029848602822413334,0.003162101057518533,0.00018130082753479998,0.007255398540596828,0.0213282285258174,0.9192634975263633,0.6666666666666666
loss,order_rung,B,4,9,0.0035807204098495843,0.00448187646604006,0.0009395792731084,0.010493245020592729,0.0312269255518913,0.9901717486164708,0.5555555555555556
loss,order_rung,B,5,9,-0.0011975651751628034,0.001865953394169781,0.00047527308925050007,0.004575560078072248,0.0136559056118131,0.9797896169599759,0.8888888888888888
loss,order_rung,B,6,9,-0.0009475812641742169,0.0016141141333921056,0.00014274471868701963,0.0037960607234186756,0.0112617732957006,0.9799151845815288,0.6666666666666666
loss,order_rung,B,7,9,0.0006421519897735991,0.0007158397921658232,0.0001469082835683295,0.0011916899630759086,0.003121804445982,0.9769017864602823,0.6666666666666666
loss,order_rung,B,8,9,0.0005521151485178942,0.0006273690395472614,0.00012146395965820209,0.0011140288071183801,0.0029091914184392,0.97428106984483,0.6666666666666666
loss,order_rung,B,9,9,0.00014821750058521723,0.0003348552955786494,0.00014100864063949997,0.0005352199360275574,0.0013214819773566,0.5582764110267475,0.8888888888888888
loss,order_rung,C,1,9,2.909594008507573e-06,4.1732564568618915e-06,6.146728990001019e-08,8.02333982123453e-06,2.099573612218686e-05,0.9999999954506177,1.0
loss,order_rung,C,2,9,-0.021570096929079026,0.02187650087903927,0.0008672089315951003,0.03977878669352368,0.09514996781945231,0.9560771491590087,0.6666666666666666
loss,order_rung,C,3,9,-0.026167414397301983,0.027045938270829406,0.000568814430153,0.0506412348994301,0.1226876955479383,0.9030572565762043,0.5555555555555556
loss,order_rung,C,4,9,-0.008737489721271315,0.009973299499910758,0.0007469370320905,0.027444687642463,0.0822492316365242,0.9995586269068604,0.6666666666666666
loss,order_rung,C,5,9,-0.011287353372709802,0.012325296740426782,0.0006795443332521,0.03465281703461744,0.1039018407464027,0.9995184473535278,0.6666666666666666
loss,order_rung,C,6,9,0.0027160579179003044,0.0027675715842229182,0.000484356234665,0.006915501359554244,0.0206718146800995,0.9999395091174669,0.7777777777777778
loss,order_rung,C,7,9,0.003850472278019069,0.00394331068319942,0.00030082793091420004,0.010934281202120769,0.032782860100269304,0.9999728274777094,0.8888888888888888
loss,order_rung,C,8,9,0.003991962306751409,0.004101568597206992,0.00033426248410249994,0.011197847956928231,0.0335621684789658,0.9999557460356827,0.8888888888888888
