seed,source_worktree,attempt,target,excluded_families_json,sources_json,checkpoint_original_path,manifest_sha256,manifest_source_relpath
1,prodigy-rq1-cache,pretrain,covid_political,"[""covid"",""covid_political""]","[""ukr_rus"",""midterm"",""election2020"",""ukr_rus_suspended"",""twibot20"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain/rq1_loto_covid_political_pretrain_s1_20260828/state_dict,cf5147bab11395f0b2d0c17327b39b662248e362e14db108643ccca87d4fa96e,pretrain/manifest/rq1_loto_covid_political_pretrain_s1_20260828.json
1,prodigy-rq1-cache,pretrain,election2020,"[""election2020""]","[""ukr_rus"",""covid"",""midterm"",""covid_political"",""ukr_rus_suspended"",""twibot20"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain/rq1_loto_election2020_pretrain_s1_20260828/state_dict,d024647c3c91f232d25d33d82bbf6f35253850ab0ce065c7863fceb8913c51b3,pretrain/manifest/rq1_loto_election2020_pretrain_s1_20260828.json
1,prodigy-rq1-cache,pretrain,twibot20,"[""twibot20""]","[""ukr_rus"",""covid"",""midterm"",""covid_political"",""election2020"",""ukr_rus_suspended"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain/rq1_loto_twibot20_pretrain_s1_20260828/state_dict,6fae04a45bbb9d78c1ec33da063f229078bc810fece2c57980e7e2ca65b0be8b,pretrain/manifest/rq1_loto_twibot20_pretrain_s1_20260828.json
1,prodigy-rq1-cache,pretrain,ukr_rus_suspended,"[""ukr_rus"",""ukr_rus_suspended""]","[""covid"",""midterm"",""covid_political"",""election2020"",""twibot20"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain/rq1_loto_ukr_rus_suspended_pretrain_s1_20260828/state_dict,4daf9fd92b576039ccb7dac13d54a5ace26afb1ab6533ee95682b0419d2a4cb1,pretrain/manifest/rq1_loto_ukr_rus_suspended_pretrain_s1_20260828.json
2,prodigy-rq1-revised2,pretrain_revised_seed2_prefetch8_bs16,covid_political,"[""covid"",""covid_political""]","[""ukr_rus"",""midterm"",""election2020"",""ukr_rus_suspended"",""twibot20"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain_revised_seed2_prefetch8_bs16/rq1_loto_covid_political_pretrain_s2_20260828/state_dict,823407b7623bb0f70fe92b46dde761319b5e933df09c727f30bf9df00a1fe3fc,pretrain_revised_seed2_prefetch8_bs16/manifest/rq1_loto_covid_political_pretrain_s2_20260828.json
2,prodigy-rq1-revised2,pretrain_revised_seed2_prefetch8_bs16,election2020,"[""election2020""]","[""ukr_rus"",""covid"",""midterm"",""covid_political"",""ukr_rus_suspended"",""twibot20"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain_revised_seed2_prefetch8_bs16/rq1_loto_election2020_pretrain_s2_20260828/state_dict,a6651aa9200ef38edbeaa60fc1b2846eb0b0ed1a5671a9cfce42e2fea4e7e87c,pretrain_revised_seed2_prefetch8_bs16/manifest/rq1_loto_election2020_pretrain_s2_20260828.json
2,prodigy-rq1-revised2,pretrain_revised_seed2_prefetch8_bs16,twibot20,"[""twibot20""]","[""ukr_rus"",""covid"",""midterm"",""covid_political"",""election2020"",""ukr_rus_suspended"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain_revised_seed2_prefetch8_bs16/rq1_loto_twibot20_pretrain_s2_20260828/state_dict,858a1bae50beae65bdae2aab8f13ebe3e2a2ecadbeb89f8c3c4676ae21e89292,pretrain_revised_seed2_prefetch8_bs16/manifest/rq1_loto_twibot20_pretrain_s2_20260828.json
2,prodigy-rq1-revised2,pretrain_revised_seed2_prefetch8_bs16,ukr_rus_suspended,"[""ukr_rus"",""ukr_rus_suspended""]","[""covid"",""midterm"",""covid_political"",""election2020"",""twibot20"",""cp_hk"",""facebook_page_reference""]",/dataMeR1/phil/gfm/prodigy-rq1/state/rq1_label_efficiency_loto/pretrain_revised_seed2_prefetch8_bs16/rq1_loto_ukr_rus_suspended_pretrain_s2_20260828/state_dict,476657748f40c85de8649c626aab4c670838ee0bc9b675c8c6a4c6a46bd3437c,pretrain_revised_seed2_prefetch8_bs16/manifest/rq1_loto_ukr_rus_suspended_pretrain_s2_20260828.json
