target_a,target_b,n_common_foreign_sources,pearson,spearman,identity_mae
covid19_twitter,covid_political,7,0.2506917877640263,0.5357142857142858,0.09587629312495423
covid19_twitter,cp_hk_twitter,7,0.9318161281940845,0.9642857142857145,0.18408662210609592
covid19_twitter,election2020,7,0.5544715401404083,0.6785714285714287,0.08349910595407893
covid19_twitter,facebook_page_reference,7,0.9727840973384662,0.8571428571428573,0.10888704460177452
covid19_twitter,midterm,7,0.8745417656881886,0.8928571428571429,0.07142360361795579
covid19_twitter,twibot20,7,0.6633654466852406,0.5357142857142858,0.05610213781486268
covid19_twitter,ukr_rus_suspended,7,0.9397654104054853,0.9642857142857145,0.10814085567199803
covid19_twitter,ukr_rus_twitter,7,0.9784113299171201,0.9285714285714288,0.073685932394319
covid_political,cp_hk_twitter,7,0.5142908335036962,0.642857142857143,0.11827808756220191
covid_political,election2020,7,0.9467451678879056,0.8571428571428573,0.010026770866041155
covid_political,facebook_page_reference,7,0.21450034528192877,0.642857142857143,0.045553855642831244
covid_political,midterm,7,0.4877693600265448,0.5714285714285715,0.032593472863913994
covid_political,twibot20,7,0.8220271700952906,0.8214285714285715,0.03804291553293737
covid_political,ukr_rus_suspended,7,0.6318704274529512,0.7857142857142859,0.038205410674679294
covid_political,ukr_rus_twitter,7,0.28171621019624166,0.5357142857142858,0.046144051902856496
cp_hk_twitter,election2020,7,0.6541552594458119,0.8571428571428573,0.12904258719806014
cp_hk_twitter,facebook_page_reference,7,0.9198798243619369,0.8571428571428573,0.07756347757385416
cp_hk_twitter,midterm,7,0.9638599113322206,0.9642857142857145,0.11032443631197755
cp_hk_twitter,twibot20,7,0.7634927847398341,0.7500000000000002,0.15047925642819499
cp_hk_twitter,ukr_rus_suspended,7,0.9407575038918032,0.8928571428571429,0.0825222021840476
cp_hk_twitter,ukr_rus_twitter,7,0.9326579218250445,0.9285714285714288,0.11342981574179112
election2020,facebook_page_reference,7,0.47052240975319787,0.5357142857142858,0.04709475947392067
election2020,midterm,7,0.5010759207845379,0.642857142857143,0.03648127472720392
election2020,twibot20,7,0.8769031100194477,0.8928571428571429,0.03129059504340367
election2020,ukr_rus_suspended,7,0.7159090819237285,0.8214285714285715,0.047727594710988454
election2020,ukr_rus_twitter,7,0.5486319958127945,0.6785714285714287,0.042867581036551514
facebook_page_reference,midterm,7,0.9337496465073576,0.8928571428571429,0.039943918107830885
facebook_page_reference,twibot20,7,0.7144431956732137,0.5714285714285715,0.07174391439852323
facebook_page_reference,ukr_rus_suspended,7,0.95058520296279,0.9642857142857145,0.028296233926500634
facebook_page_reference,ukr_rus_twitter,7,0.9709393497800283,0.8928571428571429,0.038909932453905074
midterm,twibot20,7,0.7666412528965101,0.5357142857142858,0.04710402681844515
midterm,ukr_rus_suspended,7,0.9008930044253214,0.7857142857142859,0.036656330065056496
midterm,ukr_rus_twitter,7,0.8343187563196378,0.7857142857142859,0.038827400952659116
twibot20,ukr_rus_suspended,7,0.9684705025526397,0.9285714285714288,0.07735847652317333
twibot20,ukr_rus_twitter,7,0.6787058544572256,0.42857142857142866,0.0482648121899572
ukr_rus_suspended,ukr_rus_twitter,7,0.9662957603200256,1.0,0.041405647082869056
