model_id,n_sources,sources,aliases,target,training_seeds,roc_auc_mean,roc_auc_sample_std,accuracy_mean,accuracy_sample_std
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,covid_political,3,0.7273943865740741,0.009355276786468018,0.6553819444444445,0.0064641367224854114
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,election2020,3,0.6469184027777778,0.0034106409820967272,0.5911458333333334,0.003255208333333315
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,ukr_rus_suspended,3,0.5188982928240741,0.002040524467664332,0.5103081597222222,0.0012324019847656583
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,twibot20,3,0.6902578848379629,0.005929369235131908,0.5944010416666666,0.013226725035097657
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,facebook_page_category_top30,3,0.7257520030132504,0.0035122297576830534,0.17544126157407405,0.0033509033934442183
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,facebook_admin_country_top30,3,0.7538137800493562,0.0030144383654422584,0.21443865740740745,0.0006154681212790949
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,facebook_verified,3,0.5446958188657408,0.0041000276624540795,0.5244140625,0.0009765625
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,cora,3,0.8891192508542769,0.006324280833928149,0.6495225694444445,0.015585459346537177
ss_covid19_twitter,1,covid19_twitter,specialist:covid19_twitter,pubmed,3,0.7801558883101851,0.009072789350303943,0.6095196759259259,0.004736341589950997
ss_covid_political,1,covid_political,specialist:covid_political,covid_political,3,0.7474320023148149,0.012219001332779252,0.6715494791666666,0.01009114583333335
ss_covid_political,1,covid_political,specialist:covid_political,election2020,3,0.6640534577546297,0.02364232134359059,0.5971137152777778,0.017015535789587737
ss_covid_political,1,covid_political,specialist:covid_political,ukr_rus_suspended,3,0.5205530237268517,0.002558028681481132,0.5087890625,0.002032876952603601
ss_covid_political,1,covid_political,specialist:covid_political,twibot20,3,0.6922743055555555,0.004266838127903131,0.5988498263888888,0.005302426963051474
ss_covid_political,1,covid_political,specialist:covid_political,facebook_page_category_top30,3,0.7236529029141391,0.0050334902530748595,0.1730107060185185,0.0027934444988022083
ss_covid_political,1,covid_political,specialist:covid_political,facebook_admin_country_top30,3,0.7470607090118135,0.001448897897605341,0.20774016203703705,0.0001628809353182583
ss_covid_political,1,covid_political,specialist:covid_political,facebook_verified,3,0.5444968894675927,0.00784447488419672,0.5263671875,0.007329642089321485
ss_covid_political,1,covid_political,specialist:covid_political,cora,3,0.8917363350143299,0.005185237170352423,0.6555059523809524,0.012341087354366962
ss_covid_political,1,covid_political,specialist:covid_political,pubmed,3,0.7800910855516975,0.0009236415009500953,0.6120515046296297,0.003944243599599445
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,covid_political,3,0.7324490017361112,0.016803015069401364,0.6656901041666667,0.013535561774929518
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,election2020,3,0.6627332899305555,0.034797195448743844,0.6012369791666666,0.030645673006711574
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,ukr_rus_suspended,3,0.5191243489583334,0.004219319427671798,0.5137803819444444,0.0022157745070163306
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,twibot20,3,0.6961172598379629,0.002806710632486361,0.611328125,0.004078764350957591
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,facebook_page_category_top30,3,0.7282662980756438,0.003340639803538634,0.1763237847222222,0.00105937458745302
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,facebook_admin_country_top30,3,0.7526569546715357,0.005215445121897494,0.21173321759259264,0.002832869525698326
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,facebook_verified,3,0.5518572771990741,0.005475660081510734,0.5313585069444443,0.0037728599502416197
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,cora,3,0.8902579278962742,0.005329801458056218,0.650390625,0.010957743277783804
ss_cp_hk_twitter,1,cp_hk_twitter,specialist:cp_hk_twitter,pubmed,3,0.7693564332561729,0.012730131441629364,0.6005497685185185,0.011975811392693736
ss_election2020,1,election2020,specialist:election2020,covid_political,3,0.7361020688657408,0.02295505912633506,0.6666666666666666,0.020810432563052848
ss_election2020,1,election2020,specialist:election2020,election2020,3,0.6571180555555555,0.06475826349582596,0.5977647569444444,0.06017940308707993
ss_election2020,1,election2020,specialist:election2020,ukr_rus_suspended,3,0.5156702112268517,0.0035793246030854414,0.509982638888889,0.005046447896802801
ss_election2020,1,election2020,specialist:election2020,twibot20,3,0.6770562065972223,0.021864687794926615,0.5860460069444445,0.018095952675588074
ss_election2020,1,election2020,specialist:election2020,facebook_page_category_top30,3,0.7267861864423691,0.004074041981030792,0.17446469907407405,0.0028248784969938994
ss_election2020,1,election2020,specialist:election2020,facebook_admin_country_top30,3,0.7493267996354832,0.0009616059856858656,0.20812355324074075,0.0029902540015757486
ss_election2020,1,election2020,specialist:election2020,facebook_verified,3,0.5374801070601852,0.009027838638839554,0.5230034722222222,0.007259430852290689
ss_election2020,1,election2020,specialist:election2020,cora,3,0.8864653518380732,0.000980182499272317,0.6448412698412699,0.004348794966516255
ss_election2020,1,election2020,specialist:election2020,pubmed,3,0.7823546609760802,0.013222147032438266,0.6117621527777778,0.015232767404891781
