model_id,seed,checkpoint_update,n_sources,sources,aliases,target,classes,labeled_nodes,episode_fingerprint,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,covid_political,2,78672,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c,0.7166883680555555,0.12919870490149932,0.6481119791666667,0.10585038118708824
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,election2020,2,78932,7d1a1602c76fd6e40196190da4abc390c70e8bb570ac5531e7f97921a712563d,0.6453993055555556,0.13521988360386614,0.587890625,0.1167128675627688
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,ukr_rus_suspended,2,56438,19b9aa6c56890d8c9d263c2df35eb4df08220a1d37bdf3b5e9504a9ea5a13a77,0.5165473090277778,0.11724582418617371,0.5094401041666667,0.08752809256413378
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,twibot20,2,11826,bc0781c86ffc58325b09def4f0d97b20aea574fb2ebf26ce208fc3dec982d17a,0.6968044704861112,0.11988756399806205,0.609375,0.10728597282498946
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,facebook_page_category_top30,30,107613,91f8db404ad7e12ff81855bb655f207e71bb4fbe44843382dfacaf453aa79972,0.7217397093011654,0.01399876226368207,0.17421874999999998,0.020009407418599665
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,facebook_admin_country_top30,30,108200,236ea2a921973c62a81291ab9530bdf3f0387d557c687fe066f027009ededc0a,0.751682075899984,0.016249761290527943,0.21404079861111114,0.02400521180203766
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,facebook_verified,2,150000,c05d74c7e846fa494470b952777ca592d1bc0848834db62ebb683e4788ba1468,0.5439995659722222,0.13189702877758283,0.525390625,0.10473720067987052
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,cora,7,2708,6a5978a16a6f645fba85eda93a4f752cad8b31ac37675eb96b205edfdb2110ea,0.888818488549934,0.0220471992480923,0.6429501488095238,0.048027310935806526
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,pubmed,3,19717,0fe1a91129de7c478bbb72f1d57f4e4d7baddf824edc783496ff5a1c96abd413,0.7879096137152778,0.06712562258373107,0.6137152777777777,0.08527466786957516
ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,covid_political,2,78672,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c,0.7314995659722222,0.12263014692788345,0.6575520833333333,0.11286667424379812
