model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
fixed10k__nm_ladder_fx10k_h2m_ordA_r2,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r2_to_covid_political_pl_10shot_03_08_2026_11_03_47,0.939150888888889,0.8978333333333334,0.8971649052172455
fixed10k__nm_ladder_fx10k_h2m_ordA_r3,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r3_to_covid_political_pl_10shot_03_08_2026_11_05_03,0.9247415555555556,0.8758333333333334,0.8755845023380093
fixed10k__nm_ladder_fx10k_h2m_ordA_r4,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r4_to_covid_political_pl_10shot_03_08_2026_11_05_04,0.9097040694444445,0.84075,0.8486336633663366
fixed10k__nm_ladder_fx10k_h2m_ordA_r5,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r5_to_covid_political_pl_10shot_03_08_2026_11_05_31,0.916449861111111,0.8378333333333333,0.8491940483570986
fixed10k__nm_ladder_fx10k_h2m_ordA_r6,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r6_to_covid_political_pl_10shot_03_08_2026_11_05_31,0.904645763888889,0.8439166666666666,0.8526704947691339
fixed10k__nm_ladder_fx10k_h2m_ordA_r7,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r7_to_covid_political_pl_10shot_03_08_2026_11_06_13,0.9170670555555555,0.8615833333333334,0.8662533215234721
fixed10k__nm_ladder_fx10k_h2m_ordA_r8,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r8_to_covid_political_pl_10shot_03_08_2026_11_06_13,0.8974852361111111,0.8319166666666666,0.8386270901672134
fixed10k__nm_ladder_fx10k_h2m_ordC_r1,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r1_to_covid_political_pl_10shot_03_08_2026_11_06_30,0.9267924027777779,0.8868333333333334,0.8832129342965256
fixed10k__nm_ladder_fx10k_h2m_ordC_r2,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r2_to_covid_political_pl_10shot_03_08_2026_11_06_35,0.8932341527777776,0.82875,0.8329675688856376
fixed10k__nm_ladder_fx10k_h2m_ordC_r3,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r3_to_covid_political_pl_10shot_03_08_2026_11_07_06,0.9241489444444445,0.8710833333333333,0.8654899573950091
fixed10k__nm_ladder_fx10k_h2m_ordC_r4,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r4_to_covid_political_pl_10shot_03_08_2026_11_07_06,0.8797730555555556,0.82525,0.8281851700122901
fixed10k__nm_ladder_fx10k_h2m_ordC_r5,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r5_to_covid_political_pl_10shot_03_08_2026_11_07_37,0.833709361111111,0.7566666666666667,0.7505978817902289
fixed10k__nm_ladder_fx10k_h2m_ordC_r6,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r6_to_covid_political_pl_10shot_03_08_2026_11_07_37,0.8821653750000001,0.8083333333333333,0.7971781305114638
fixed10k__nm_ladder_fx10k_h2m_ordC_r7,covid_political,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r7_to_covid_political_pl_10shot_03_08_2026_11_07_53,0.8435122500000001,0.7836666666666666,0.7911504424778761
matched40k__nm_ladder_h2m_ordA_r1,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r1_to_election2020_pl_10shot_03_08_2026_11_08_04,0.986394,0.974,0.9744597249508841
matched40k__nm_ladder_h2m_ordA_r2,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r2_to_election2020_pl_10shot_03_08_2026_11_08_22,0.984216,0.974,0.9744597249508841
matched40k__nm_ladder_h2m_ordA_r3,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r3_to_election2020_pl_10shot_03_08_2026_11_08_25,0.985774,0.976,0.9764243614931237
matched40k__nm_ladder_h2m_ordA_r4,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r4_to_election2020_pl_10shot_03_08_2026_11_08_38,0.983584,0.97,0.9705304518664047
matched40k__nm_ladder_h2m_ordA_r5,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r5_to_election2020_pl_10shot_03_08_2026_11_08_49,0.9851540000000001,0.972,0.9726027397260274
matched40k__nm_ladder_h2m_ordA_r6,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r6_to_election2020_pl_10shot_03_08_2026_11_08_53,0.98081,0.966,0.9668615984405458
matched40k__nm_ladder_h2m_ordA_r7,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r7_to_election2020_pl_10shot_03_08_2026_11_09_15,0.9830399999999999,0.973,0.9735034347399412
matched40k__nm_ladder_h2m_ordA_r8,election2020,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r8_to_election2020_pl_10shot_03_08_2026_11_09_27,0.9761920000000001,0.973,0.9735034347399412
sequential__nm_ladder_seq_h2m_r1,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r1_to_election2020_pl_10shot_03_08_2026_11_09_44,0.983852,0.974,0.9744094488188977
sequential__nm_ladder_seq_h2m_r2,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r2_to_election2020_pl_10shot_03_08_2026_11_09_55,0.9845759999999999,0.974,0.9744597249508841
sequential__nm_ladder_seq_h2m_r3,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r3_to_election2020_pl_10shot_03_08_2026_11_10_10,0.987904,0.973,0.9733464955577492
sequential__nm_ladder_seq_h2m_r4,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r4_to_election2020_pl_10shot_03_08_2026_11_10_13,0.979134,0.965,0.9659863945578231
sequential__nm_ladder_seq_h2m_r5,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r5_to_election2020_pl_10shot_03_08_2026_11_10_27,0.978344,0.971,0.9715964740450539
sequential__nm_ladder_seq_h2m_r6,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r6_to_election2020_pl_10shot_03_08_2026_11_10_30,0.981252,0.968,0.9685658153241651
sequential__nm_ladder_seq_h2m_r7,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r7_to_election2020_pl_10shot_03_08_2026_11_11_04,0.983844,0.973,0.9735034347399412
sequential__nm_ladder_seq_h2m_r8,election2020,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r8_to_election2020_pl_10shot_03_08_2026_11_11_04,0.985504,0.96,0.9603174603174603
split__nm_ladder_tts_h2m_r1,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r1_to_election2020_pl_10shot_03_08_2026_11_11_24,0.98307,0.973,0.9735034347399412
split__nm_ladder_tts_h2m_r2,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r2_to_election2020_pl_10shot_03_08_2026_11_11_26,0.984172,0.974,0.9745098039215686
split__nm_ladder_tts_h2m_r3,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r3_to_election2020_pl_10shot_03_08_2026_11_11_41,0.9839399999999998,0.975,0.9754661432777233
split__nm_ladder_tts_h2m_r4,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r4_to_election2020_pl_10shot_03_08_2026_11_11_43,0.980612,0.973,0.9735034347399412
split__nm_ladder_tts_h2m_r5,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r5_to_election2020_pl_10shot_03_08_2026_11_11_58,0.9820479999999999,0.971,0.9715964740450539
split__nm_ladder_tts_h2m_r6,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r6_to_election2020_pl_10shot_03_08_2026_11_12_06,0.9840519999999999,0.973,0.9735553379040157
split__nm_ladder_tts_h2m_r7,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r7_to_election2020_pl_10shot_03_08_2026_11_12_32,0.977352,0.972,0.9724409448818898
split__nm_ladder_tts_h2m_r8,election2020,10,,classification,test,eval_split__nm_ladder_tts_h2m_r8_to_election2020_pl_10shot_03_08_2026_11_12_32,0.9799880000000001,0.972,0.9726027397260274
fixed10k__nm_ladder_fx10k_h2m_ordA_r1,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r1_to_election2020_pl_10shot_03_08_2026_11_12_48,0.984434,0.976,0.9764243614931237
fixed10k__nm_ladder_fx10k_h2m_ordA_r2,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r2_to_election2020_pl_10shot_03_08_2026_11_12_48,0.9795020000000001,0.973,0.9734513274336283
fixed10k__nm_ladder_fx10k_h2m_ordA_r3,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r3_to_election2020_pl_10shot_03_08_2026_11_13_04,0.9856880000000001,0.974,0.9744094488188977
fixed10k__nm_ladder_fx10k_h2m_ordA_r4,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r4_to_election2020_pl_10shot_03_08_2026_11_13_05,0.976948,0.973,0.9735034347399412
fixed10k__nm_ladder_fx10k_h2m_ordA_r5,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r5_to_election2020_pl_10shot_03_08_2026_11_13_46,0.9825520000000001,0.972,0.9725490196078431
fixed10k__nm_ladder_fx10k_h2m_ordA_r6,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r6_to_election2020_pl_10shot_03_08_2026_11_13_47,0.9815879999999999,0.974,0.9744597249508841
fixed10k__nm_ladder_fx10k_h2m_ordA_r7,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r7_to_election2020_pl_10shot_03_08_2026_11_14_15,0.978086,0.972,0.9725490196078431
fixed10k__nm_ladder_fx10k_h2m_ordA_r8,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r8_to_election2020_pl_10shot_03_08_2026_11_14_15,0.983344,0.973,0.9735034347399412
fixed10k__nm_ladder_fx10k_h2m_ordC_r1,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r1_to_election2020_pl_10shot_03_08_2026_11_15_07,0.980396,0.973,0.9735034347399412
fixed10k__nm_ladder_fx10k_h2m_ordC_r2,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r2_to_election2020_pl_10shot_03_08_2026_11_15_07,0.9822960000000001,0.97,0.9706457925636007
fixed10k__nm_ladder_fx10k_h2m_ordC_r3,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r3_to_election2020_pl_10shot_03_08_2026_11_15_23,0.983736,0.969,0.9693978282329714
fixed10k__nm_ladder_fx10k_h2m_ordC_r4,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r4_to_election2020_pl_10shot_03_08_2026_11_15_23,0.973458,0.971,0.9715964740450539
fixed10k__nm_ladder_fx10k_h2m_ordC_r5,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r5_to_election2020_pl_10shot_03_08_2026_11_15_38,0.981014,0.969,0.9696969696969697
fixed10k__nm_ladder_fx10k_h2m_ordC_r6,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r6_to_election2020_pl_10shot_03_08_2026_11_16_02,0.982858,0.97,0.9706457925636007
fixed10k__nm_ladder_fx10k_h2m_ordC_r7,election2020,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r7_to_election2020_pl_10shot_03_08_2026_11_16_37,0.9846919999999999,0.972,0.9725490196078431
matched40k__nm_ladder_h2m_ordA_r1,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r1_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_16_37,0.480718,0.486,0.47010309278350515
matched40k__nm_ladder_h2m_ordA_r2,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r2_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_16_53,0.47898599999999997,0.478,0.46406570841889117
matched40k__nm_ladder_h2m_ordA_r3,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r3_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_16_53,0.502724,0.503,0.4881565396498455
matched40k__nm_ladder_h2m_ordA_r4,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r4_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_17_42,0.48990999999999996,0.494,0.4847250509164969
matched40k__nm_ladder_h2m_ordA_r5,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r5_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_17_42,0.483668,0.487,0.45016077170418006
matched40k__nm_ladder_h2m_ordA_r6,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r6_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_17_55,0.48310600000000004,0.501,0.4730728616684266
matched40k__nm_ladder_h2m_ordA_r7,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r7_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_18_19,0.48111200000000004,0.48,0.4820717131474104
matched40k__nm_ladder_h2m_ordA_r8,ukr_rus_suspended,10,,classification,test,eval_matched40k__nm_ladder_h2m_ordA_r8_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_18_19,0.49102599999999996,0.486,0.4930966469428008
sequential__nm_ladder_seq_h2m_r1,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r1_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_18_59,0.503556,0.515,0.5154845154845155
sequential__nm_ladder_seq_h2m_r2,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r2_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_18_59,0.49189400000000005,0.492,0.4773662551440329
sequential__nm_ladder_seq_h2m_r3,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r3_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_19_32,0.51586,0.524,0.5172413793103449
sequential__nm_ladder_seq_h2m_r4,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r4_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_19_32,0.48895199999999994,0.484,0.4613778705636743
sequential__nm_ladder_seq_h2m_r5,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r5_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_19_46,0.51838,0.52,0.5348837209302325
sequential__nm_ladder_seq_h2m_r6,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r6_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_19_46,0.512894,0.524,0.5405405405405406
sequential__nm_ladder_seq_h2m_r7,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r7_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_20_00,0.50047,0.509,0.5246853823814134
sequential__nm_ladder_seq_h2m_r8,ukr_rus_suspended,10,,classification,test,eval_sequential__nm_ladder_seq_h2m_r8_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_20_00,0.49882400000000005,0.502,0.4855371900826446
split__nm_ladder_tts_h2m_r1,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r1_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_20_14,0.501468,0.496,0.47717842323651455
split__nm_ladder_tts_h2m_r2,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r2_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_20_14,0.50396,0.497,0.4883011190233978
split__nm_ladder_tts_h2m_r3,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r3_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_20_28,0.508576,0.509,0.490134994807892
split__nm_ladder_tts_h2m_r4,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r4_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_21_25,0.482588,0.473,0.4411452810180276
split__nm_ladder_tts_h2m_r5,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r5_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_21_25,0.494548,0.497,0.47983453981385726
split__nm_ladder_tts_h2m_r6,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r6_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_21_44,0.493444,0.485,0.47715736040609136
split__nm_ladder_tts_h2m_r7,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r7_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_22_01,0.484336,0.492,0.4909819639278557
split__nm_ladder_tts_h2m_r8,ukr_rus_suspended,10,,classification,test,eval_split__nm_ladder_tts_h2m_r8_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_22_18,0.5051599999999999,0.501,0.4954499494438827
fixed10k__nm_ladder_fx10k_h2m_ordA_r1,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r1_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_22_28,0.483672,0.478,0.4662576687116564
fixed10k__nm_ladder_fx10k_h2m_ordA_r2,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r2_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_23_03,0.50444,0.503,0.49440488301119023
fixed10k__nm_ladder_fx10k_h2m_ordA_r3,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r3_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_23_03,0.498614,0.506,0.4969450101832994
fixed10k__nm_ladder_fx10k_h2m_ordA_r4,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r4_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_23_35,0.501516,0.496,0.52
fixed10k__nm_ladder_fx10k_h2m_ordA_r5,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r5_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_24_20,0.494848,0.492,0.4607218683651805
fixed10k__nm_ladder_fx10k_h2m_ordA_r6,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r6_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_24_20,0.514622,0.52,0.4968553459119497
fixed10k__nm_ladder_fx10k_h2m_ordA_r7,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r7_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_24_42,0.48026199999999997,0.501,0.4984924623115578
fixed10k__nm_ladder_fx10k_h2m_ordA_r8,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordA_r8_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_25_30,0.499484,0.503,0.499496475327291
fixed10k__nm_ladder_fx10k_h2m_ordC_r1,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r1_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_25_31,0.5277540000000001,0.52,0.5061728395061729
fixed10k__nm_ladder_fx10k_h2m_ordC_r2,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r2_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_26_12,0.510164,0.502,0.5098425196850394
fixed10k__nm_ladder_fx10k_h2m_ordC_r3,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r3_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_26_12,0.48087,0.487,0.48024316109422494
fixed10k__nm_ladder_fx10k_h2m_ordC_r4,ukr_rus_suspended,10,,classification,test,eval_fixed10k__nm_ladder_fx10k_h2m_ordC_r4_to_ukr_rus_suspended_pl_10shot_03_08_2026_11_26_54,0.49538400000000005,0.498,0.49190283400809715
