order,rung,added,source_count,sources,target,roc_auc,accuracy,f1,execution_source
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",cp_hk_twitter,0.6175508676724139,0.0927833333333333,0.0927348915744593,CARC-V100
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",facebook_page_reference,0.887857541954023,0.5369333333333334,0.5369575893140796,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",ukr_rus_twitter,0.5962505833333331,0.0872777777777777,0.0872693626292678,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",covid19_twitter,0.7139839655332055,0.1699611111111111,0.1699129435640554,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",midterm,0.7116549793103446,0.1308555555555555,0.1308162204792441,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",covid_political,0.7534591064974456,0.1718888888888889,0.1718979535343483,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",election2020,0.6782160666666669,0.1452666666666666,0.1452551600020677,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",ukr_rus_suspended,0.6823161494252872,0.1612,0.1611645413697713,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",twibot20,0.7405489113825033,0.2597777777777778,0.2597938975096233,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",cp_hk_twitter,0.6125469885057471,0.0926666666666666,0.0926254313371638,CARC-V100
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",facebook_page_reference,0.8942482732758621,0.54825,0.5482550292087779,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",ukr_rus_twitter,0.5961513352650063,0.0870333333333333,0.087027124602409,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",covid19_twitter,0.7099176935025542,0.1677777777777777,0.1677365421906747,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",midterm,0.7108349497924649,0.1297666666666666,0.1297364941928649,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",covid_political,0.7522762568486591,0.1696833333333333,0.169687137936545,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",election2020,0.6767327057471265,0.1424,0.1424074614611431,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",ukr_rus_suspended,0.681419487356322,0.1579333333333333,0.1579105140574723,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",twibot20,0.7388436658365262,0.2564611111111111,0.2564762495169329,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",cp_hk_twitter,0.6118017464080461,0.0926666666666666,0.0926340703660108,CARC-V100
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",facebook_page_reference,0.8905412073275861,0.5410666666666667,0.5410873233694298,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",ukr_rus_twitter,0.595983592480843,0.0871333333333333,0.0871241035905007,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",covid19_twitter,0.7100369516443167,0.1677666666666666,0.1677225499439552,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",midterm,0.71017469947318,0.1298388888888889,0.1298080600653343,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",covid_political,0.7526283572477651,0.1705444444444444,0.1705445114618869,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",election2020,0.6770266459770116,0.1438,0.1438269257783712,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",ukr_rus_suspended,0.6815198597701151,0.16,0.159993997663251,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",twibot20,0.7383968347062578,0.2563,0.2563067575879211,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",cp_hk_twitter,0.6097725876436783,0.0923166666666666,0.0922716128463042,CARC-V100
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",facebook_page_reference,0.891795188362069,0.54385,0.5438717402729403,CARC-V100
