rung,dataset,added_dataset,fixed_exposure_h2_auc,matched40k_h1_auc,auc_difference,is_entry_cell,fixed_entry_delta,matched40k_entry_delta,comparison_scope
1,covid19_twitter,ukr_rus_twitter,0.9686388991060024,0.973,-0.004361100893997549,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,covid_political,ukr_rus_twitter,0.849269073595147,0.849,0.0002690735951470513,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,cp_hk_twitter,ukr_rus_twitter,0.723828675862069,0.724,-0.00017132413793097268,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,election2020,ukr_rus_twitter,0.834599335632184,0.828,0.006599335632184067,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,midterm,ukr_rus_twitter,0.8770630454980844,0.874,0.003063045498084449,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,twibot20,ukr_rus_twitter,0.9081055982918264,0.921,-0.012894401708173686,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,ukr_rus_suspended,ukr_rus_twitter,0.8147094114942528,0.771,0.04370941149425278,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
1,ukr_rus_twitter,ukr_rus_twitter,0.9381256633620688,0.948,-0.009874336637931136,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,covid19_twitter,covid19_twitter,0.9781387495689654,0.98,-0.0018612504310345779,True,0.009499850462962978,0.007000000000000006,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,covid_political,covid19_twitter,0.8541287472701149,0.843,0.011128747270114925,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,cp_hk_twitter,covid19_twitter,0.7177069556034483,0.726,-0.008293044396551652,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,election2020,covid19_twitter,0.8390638321839082,0.828,0.011063832183908273,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,midterm,covid19_twitter,0.8855703485153257,0.885,0.0005703485153256693,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,twibot20,covid19_twitter,0.9187527666826312,0.925,-0.006247233317368872,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,ukr_rus_suspended,covid19_twitter,0.8126481149425285,0.775,0.03764811494252851,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
2,ukr_rus_twitter,covid19_twitter,0.9393843307790548,0.945,-0.005615669220945141,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,covid19_twitter,midterm,0.9775905853448276,0.978,-0.00040941465517241316,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,covid_political,midterm,0.8456067858077906,0.83,0.015606785807790624,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,cp_hk_twitter,midterm,0.7081249866379309,0.72,-0.011875013362069087,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,election2020,midterm,0.8325442252873562,0.815,0.01754422528735622,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,midterm,midterm,0.9113194200989784,0.915,-0.0036805799010216633,True,0.025749071583652694,0.030000000000000027,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,twibot20,midterm,0.9162598501756066,0.927,-0.010740149824393419,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,ukr_rus_suspended,midterm,0.8209096988505746,0.777,0.04390969885057461,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
3,ukr_rus_twitter,midterm,0.9367393613186462,0.941,-0.0042606386813537345,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,covid19_twitter,covid_political,0.9769993130906768,0.9753,0.001699313090676835,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,covid_political,covid_political,0.9088761788793104,0.9113,-0.0024238211206896176,True,0.0632693930715198,0.08130000000000004,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,cp_hk_twitter,covid_political,0.7187991191091954,0.7235,-0.004700880890804671,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,election2020,covid_political,0.8256297701149425,0.8297,-0.0040702298850574525,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,midterm,covid_political,0.910622228320562,0.9093,0.0013222283205620577,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,twibot20,covid_political,0.9170381497605364,0.9234,-0.006361850239463562,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,ukr_rus_suspended,covid_political,0.8069271034482759,0.7768,0.03012710344827585,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
4,ukr_rus_twitter,covid_political,0.9362348061462326,0.9344,0.0018348061462325482,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,covid19_twitter,election2020,0.9770921417784164,0.9754,0.0016921417784163673,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,covid_political,election2020,0.9090303801404854,0.9102,-0.0011696198595145813,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,cp_hk_twitter,election2020,0.7113948649425288,0.7261,-0.014705135057471175,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,election2020,election2020,0.9289840413793102,0.9259,0.003084041379310287,True,0.10335427126436769,0.09619999999999995,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,midterm,election2020,0.9097328298371647,0.9086,0.0011328298371647838,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,twibot20,election2020,0.9181982753831418,0.9254,-0.007201724616858196,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,ukr_rus_suspended,election2020,0.8014711678160918,0.7693,0.03217116781609186,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
5,ukr_rus_twitter,election2020,0.9362404856481482,0.9346,0.0016404856481482266,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,covid19_twitter,ukr_rus_suspended,0.9768127319604089,0.9744,0.0024127319604088093,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,covid_political,ukr_rus_suspended,0.9081136507183908,0.9106,-0.0024863492816091792,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,cp_hk_twitter,ukr_rus_suspended,0.7006717695402299,0.7239,-0.02322823045977007,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,election2020,ukr_rus_suspended,0.9270115103448276,0.9241,0.002911510344827617,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,midterm,ukr_rus_suspended,0.9103135649106004,0.9073,0.0030135649106004525,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,twibot20,ukr_rus_suspended,0.916074172190294,0.9242,-0.008125827809706054,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,ukr_rus_suspended,ukr_rus_suspended,0.9492033425287356,0.934,0.015203342528735564,True,0.14773217471264377,0.16470000000000007,cross-protocol: fixed-exposure h2 vs matched-40k h1
6,ukr_rus_twitter,ukr_rus_suspended,0.9360529416507024,0.9325,0.0035529416507024125,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,covid19_twitter,twibot20,0.977192558764368,0.9748,0.002392558764367947,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,covid_political,twibot20,0.907809734578544,0.9076,0.00020973457854400746,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,cp_hk_twitter,twibot20,0.7190426535919541,0.7267,-0.00765734640804594,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,election2020,twibot20,0.9233922643678164,0.9198,0.0035922643678164556,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,midterm,twibot20,0.909977806529374,0.9033,0.0066778065293739974,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,twibot20,twibot20,0.936083129661558,0.9377,-0.0016168703384419336,True,0.020008957471264077,0.013499999999999956,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,ukr_rus_suspended,twibot20,0.948188712643678,0.9256,0.02258871264367801,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
7,ukr_rus_twitter,twibot20,0.9373450070881226,0.9321,0.0052450070881225885,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
8,covid19_twitter,cp_hk_twitter,0.9766509277777778,0.975,0.0016509277777778664,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
8,covid_political,cp_hk_twitter,0.9090427650223496,0.906,0.0030427650223495695,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
8,cp_hk_twitter,cp_hk_twitter,0.8784721379310345,0.867,0.01147213793103452,True,0.15942948433908044,0.14029999999999998,cross-protocol: fixed-exposure h2 vs matched-40k h1
8,election2020,cp_hk_twitter,0.919308004597701,0.92,-0.0006919954022990282,False,,,cross-protocol: fixed-exposure h2 vs matched-40k h1
