rung,dataset,added_dataset,entry_rung,fixed_total_steps,matched40k_total_steps,fixed_expected_steps_per_source,matched40k_expected_steps_per_source,fixed_exposure_h2_auc,matched40k_h2_auc,auc_difference,is_entry_cell,fixed_entry_delta,matched40k_h2_entry_delta,comparison_scope
1,covid19_twitter,ukr_rus_twitter,2,10000,40000,10000,40000.0,0.9686388991060024,0.9711098078703704,-0.0024709087643679517,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,covid_political,ukr_rus_twitter,4,10000,40000,10000,40000.0,0.849269073595147,0.8448359347222225,0.004433138872924514,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,cp_hk_twitter,ukr_rus_twitter,8,10000,40000,10000,40000.0,0.723828675862069,0.7063602985632186,0.017468377298850424,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,election2020,ukr_rus_twitter,5,10000,40000,10000,40000.0,0.834599335632184,0.8302339057471265,0.0043654298850575035,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,midterm,ukr_rus_twitter,3,10000,40000,10000,40000.0,0.8770630454980844,0.8699922557950192,0.007070789703065294,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,twibot20,ukr_rus_twitter,7,10000,40000,10000,40000.0,0.9081055982918264,0.9099036612867178,-0.0017980629948914917,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,ukr_rus_suspended,ukr_rus_twitter,6,10000,40000,10000,40000.0,0.8147094114942528,0.8232057425287356,-0.008496331034482774,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
1,ukr_rus_twitter,ukr_rus_twitter,1,10000,40000,10000,40000.0,0.9381256633620688,0.9455077090836528,-0.007382045721583963,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,covid19_twitter,covid19_twitter,2,20000,40000,10000,20000.0,0.9781387495689654,0.980046657774585,-0.0019079082056195906,True,0.009499850462962978,0.008936849904214617,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,covid_political,covid19_twitter,4,20000,40000,10000,20000.0,0.8541287472701149,0.8474316738186461,0.006697073451468749,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,cp_hk_twitter,covid19_twitter,8,20000,40000,10000,20000.0,0.7177069556034483,0.7173846643678162,0.0003222912356320995,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,election2020,covid19_twitter,5,20000,40000,10000,20000.0,0.8390638321839082,0.8268513448275864,0.012212487356321855,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,midterm,covid19_twitter,3,20000,40000,10000,20000.0,0.8855703485153257,0.8841330986270752,0.001437249888250447,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,twibot20,covid19_twitter,7,20000,40000,10000,20000.0,0.9187527666826312,0.9161999911398468,0.0025527755427843246,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,ukr_rus_suspended,covid19_twitter,6,20000,40000,10000,20000.0,0.8126481149425285,0.8000634321839081,0.012584682758620458,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
2,ukr_rus_twitter,covid19_twitter,1,20000,40000,10000,20000.0,0.9393843307790548,0.9431266049648788,-0.003742274185823957,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,covid19_twitter,midterm,2,30000,40000,10000,13333.333333333334,0.9775905853448276,0.9784782560504472,-0.0008876707056196809,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,covid_political,midterm,4,30000,40000,10000,13333.333333333334,0.8456067858077906,0.8504164077266924,-0.004809621918901774,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,cp_hk_twitter,midterm,8,30000,40000,10000,13333.333333333334,0.7081249866379309,0.7122497915229887,-0.004124804885057842,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,election2020,midterm,5,30000,40000,10000,13333.333333333334,0.8325442252873562,0.8256378528735632,0.006906372413792994,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
