order,rung,target_step,added_dataset,dataset,role,before_auc,after_auc,delta_auc
C,2,20000,covid_political,covid_political,newcomer,0.807651812308429,0.908219244556194,0.10056743224776499
C,2,20000,covid_political,election2020,incumbent,0.934022372413793,0.9329867586206896,-0.0010356137931034626
C,2,20000,covid_political,ukr_rus_suspended,held_out,0.6347142620689655,0.5859298850574712,-0.048784377011494295
C,2,20000,covid_political,twibot20,held_out,0.77512250545977,0.7835905459610473,0.008468040501277252
C,2,20000,covid_political,cp_hk_twitter,held_out,0.606691700862069,0.6055631727011495,-0.001128528160919573
C,3,30000,cp_hk_twitter,ukr_rus_twitter,held_out,0.6859486450670498,0.7569122664272031,0.07096362136015333
C,3,30000,cp_hk_twitter,covid19_twitter,held_out,0.7619211570561941,0.8439399207215836,0.08201876366538952
C,3,30000,cp_hk_twitter,midterm,held_out,0.7688718019157089,0.8210547066730524,0.05218290475734344
C,3,30000,cp_hk_twitter,covid_political,incumbent,0.908219244556194,0.907748064639208,-0.0004711799169859754
C,3,30000,cp_hk_twitter,election2020,incumbent,0.9329867586206896,0.9329700597701148,-1.669885057475895e-05
C,3,30000,cp_hk_twitter,ukr_rus_suspended,held_out,0.5859298850574712,0.6350330551724139,0.049103170114942696
C,3,30000,cp_hk_twitter,twibot20,held_out,0.7835905459610473,0.814064254262452,0.030473708301404723
C,3,30000,cp_hk_twitter,cp_hk_twitter,newcomer,0.6055631727011495,0.8851082464080461,0.27954507370689663
C,4,40000,ukr_rus_suspended,ukr_rus_twitter,held_out,0.7569122664272031,0.8151149537675608,0.05820268734035772
C,4,40000,ukr_rus_suspended,covid19_twitter,held_out,0.8439399207215836,0.8894735977330779,0.045533677011494245
C,4,40000,ukr_rus_suspended,midterm,held_out,0.8210547066730524,0.8307713589559388,0.009716652282886429
C,4,40000,ukr_rus_suspended,covid_political,incumbent,0.907748064639208,0.9097092776021712,0.0019612129629632546
C,4,40000,ukr_rus_suspended,election2020,incumbent,0.9329700597701148,0.927871551724138,-0.0050985080459767795
C,4,40000,ukr_rus_suspended,ukr_rus_suspended,newcomer,0.6350330551724139,0.9545211080459772,0.3194880528735633
C,4,40000,ukr_rus_suspended,twibot20,held_out,0.814064254262452,0.8315951131864624,0.017530858924010406
C,4,40000,ukr_rus_suspended,cp_hk_twitter,incumbent,0.8851082464080461,0.8834660028735632,-0.0016422435344828346
C,5,50000,midterm,ukr_rus_twitter,held_out,0.8151149537675608,0.8395650855683269,0.02445013180076605
C,5,50000,midterm,covid19_twitter,held_out,0.8894735977330779,0.9188872831896552,0.0294136854565773
C,5,50000,midterm,midterm,newcomer,0.8307713589559388,0.9115008100574714,0.08072945110153262
C,5,50000,midterm,covid_political,incumbent,0.9097092776021712,0.9073992922573436,-0.0023099853448276253
C,5,50000,midterm,election2020,incumbent,0.927871551724138,0.926411312643678,-0.0014602390804600018
C,5,50000,midterm,ukr_rus_suspended,incumbent,0.9545211080459772,0.9541689655172416,-0.0003521425287356106
C,5,50000,midterm,twibot20,held_out,0.8315951131864624,0.8637547000478926,0.03215958686143017
C,5,50000,midterm,cp_hk_twitter,incumbent,0.8834660028735632,0.8821450971264366,-0.0013209057471266217
C,6,60000,twibot20,ukr_rus_twitter,held_out,0.8395650855683269,0.8784961093710089,0.038931023802681985
C,6,60000,twibot20,covid19_twitter,held_out,0.9188872831896552,0.9536197344029376,0.03473245121328239
C,6,60000,twibot20,midterm,incumbent,0.9115008100574714,0.9096849896871008,-0.0018158203703706466
C,6,60000,twibot20,covid_political,incumbent,0.9073992922573436,0.9088609128192846,0.0014616205619409905
C,6,60000,twibot20,election2020,incumbent,0.926411312643678,0.925857243678161,-0.0005540689655170183
C,6,60000,twibot20,ukr_rus_suspended,incumbent,0.9541689655172416,0.9526793172413794,-0.0014896482758621765
C,6,60000,twibot20,twibot20,newcomer,0.8637547000478926,0.9343514401181352,0.07059674007024264
C,6,60000,twibot20,cp_hk_twitter,incumbent,0.8821450971264366,0.8810501008620689,-0.0010949962643677091
C,7,70000,ukr_rus_twitter,ukr_rus_twitter,newcomer,0.8784961093710089,0.9339096427203064,0.05541353334929755
C,7,70000,ukr_rus_twitter,covid19_twitter,held_out,0.9536197344029376,0.966792074872286,0.013172340469348454
C,7,70000,ukr_rus_twitter,midterm,incumbent,0.9096849896871008,0.9090591789591316,-0.0006258107279691894
C,7,70000,ukr_rus_twitter,covid_political,incumbent,0.9088609128192846,0.9059118627075352,-0.002949050111749396
C,7,70000,ukr_rus_twitter,election2020,incumbent,0.925857243678161,0.9222670275862068,-0.0035902160919542014
C,7,70000,ukr_rus_twitter,ukr_rus_suspended,incumbent,0.9526793172413794,0.9512164000000002,-0.001462917241379258
C,7,70000,ukr_rus_twitter,twibot20,incumbent,0.9343514401181352,0.934322932056194,-2.850806194121258e-05
C,7,70000,ukr_rus_twitter,cp_hk_twitter,incumbent,0.8810501008620689,0.8772983941091953,-0.003751706752873618
C,8,80000,covid19_twitter,ukr_rus_twitter,incumbent,0.9339096427203064,0.9356909881385695,0.001781345418263136
C,8,80000,covid19_twitter,covid19_twitter,newcomer,0.966792074872286,0.9766509277777778,0.009858852905491822
C,8,80000,covid19_twitter,midterm,incumbent,0.9090591789591316,0.9088692462164752,-0.0001899327426563291
C,8,80000,covid19_twitter,covid_political,incumbent,0.9059118627075352,0.9090427650223496,0.0031309023148143877
C,8,80000,covid19_twitter,election2020,incumbent,0.9222670275862068,0.919308004597701,-0.0029590229885058106
C,8,80000,covid19_twitter,ukr_rus_suspended,incumbent,0.9512164000000002,0.9499892091954024,-0.0012271908045977664
C,8,80000,covid19_twitter,twibot20,incumbent,0.934322932056194,0.9359342233716476,0.0016112913154535669
C,8,80000,covid19_twitter,cp_hk_twitter,incumbent,0.8772983941091953,0.8784721379310345,0.0011737438218392127
