model,artifact_order,rung,target_step,dataset,test_accuracy,test_f1,test_roc_auc,evidence_path
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,covid19_twitter,0.5839111111111112,0.5838724930247373,0.9686388991060024,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_covid19_twitter_nm_3shot_30way_02_08_2026_13_32_06/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,covid_political,0.16402777777777777,0.1637187635403442,0.849269073595147,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_covid_political_nm_3shot_30way_02_08_2026_13_55_33/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,cp_hk_twitter,0.15755,0.15757377850073928,0.723828675862069,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_14_10_49/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,election2020,0.1376,0.13646940342885375,0.834599335632184,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_election2020_nm_3shot_30way_02_08_2026_14_01_57/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,midterm,0.28501666666666664,0.2878294718966845,0.8770630454980844,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_midterm_nm_3shot_30way_02_08_2026_13_46_05/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,twibot20,0.3604,0.3603215691174844,0.9081055982918264,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_twibot20_nm_3shot_30way_02_08_2026_14_05_15/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,ukr_rus_suspended,0.23453333333333334,0.23454765162657665,0.8147094114942528,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_ukr_rus_suspended_nm_3shot_30way_02_08_2026_14_03_34/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r1,A,1,10000,ukr_rus_twitter,0.47818333333333335,0.47820482317957463,0.9381256633620689,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_ukr_rus_twitter_nm_3shot_30way_02_08_2026_13_23_51/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r2,A,2,20000,covid19_twitter,0.6404944444444445,0.640442008739712,0.9781387495689654,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_covid19_twitter_nm_3shot_30way_02_08_2026_13_34_35/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r2,A,2,20000,covid_political,0.1741888888888889,0.17415907189265759,0.8541287472701149,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_covid_political_nm_3shot_30way_02_08_2026_13_55_36/data/metrics_test_step0.json
nm_ladder_fx10k_h2m_ordA_r2,A,2,20000,cp_hk_twitter,0.15551666666666666,0.15539574139870946,0.7177069556034483,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_14_12_13/data/metrics_test_step0.json
