pair,source,total_step,source_updates,positive_examples,selected,auc,bce,delta_to_selected_single_pp,matched_exposure_delta_pp,matched_budget_delta_pp
covid19_twitter + cp_hk_twitter,covid19_twitter,8000,4000,4093408,False,97.17004582881927,0.13528739714169852,-1.0510112524032666,0.25074284076691544,-0.5169184684753358
covid19_twitter + cp_hk_twitter,covid19_twitter,10000,5000,5116760,False,97.4581392288208,0.13960238160120844,-0.7629178524017455,,-0.3107319116592455
covid19_twitter + cp_hk_twitter,covid19_twitter,12000,6000,6140112,False,97.59196753501894,0.12833384461636566,-0.6290895462036095,0.16223969459536747,-0.2754161834716662
covid19_twitter + cp_hk_twitter,covid19_twitter,14000,7000,7163464,False,97.69762470722199,0.12177316935287033,-0.5234323740005542,,-0.2540812253951974
covid19_twitter + cp_hk_twitter,covid19_twitter,16000,8000,8186816,False,97.7818279504776,0.11922827570481537,-0.43922913074493364,0.09486365318299717,-0.1749437808990617
covid19_twitter + cp_hk_twitter,covid19_twitter,18000,9000,9209520,False,97.80184152126313,0.11801369014039305,-0.4192155599594183,,-0.20449228286741894
covid19_twitter + cp_hk_twitter,covid19_twitter,20000,10000,10232872,False,97.84044010639191,0.11971526602051764,-0.3806169748306276,0.07156896591187234,-0.18790900707245095
covid19_twitter + cp_hk_twitter,covid19_twitter,22000,11000,11256224,False,97.8548032283783,0.11637187823385585,-0.36625385284424494,,-0.18860111236571608
covid19_twitter + cp_hk_twitter,covid19_twitter,24000,12000,12279576,False,97.8957721710205,0.11532906625560219,-0.3252849102020394,0.02838845252990385,-0.21220397949218706
covid19_twitter + cp_hk_twitter,covid19_twitter,26000,13000,13302928,False,97.94950275421142,0.11425027334786897,-0.27155432701111426,,-0.1805408000945974
covid19_twitter + cp_hk_twitter,covid19_twitter,28000,14000,14326280,False,97.95000629425049,0.11410393464572265,-0.2710507869720491,-0.001699638366692291,-0.1796842098236051
covid19_twitter + cp_hk_twitter,covid19_twitter,30000,15000,15349632,False,97.94610531330109,0.11663573296202244,-0.2749517679214497,,-0.19690208435056977
covid19_twitter + cp_hk_twitter,covid19_twitter,32000,16000,16372984,False,97.98862125873565,0.1126721307439131,-0.2324358224868872,0.03184952735898472,-0.18113756179810592
covid19_twitter + cp_hk_twitter,covid19_twitter,34000,17000,17396336,False,97.99083645343781,0.11237740413546107,-0.2302206277847274,,-0.16286070346831494
covid19_twitter + cp_hk_twitter,covid19_twitter,36000,18000,18419040,False,97.92232432365417,0.11541701215107299,-0.29873275756837625,-0.08400948047637691,-0.24324834346771684
covid19_twitter + cp_hk_twitter,covid19_twitter,38000,19000,19442392,False,98.02250957489015,0.1119015402805779,-0.1985475063323916,,-0.10182387828825412
covid19_twitter + cp_hk_twitter,covid19_twitter,40000,20000,20465744,False,98.03969154357911,0.11107515904942535,-0.18136553764342978,0.011342430114746893,-0.15934653282165812
covid19_twitter + cp_hk_twitter,covid19_twitter,42000,21000,21489096,False,98.0452819824219,0.11291154265819056,-0.17577509880064568,,-0.17577509880064568
covid19_twitter + cp_hk_twitter,covid19_twitter,44000,22000,22512448,False,98.04101002216339,0.11070275470275796,-0.18004705905915186,-0.0023943185806230005,-0.14480950832368444
covid19_twitter + cp_hk_twitter,covid19_twitter,46000,23000,23535800,False,98.0532836675644,0.11053441080281842,-0.16777341365813436,,-0.10122227668760697
covid19_twitter + cp_hk_twitter,covid19_twitter,48000,24000,24559152,False,98.08641066551208,0.10937230266350735,-0.13464641571045988,-0.02156548500060751,-0.1076228141784652
covid19_twitter + cp_hk_twitter,covid19_twitter,50000,25000,25582504,False,98.05629768371583,0.11258099379486977,-0.16475939750671964,,
covid19_twitter + cp_hk_twitter,covid19_twitter,52000,26000,26605856,False,98.04583039283752,0.10986830607879702,-0.17522668838502176,-0.08421316146850488,
covid19_twitter + cp_hk_twitter,covid19_twitter,54000,27000,27628560,False,98.10270833969116,0.10959270951053343,-0.1183487415313822,,
covid19_twitter + cp_hk_twitter,covid19_twitter,56000,28000,28651912,False,98.10392868518828,0.1117958484692291,-0.11712839603426062,-0.025761818885816634,
covid19_twitter + cp_hk_twitter,covid19_twitter,58000,29000,29675264,True,98.08769681453704,0.10903802276070233,-0.1333602666855005,,
covid19_twitter + cp_hk_twitter,covid19_twitter,60000,30000,30698616,False,98.05585496425627,0.11003233243720016,-0.16520211696626763,-0.0871524333953877,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,2000,1000,1023565,False,98.86140863895416,0.12052236981244643,-0.797237014770491,,-0.2845890522003125
covid19_twitter + cp_hk_twitter,cp_hk_twitter,4000,2000,2047130,False,99.42411839962007,0.07872875937550204,-0.2345272541045884,0.2781207084655901,0.014061212539684398
covid19_twitter + cp_hk_twitter,cp_hk_twitter,6000,3000,3070550,False,99.58704571723939,0.0589990828148651,-0.07159993648526708,,0.08608443737030402
covid19_twitter + cp_hk_twitter,cp_hk_twitter,8000,4000,4094115,False,99.59867196083069,0.04932078512097694,-0.05997369289396648,0.18861477375030633,0.11947369575499023
covid19_twitter + cp_hk_twitter,cp_hk_twitter,10000,5000,5117535,False,99.70109632015229,0.04592480244751331,0.04245066642762918,,0.12167325019837305
covid19_twitter + cp_hk_twitter,cp_hk_twitter,12000,6000,6141100,False,99.71141347885133,0.04000849500625845,0.052767825126676104,0.2104521989822472,0.15409018993379764
covid19_twitter + cp_hk_twitter,cp_hk_twitter,14000,7000,7164520,False,99.71112325191498,0.03780130171848884,0.05247759819033693,,0.09312071800232635
covid19_twitter + cp_hk_twitter,cp_hk_twitter,16000,8000,8188085,False,99.70843214988709,0.036643110089622656,0.049786496162440574,0.22923388481139728,0.049786496162440574
covid19_twitter + cp_hk_twitter,cp_hk_twitter,18000,9000,9211505,False,99.71981194019318,0.03560705371938473,0.061166286468528064,,0.09724550247193209
covid19_twitter + cp_hk_twitter,cp_hk_twitter,20000,10000,10235070,False,99.74624941349029,0.03583622136058694,0.08760375976564205,0.16682634353638592,0.11629834175109766
covid19_twitter + cp_hk_twitter,cp_hk_twitter,22000,11000,11258490,False,99.72915575504302,0.03432535874214721,0.07051010131836621,,0.11135251522063072
covid19_twitter + cp_hk_twitter,cp_hk_twitter,24000,12000,12282055,False,99.73022966384887,0.03452055397925698,0.07158401012421489,0.17290637493133643,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,26000,13000,13305475,False,99.74782013893129,0.033948840891139066,0.0891744852066334,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,28000,14000,14329040,False,99.74762461185453,0.03307009048955992,0.08897895812988166,0.12962207794187108,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,30000,15000,15352460,False,99.72612490653991,0.033966770433261476,0.06747925281526124,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,32000,16000,16376025,False,99.74801704883576,0.03276968454296294,0.08937139511110415,0.08937139511110415,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,34000,17000,17399445,False,99.73613772392274,0.03305624556300581,0.07749207019808191,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,36000,18000,18423010,False,99.70322828292846,0.03470086047683009,0.04458262920380429,0.08066184520720832,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,38000,19000,19446430,False,99.74222996234894,0.032594037667382045,0.0835843086242849,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,40000,20000,20469995,False,99.75348415374756,0.032353456562684284,0.09483850002290906,0.12353308200836466,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,42000,21000,21493415,False,99.76602947711945,0.032120631507522424,0.10738382339479102,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,44000,22000,22516980,False,99.73600986003875,0.033056918987323484,0.07736420631409002,0.11820662021635453,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,46000,23000,23540400,False,99.74956893920897,0.032029198309522076,0.09092328548432338,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,48000,24000,24563965,False,99.74720940589906,0.03230977217329905,0.0885637521744087,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,50000,25000,25587385,False,99.7393409729004,0.03331290616698183,0.08069531917573869,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,52000,26000,26610950,False,99.74123592376709,0.03259554409970073,0.08259027004243746,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,54000,27000,27634370,False,99.76764869689943,0.031701701170838176,0.10900304317477127,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,56000,28000,28657935,False,99.77453639507294,0.03206833927971663,0.11589074134829014,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,58000,29000,29681355,True,99.75268297195436,0.03208908086656739,0.09403731822970052,,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,60000,30000,30704920,False,99.74428949356079,0.03264554970460065,0.08564383983613588,,
covid19_twitter + facebook_page_reference,covid19_twitter,2000,1000,1023352,False,95.04406776428223,0.19712574740577232,-3.176989316940315,,-0.9532530546188411
covid19_twitter + facebook_page_reference,covid19_twitter,4000,2000,2046704,False,96.40382819175719,0.16413626351907923,-1.8172288894653499,0.40650737285612415,-0.5154747962951678
covid19_twitter + facebook_page_reference,covid19_twitter,6000,3000,3070056,False,96.73034253120424,0.1494313558072156,-1.4907145500183017,,-0.6993853092193247
covid19_twitter + facebook_page_reference,covid19_twitter,8000,4000,4093408,False,97.14410507678986,0.14262046214385043,-1.0769520044326852,0.22480208873749685,-0.5428592205047544
covid19_twitter + facebook_page_reference,covid19_twitter,10000,5000,5116760,False,97.21342740058898,0.13686872402202627,-1.0076296806335594,,-0.5554437398910594
covid19_twitter + facebook_page_reference,covid19_twitter,12000,6000,6140112,False,97.33090839385986,0.1305234873104937,-0.8901486873626796,-0.09881944656370267,-0.5364753246307363
covid19_twitter + facebook_page_reference,covid19_twitter,14000,7000,7163464,False,97.4279487133026,0.12821725026370653,-0.7931083679199369,,-0.5237572193145801
covid19_twitter + facebook_page_reference,covid19_twitter,16000,8000,8186816,True,97.48731956481934,0.12706634406034525,-0.733737516403199,-0.19964473247526815,-0.469452166557327
covid19_twitter + facebook_page_reference,covid19_twitter,18000,9000,9209520,False,97.47119767665863,0.12663791087409101,-0.7498594045639129,,-0.5351361274719135
covid19_twitter + facebook_page_reference,covid19_twitter,20000,10000,10232872,False,97.53409464359284,0.12579269583958136,-0.6869624376297012,-0.23477649688720126,-0.49425446987152455
covid19_twitter + facebook_page_reference,covid19_twitter,22000,11000,11256224,False,97.55265069007874,0.12480290427637228,-0.6684063911438054,,-0.49075365066527654
covid19_twitter + facebook_page_reference,facebook_page_reference,2000,1000,1014089,False,93.9078466653824,0.2301393302670117,-1.476686644554126,,-1.1149221658706576
covid19_twitter + facebook_page_reference,facebook_page_reference,4000,2000,2027595,False,95.35252513885499,0.19334764126971635,-0.03200817108152121,0.3297563076019472,-0.18187472820281325
covid19_twitter + facebook_page_reference,facebook_page_reference,6000,3000,3041684,False,95.55175273418426,0.1833245567660466,0.16721942424774427,,0.16721942424774427
covid19_twitter + facebook_page_reference,facebook_page_reference,8000,4000,4055190,False,96.02064883708952,0.1720320308596041,0.6361155271530139,0.48624897003172185,0.7644714593887159
covid19_twitter + facebook_page_reference,facebook_page_reference,10000,5000,5069279,False,96.0970952987671,0.16958318612094087,0.7125619888305845,,1.1780575990677056
covid19_twitter + facebook_page_reference,facebook_page_reference,12000,6000,6082785,False,96.07445402145386,0.1729463532718242,0.6899207115173445,0.6899207115173445,1.3666736841201677
covid19_twitter + facebook_page_reference,facebook_page_reference,14000,7000,7096874,False,96.08607888221741,0.17278053570112134,0.7015455722808928,,
covid19_twitter + facebook_page_reference,facebook_page_reference,16000,8000,8110380,True,96.19932487010955,0.1700443059636084,0.8147915601730338,0.9431474924087357,
covid19_twitter + facebook_page_reference,facebook_page_reference,18000,9000,9124469,False,95.98249409198762,0.1764220737179303,0.597960782051099,,
covid19_twitter + facebook_page_reference,facebook_page_reference,20000,10000,10137975,False,96.04353575706482,0.17696481777885242,0.6590024471282985,1.1244980573654195,
covid19_twitter + facebook_page_reference,facebook_page_reference,22000,11000,11152064,False,96.00598652362822,0.1779801410080059,0.6214532136917139,,
covid19_twitter + midterm,covid19_twitter,2000,1000,1023352,False,94.9551060438156,0.1999432929832627,-3.2659510374069334,,-1.0422147750854593
covid19_twitter + midterm,covid19_twitter,4000,2000,2046704,False,96.3192374944687,0.16420279183607325,-1.90181958675385,0.32191667556762393,-0.600065493583668
covid19_twitter + midterm,covid19_twitter,6000,3000,3070056,False,96.88535025119782,0.14735271670152894,-1.3357068300247188,,-0.5443775892257419
covid19_twitter + midterm,covid19_twitter,8000,4000,4093408,False,97.17199037075042,0.1368902453912671,-1.049066710472124,0.252687382698058,-0.5149739265441933
covid19_twitter + midterm,covid19_twitter,10000,5000,5116760,False,97.41409070491791,0.13134550278280344,-0.8069663763046298,,-0.3547804355621298
covid19_twitter + midterm,covid19_twitter,12000,6000,6140112,False,97.54967224597931,0.1274394033208636,-0.6713848352432272,0.1199444055557497,-0.31771147251128395
covid19_twitter + midterm,covid19_twitter,14000,7000,7163464,False,97.62738671302796,0.12385856322430051,-0.5936703681945876,,-0.3243192195892308
covid19_twitter + midterm,covid19_twitter,16000,8000,8186816,False,97.64768164157869,0.12213028106588975,-0.5733754396438528,-0.039282655715922044,-0.3090900897979809
covid19_twitter + midterm,covid19_twitter,18000,9000,9209520,False,97.68744311332702,0.12179354988115983,-0.5336139678955187,,-0.3188906908035194
covid19_twitter + midterm,covid19_twitter,20000,10000,10232872,False,97.78467547893524,0.11970702884686579,-0.4363816022873057,0.015804338455194245,-0.24367363452912905
covid19_twitter + midterm,covid19_twitter,22000,11000,11256224,False,97.77336258888245,0.11830997945203417,-0.4476944923400894,,-0.27004175186156054
covid19_twitter + midterm,covid19_twitter,24000,12000,12279576,False,97.83297731876374,0.11873179096131994,-0.38807976245880393,-0.03440639972686066,-0.27499883174895157
covid19_twitter + midterm,covid19_twitter,26000,13000,13302928,False,97.85002417564391,0.11820695441973367,-0.37103290557862767,,-0.2800193786621108
covid19_twitter + midterm,covid19_twitter,28000,14000,14326280,False,97.8628083705902,0.11675209577333232,-0.3582487106323362,-0.0888975620269794,-0.2668821334838922
covid19_twitter + midterm,covid19_twitter,30000,15000,15349632,False,97.88256566524505,0.11646205877337652,-0.3384914159774932,,-0.2604417324066133
covid19_twitter + midterm,covid19_twitter,32000,16000,16372984,False,97.87285182476043,0.11594589453851048,-0.34820525646210854,-0.0839199066162366,-0.29690699577332724
covid19_twitter + midterm,covid19_twitter,34000,17000,17396336,True,97.89261956214905,0.11590158436926888,-0.32843751907348784,,-0.26107759475707537
covid19_twitter + midterm,covid19_twitter,36000,18000,18419040,False,97.90029726028443,0.11633377606950449,-0.3207598209381102,-0.10603654384611083,-0.26527540683745077
covid19_twitter + midterm,covid19_twitter,38000,19000,19442392,False,97.88498189449311,0.1161107576785114,-0.33607518672943426,,-0.23935155868529678
covid19_twitter + midterm,covid19_twitter,40000,20000,20465744,False,97.90388417243958,0.11517245276586713,-0.3171729087829589,-0.12446494102478223,-0.29515390396118724
covid19_twitter + midterm,midterm,2000,1000,1023408,False,96.12071120738982,0.19558605549151178,-2.2831625223159846,,-0.7431311130523865
covid19_twitter + midterm,midterm,4000,2000,2046816,False,97.4939001083374,0.1496441947779373,-0.9099736213683984,0.6300577878951996,-0.2653990745544399
covid19_twitter + midterm,midterm,6000,3000,3070224,False,97.98687670230865,0.1284940671826105,-0.41699702739714795,,-0.1326976299285798
covid19_twitter + midterm,midterm,8000,4000,4093632,False,98.13748416900636,0.11794671031080556,-0.26638956069945374,0.3781849861145048,-0.1407664537429798
covid19_twitter + midterm,midterm,10000,5000,5117040,False,98.31678700447083,0.10892183683848475,-0.08708672523498606,,0.013847017288193264
covid19_twitter + midterm,midterm,12000,6000,6140448,False,98.39392347335814,0.10504729632361637,-0.009950256347657227,0.2743491411209109,0.03133471012114475
covid19_twitter + midterm,midterm,14000,7000,7163856,False,98.4015328168869,0.10374588872789042,-0.0023409128189100237,,0.014721059799183145
covid19_twitter + midterm,midterm,16000,8000,8187264,False,98.44151132106781,0.10216471038202098,0.037637591362005285,0.16326069831847922,0.14445912837982577
covid19_twitter + midterm,midterm,18000,9000,9210672,False,98.4697779893875,0.10124596408078124,0.06590425968169278,,0.06590425968169278
covid19_twitter + midterm,midterm,20000,10000,10234080,False,98.54746980667113,0.09863979435850047,0.1435960769653244,0.24452981948850372,0.2321211099624465
covid19_twitter + midterm,midterm,22000,11000,11257488,False,98.52084136009218,0.09847022975244106,0.11696763038636648,,0.21118707656861968
covid19_twitter + midterm,midterm,24000,12000,12280896,False,98.57083933353424,0.09717312122264768,0.1669656038284284,0.20825057029723038,0.2600720882415808
covid19_twitter + midterm,midterm,26000,13000,13304304,False,98.59990165233613,0.09666876230947984,0.1960279226303263,,
covid19_twitter + midterm,midterm,28000,14000,14327712,False,98.60086519718169,0.09572005840291749,0.19699146747589324,0.2140534400939864,
covid19_twitter + midterm,midterm,30000,15000,15351120,False,98.58696365356444,0.0957316998648836,0.18308992385863698,,
covid19_twitter + midterm,midterm,32000,16000,16374380,False,98.58595864772796,0.09597598668854163,0.18208491802216287,0.28890645503998336,
covid19_twitter + midterm,midterm,34000,17000,17397788,True,98.62176361083984,0.09506770062883715,0.21788988113403684,,
covid19_twitter + midterm,midterm,36000,18000,18421196,False,98.60700089931488,0.09541326300518317,0.20312716960907418,0.20312716960907418,
covid19_twitter + midterm,midterm,38000,19000,19444604,False,98.58028061389923,0.09610675662526444,0.1764068841934252,,
covid19_twitter + midterm,midterm,40000,20000,20468012,False,98.58118853569029,0.09631624421154503,0.17731480598448535,0.26583983898160746,
covid19_twitter + twibot20,covid19_twitter,2000,1000,1023352,False,94.50992555618285,0.2042615990617146,-3.7111315250396903,,-1.4873952627182163
covid19_twitter + twibot20,covid19_twitter,4000,2000,2046704,False,96.0869349718094,0.1689740314160771,-2.134122109413139,0.08961415290833497,-0.832368016242957
covid19_twitter + twibot20,covid19_twitter,6000,3000,3070056,False,96.5531477689743,0.15219422471323807,-1.6679093122482391,,-0.8765800714492622
covid19_twitter + twibot20,covid19_twitter,8000,4000,4093408,False,96.92114977836607,0.14310803518791504,-1.2999073028564623,0.001846790313719815,-0.7658145189285315
covid19_twitter + twibot20,covid19_twitter,10000,5000,5116760,False,97.24680869579313,0.13542651988596618,-0.9742483854293993,,-0.5220624446868993
covid19_twitter + twibot20,covid19_twitter,12000,6000,6140112,False,97.43765168190002,0.13045604923411372,-0.7834053993225121,0.007923841476464855,-0.4297320365905688
covid19_twitter + twibot20,covid19_twitter,14000,7000,7163464,False,97.51220631599426,0.1271445382004668,-0.708850765228275,,-0.43949961662291814
covid19_twitter + twibot20,covid19_twitter,16000,8000,8186816,False,97.6016853094101,0.12511307529547824,-0.6193717718124381,-0.08527898788450727,-0.35508642196656615
covid19_twitter + twibot20,covid19_twitter,18000,9000,9209520,False,97.65217175483703,0.12310610167056453,-0.5688853263855154,,-0.354162049293516
covid19_twitter + twibot20,covid19_twitter,20000,10000,10232872,False,97.68967320919037,0.12158677185224623,-0.5313838720321651,-0.07919793128966512,-0.3386759042739884
covid19_twitter + twibot20,covid19_twitter,22000,11000,11256224,False,97.75252385139466,0.12037810062515085,-0.46853322982788326,,-0.2908804893493544
covid19_twitter + twibot20,covid19_twitter,24000,12000,12279576,False,97.69348871707916,0.12374098728034881,-0.5275683641433826,-0.17389500141143932,-0.41448743343353023
covid19_twitter + twibot20,covid19_twitter,26000,13000,13302928,False,97.79192237854004,0.11893381391854278,-0.42913470268249876,,-0.3381211757659819
covid19_twitter + twibot20,covid19_twitter,28000,14000,14326280,False,97.82301428318023,0.11854899677239689,-0.39804279804230847,-0.12869164943695166,-0.3066762208938645
covid19_twitter + twibot20,covid19_twitter,30000,15000,15349632,False,97.83567821979523,0.11756775104259949,-0.38537886142731015,,-0.3073291778564302
covid19_twitter + twibot20,covid19_twitter,32000,16000,16372984,False,97.83489062786103,0.11790071331506159,-0.3861664533615139,-0.12188110351564196,-0.3348681926727326
covid19_twitter + twibot20,covid19_twitter,34000,17000,17396336,False,97.8127590417862,0.11782998843818578,-0.40829803943635,,-0.34093811511993755
covid19_twitter + twibot20,covid19_twitter,36000,18000,18419040,False,97.8560992002487,0.11628650883295098,-0.3649578809738374,-0.15023460388183807,-0.309473466873178
covid19_twitter + twibot20,covid19_twitter,38000,19000,19442392,False,97.90085661411285,0.11522967265590608,-0.3202004671096881,,-0.2234768390655506
covid19_twitter + twibot20,covid19_twitter,40000,20000,20465744,False,97.9108116388321,0.11483351662180573,-0.3102454423904333,-0.11753747463225661,-0.2882264375686616
covid19_twitter + twibot20,covid19_twitter,42000,21000,21489096,False,97.91985847949982,0.11488542887048346,-0.3011986017227186,,-0.3011986017227186
covid19_twitter + twibot20,covid19_twitter,44000,22000,22512448,False,97.84724128246306,0.1163145004674114,-0.37381579875948034,-0.19616305828095149,-0.33857824802401293
covid19_twitter + twibot20,covid19_twitter,46000,23000,23535800,True,97.89809694290162,0.11473882579508983,-0.32296013832092685,,-0.25640900135039946
covid19_twitter + twibot20,twibot20,2000,1000,1023883,False,93.76926593780517,0.23335061380420494,-4.0144899368286024,,-1.1454442739486703
covid19_twitter + twibot20,twibot20,4000,2000,2047649,False,95.34063444137571,0.1960158978977348,-2.4431214332580664,0.4259242296218657,-0.736365842819231
covid19_twitter + twibot20,twibot20,6000,3000,3071415,False,95.96893246173859,0.17537322984179352,-1.8148234128951946,,-0.6629491567611723
covid19_twitter + twibot20,twibot20,8000,4000,4095298,False,96.40258758068084,0.16449369683395237,-1.381168293952939,0.32558729648589635,-0.6028477907180751
covid19_twitter + twibot20,twibot20,10000,5000,5119064,False,96.7910730600357,0.157449480164094,-0.9926828145980893,,-0.33505492210389454
covid19_twitter + twibot20,twibot20,12000,6000,6142830,False,96.95425291061402,0.15136650597152732,-0.8295029640197682,0.3223712921142541,-0.2937722206115656
covid19_twitter + twibot20,twibot20,14000,7000,7166713,False,97.07529382705688,0.14821370030600564,-0.7084620475768966,,-0.3321061372757006
covid19_twitter + twibot20,twibot20,16000,8000,8190479,False,97.20218636989594,0.1456736420012886,-0.5815695047378444,0.1967509984970195,-0.23808128833769926
covid19_twitter + twibot20,twibot20,18000,9000,9214245,False,97.27977721691131,0.1447552763277177,-0.5039786577224703,,-0.23274452686309344
