pair,source,single_step,joint_step,joint_source_updates,exposure_ratio,single_auc,selected_auc,best_logged_auc,best_logged_step,selected_delta,best_delta,matched_single_auc
covid19_twitter + covid_political,covid19_twitter,42000,28000,14000,0.3333333333333333,98.22105708122254,97.76660442352296,97.7781110048294,32000,-0.45445265769957777,-0.4429460763931359,97.95170593261719
covid19_twitter + covid_political,covid_political,14000,28000,14000,1.0,97.34412062168121,98.80814020633697,98.85601708889008,24000,1.4640195846557624,1.511896467208873,97.34412062168121
covid19_twitter + cp_hk_twitter,covid19_twitter,42000,58000,29000,0.6904761904761905,98.22105708122254,98.08769681453704,98.10392868518828,56000,-0.1333602666855005,-0.11712839603426062,
covid19_twitter + cp_hk_twitter,cp_hk_twitter,16000,58000,29000,1.8125,99.65864565372465,99.75268297195436,99.77453639507294,56000,0.09403731822970052,0.11589074134829014,
covid19_twitter + facebook_page_reference,covid19_twitter,42000,16000,8000,0.19047619047619047,98.22105708122254,97.48731956481934,97.55265069007874,22000,-0.733737516403199,-0.6684063911438054,97.68696429729461
covid19_twitter + facebook_page_reference,facebook_page_reference,6000,16000,8000,1.3333333333333333,95.38453330993651,96.19932487010955,96.19932487010955,16000,0.8147915601730338,0.8147915601730338,95.25617737770081
covid19_twitter + midterm,covid19_twitter,42000,34000,17000,0.40476190476190477,98.22105708122254,97.89261956214905,97.90388417243958,40000,-0.32843751907348784,-0.3171729087829589,
covid19_twitter + midterm,midterm,18000,34000,17000,0.9444444444444444,98.40387372970581,98.62176361083984,98.62176361083984,34000,0.21788988113403684,0.21788988113403684,
covid19_twitter + twibot20,covid19_twitter,42000,46000,23000,0.5476190476190477,98.22105708122254,97.89809694290162,97.91985847949982,42000,-0.32296013832092685,-0.3011986017227186,
covid19_twitter + twibot20,twibot20,48000,46000,23000,0.4791666666666667,97.78375587463378,97.60903081893922,97.66812365055084,40000,-0.17472505569456898,-0.11563222408293994,
covid19_twitter + ukr_rus_suspended,covid19_twitter,42000,24000,12000,0.2857142857142857,98.22105708122254,97.59624927043915,97.60280542373657,30000,-0.6248078107833899,-0.6182516574859687,97.8673837184906
covid19_twitter + ukr_rus_suspended,ukr_rus_suspended,14000,24000,12000,0.8571428571428571,95.97534322738647,97.09172301292419,97.09172301292419,24000,1.1163797855377133,1.1163797855377133,95.93065385818481
covid_political + cp_hk_twitter,covid_political,14000,14000,7000,0.5,97.34412062168121,98.57245681285858,98.57245681285858,14000,1.2283361911773705,1.2283361911773705,
covid_political + cp_hk_twitter,cp_hk_twitter,16000,14000,7000,0.4375,99.65864565372465,99.64756112098694,99.64756112098694,14000,-0.011084532737715147,-0.011084532737715147,
covid_political + facebook_page_reference,covid_political,14000,8000,4000,0.2857142857142857,97.34412062168121,98.4419243812561,98.4419243812561,8000,1.0978037595749002,1.0978037595749002,97.29070336818695
covid_political + facebook_page_reference,facebook_page_reference,6000,8000,4000,0.6666666666666666,95.38453330993651,95.49892516136168,95.49892516136168,8000,0.11439185142516628,0.11439185142516628,95.5343998670578
covid_political + twibot20,covid_political,14000,30000,15000,1.0714285714285714,97.34412062168121,98.76989228725434,98.79543533325194,16000,1.4257716655731278,1.4513147115707392,
