architecture	protocol	checkpoint_step	target	n_models	mean_roc_auc	std_roc_auc_across_source_models
gilt	native_source_classification	20	facebook_page_reference	5	0.5688156127929688	0.006779619992922705
gilt	native_source_classification	60	covid_political	5	0.5054941311203546	0.28764851826430415
gilt	native_source_classification	60	election2020	5	0.65582275390625	0.18804540880817905
gilt	native_source_classification	60	ukr_rus_suspended	5	0.49263916015625	0.007939334319517292
gilt	native_source_classification	60	twibot20	5	0.5027027977837457	0.002886437687396015
gilt	native_source_classification	60	facebook_page_reference	5	0.5858230590820312	0.015042550196167032
gilt	native_source_classification	100	covid_political	5	0.542331418386211	0.32588523167013594
gilt	native_source_classification	100	election2020	5	0.677197265625	0.18704539760184266
gilt	native_source_classification	100	ukr_rus_suspended	5	0.49307861328125	0.00860667124280382
gilt	native_source_classification	100	twibot20	5	0.5047452290852865	0.0031434159709564894
gilt	native_source_classification	100	facebook_page_reference	5	0.5981605529785157	0.027424165397920388
gilt	native_source_classification	300	covid_political	5	0.6197191552483484	0.31055786356944254
gilt	native_source_classification	300	election2020	5	0.697607421875	0.1819548432190002
gilt	native_source_classification	300	ukr_rus_suspended	5	0.4950927734375	0.016084332905312748
gilt	native_source_classification	300	twibot20	5	0.5088901095920139	0.009134384506219258
gilt	native_source_classification	300	facebook_page_reference	5	0.6313034057617187	0.08087127058401056
gilt	native_source_classification	900	covid_political	5	0.6566685442323899	0.29822660244257104
gilt	native_source_classification	900	election2020	5	0.7416259765625	0.2003430979400791
gilt	native_source_classification	900	ukr_rus_suspended	5	0.49742431640625	0.012472948963949019
gilt	native_source_classification	900	twibot20	5	0.5159211900499132	0.01976308757487872
gilt	native_source_classification	900	facebook_page_reference	5	0.6474884033203125	0.09276463706068556
