architecture	protocol	model_id	sources	dataset	checkpoint_step	roc_auc	accuracy	f1	seed	training_seed	eval_episode_seed_offset	episodes	queries	n_way	n_shot	n_query	episode_fingerprint	baseline	result_file
prodigy	native_neighbor_matching	random_init	[]	covid_political	0	0.409698486328125	0.75	0.0	0	0	0	128	3072	2	10	12	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	random_init	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/random_prodigy_s0_o0.jsonl
prodigy	native_neighbor_matching	random_init	[]	election2020	0	0.43719482421875	0.5	0.0	0	0	0	128	256	2	10	1	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	random_init	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/random_prodigy_s0_o0.jsonl
prodigy	native_neighbor_matching	random_init	[]	facebook_page_reference	0	0.4923591613769531	0.4931640625	0.4896755162241888	0	0	0	128	1024	2	10	4	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	random_init	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/random_prodigy_s0_o0.jsonl
prodigy	native_neighbor_matching	random_init	[]	twibot20	0	0.33053270975748694	0.5	0.6666666666666666	0	0	0	128	3072	2	10	12	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	random_init	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/random_prodigy_s0_o0.jsonl
prodigy	native_neighbor_matching	random_init	[]	ukr_rus_suspended	0	0.490234375	0.5	0.0	0	0	0	128	256	2	10	1	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	random_init	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/random_prodigy_s0_o0.jsonl
prodigy	native_neighbor_matching	ss_covid_political	['covid_political']	covid_political	20	0.6125979953342015	0.7203776041666666	0.2751054852320675	0	0	0	128	3072	2	10	12	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_covid_political_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_election2020	['election2020']	covid_political	20	0.5686783967194734	0.5882161458333334	0.3469282395456892	0	0	0	128	3072	2	10	12	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_election2020_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_facebook_page_reference	['facebook_page_reference']	covid_political	20	0.5770068698459202	0.6227213541666666	0.3535973229224763	0	0	0	128	3072	2	10	12	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_facebook_page_reference_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_twibot20	['twibot20']	covid_political	20	0.5908564814814815	0.69140625	0.32574679943101	0	0	0	128	3072	2	10	12	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_twibot20_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_ukr_rus_suspended	['ukr_rus_suspended']	covid_political	20	0.5417390046296297	0.5625	0.3463035019455253	0	0	0	128	3072	2	10	12	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_ukr_rus_suspended_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_covid_political	['covid_political']	election2020	20	0.56463623046875	0.55859375	0.4694835680751174	0	0	0	128	256	2	10	1	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_covid_political_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_election2020	['election2020']	election2020	20	0.5396728515625	0.53515625	0.6468842729970327	0	0	0	128	256	2	10	1	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_election2020_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_facebook_page_reference	['facebook_page_reference']	election2020	20	0.52587890625	0.515625	0.5838926174496645	0	0	0	128	256	2	10	1	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_facebook_page_reference_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_twibot20	['twibot20']	election2020	20	0.50079345703125	0.50390625	0.4730290456431535	0	0	0	128	256	2	10	1	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_twibot20_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_ukr_rus_suspended	['ukr_rus_suspended']	election2020	20	0.48602294921875	0.48828125	0.5130111524163569	0	0	0	128	256	2	10	1	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_ukr_rus_suspended_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_covid_political	['covid_political']	facebook_page_reference	20	0.5128059387207031	0.5078125	0.5097276264591439	0	0	0	128	1024	2	10	4	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_covid_political_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_election2020	['election2020']	facebook_page_reference	20	0.5115242004394531	0.5087890625	0.5102239532619279	0	0	0	128	1024	2	10	4	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_election2020_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_facebook_page_reference	['facebook_page_reference']	facebook_page_reference	20	0.51019287109375	0.5078125	0.5153846153846153	0	0	0	128	1024	2	10	4	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_facebook_page_reference_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_twibot20	['twibot20']	facebook_page_reference	20	0.5104522705078125	0.5068359375	0.5195052331113226	0	0	0	128	1024	2	10	4	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_twibot20_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_ukr_rus_suspended	['ukr_rus_suspended']	facebook_page_reference	20	0.5095882415771484	0.5087890625	0.5241248817407758	0	0	0	128	1024	2	10	4	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_ukr_rus_suspended_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_covid_political	['covid_political']	twibot20	20	0.6809787750244141	0.6276041666666666	0.7159880834160874	0	0	0	128	3072	2	10	12	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_covid_political_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_election2020	['election2020']	twibot20	20	0.6861014895968967	0.6604817708333334	0.7280312907431552	0	0	0	128	3072	2	10	12	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_election2020_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_facebook_page_reference	['facebook_page_reference']	twibot20	20	0.6466979980468749	0.630859375	0.7083333333333334	0	0	0	128	3072	2	10	12	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_facebook_page_reference_s0_o0_step20.jsonl
prodigy	native_neighbor_matching	ss_twibot20	['twibot20']	twibot20	20	0.6759575737847222	0.6578776041666666	0.724219364996064	0	0	0	128	3072	2	10	12	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	pretrained	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_prodigy_ss_twibot20_s0_o0_step20.jsonl
