stream,model,full_model_outcome,n,raw_joint_ridge_accuracy,u1_ridge_accuracy,full_accuracy,encoder_repairs_rate,encoder_breaks_rate,inference_repairs_rate,inference_breaks_rate
original,ss_ukr_rus,all,3072,0.7389322916666666,0.9059244791666666,0.8857421875,0.19466145833333334,0.027669270833333332,0.015950520833333332,0.0361328125
original,ss_ukr_rus,both_correct,1568,0.8341836734693877,0.9872448979591837,1.0,0.15752551020408162,0.004464285714285714,0.012755102040816327,0.0
original,ss_ukr_rus,b_only,1153,0.7007805724197745,0.9748482220294883,1.0,0.2792714657415438,0.005203816131830009,0.02515177797051171,0.0
original,ss_ukr_rus,c_only,125,0.512,0.336,0.0,0.064,0.24,0.0,0.336
original,ss_ukr_rus,both_wrong,226,0.39823008849557523,0.3053097345132743,0.0,0.09292035398230089,0.18584070796460178,0.0,0.3053097345132743
original,ss_facebook_page_reference,all,3072,0.7389322916666666,0.779296875,0.5511067708333334,0.1171875,0.07682291666666667,0.087890625,0.3160807291666667
original,ss_facebook_page_reference,both_correct,1568,0.8341836734693877,0.8667091836734694,1.0,0.10012755102040816,0.06760204081632654,0.13329081632653061,0.0
original,ss_facebook_page_reference,b_only,1153,0.7007805724197745,0.751084128360798,0.0,0.13616652211621855,0.08586296617519515,0.0,0.751084128360798
original,ss_facebook_page_reference,c_only,125,0.512,0.512,1.0,0.08,0.08,0.488,0.0
original,ss_facebook_page_reference,both_wrong,226,0.39823008849557523,0.4646017699115044,0.0,0.1592920353982301,0.09292035398230089,0.0,0.4646017699115044
fresh,ss_ukr_rus,all,3072,0.73828125,0.9147135416666666,0.8955078125,0.20182291666666666,0.025390625,0.012044270833333334,0.03125
fresh,ss_ukr_rus,both_correct,1609,0.8315724052206339,0.9925419515226849,1.0,0.163455562461156,0.002486016159105034,0.0074580484773151025,0.0
fresh,ss_ukr_rus,b_only,1142,0.6961471103327496,0.978108581436077,1.0,0.28458844133099825,0.002626970227670753,0.021891418563922942,0.0
fresh,ss_ukr_rus,c_only,124,0.532258064516129,0.3709677419354839,0.0,0.0967741935483871,0.25806451612903225,0.0,0.3709677419354839
fresh,ss_ukr_rus,both_wrong,197,0.350253807106599,0.25380710659898476,0.0,0.10152284263959391,0.19796954314720813,0.0,0.25380710659898476
fresh,ss_facebook_page_reference,all,3072,0.73828125,0.7825520833333334,0.5641276041666666,0.12076822916666667,0.07649739583333333,0.08333333333333333,0.3017578125
fresh,ss_facebook_page_reference,both_correct,1609,0.8315724052206339,0.867619639527657,1.0,0.09509011808576756,0.05904288377874456,0.13238036047234308,0.0
fresh,ss_facebook_page_reference,b_only,1142,0.6961471103327496,0.7329246935201401,0.0,0.14448336252189142,0.10770577933450087,0.0,0.7329246935201401
fresh,ss_facebook_page_reference,c_only,124,0.532258064516129,0.6532258064516129,1.0,0.18548387096774194,0.06451612903225806,0.3467741935483871,0.0
fresh,ss_facebook_page_reference,both_wrong,197,0.350253807106599,0.45685279187817257,0.0,0.15228426395939088,0.04568527918781726,0.0,0.45685279187817257
