stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_facebook_page_reference,raw_center/ridge,both_correct,1568,0.7901785714285714
original,ss_facebook_page_reference,raw_center/ridge,b_only,1153,0.7502168256721596
original,ss_facebook_page_reference,raw_center/ridge,c_only,125,0.432
original,ss_facebook_page_reference,raw_center/ridge,both_wrong,226,0.42920353982300885
original,ss_facebook_page_reference,raw_context/prototype,both_correct,1568,0.8386479591836735
original,ss_facebook_page_reference,raw_context/prototype,b_only,1153,0.8725065047701648
original,ss_facebook_page_reference,raw_context/prototype,c_only,125,0.416
original,ss_facebook_page_reference,raw_context/prototype,both_wrong,226,0.5265486725663717
original,ss_facebook_page_reference,raw_context/ridge,both_correct,1568,0.7487244897959183
original,ss_facebook_page_reference,raw_context/ridge,b_only,1153,0.6903729401561145
original,ss_facebook_page_reference,raw_context/ridge,c_only,125,0.384
original,ss_facebook_page_reference,raw_context/ridge,both_wrong,226,0.42035398230088494
original,ss_facebook_page_reference,raw_joint/prototype,both_correct,1568,0.7838010204081632
original,ss_facebook_page_reference,raw_joint/prototype,b_only,1153,0.629661751951431
original,ss_facebook_page_reference,raw_joint/prototype,c_only,125,0.48
original,ss_facebook_page_reference,raw_joint/prototype,both_wrong,226,0.3893805309734513
original,ss_facebook_page_reference,raw_joint/ridge,both_correct,1568,0.8341836734693877
original,ss_facebook_page_reference,raw_joint/ridge,b_only,1153,0.7007805724197745
original,ss_facebook_page_reference,raw_joint/ridge,c_only,125,0.512
original,ss_facebook_page_reference,raw_joint/ridge,both_wrong,226,0.39823008849557523
original,ss_facebook_page_reference,S0_conv_center/prototype,both_correct,1568,0.7876275510204082
original,ss_facebook_page_reference,S0_conv_center/prototype,b_only,1153,0.6660884648742411
original,ss_facebook_page_reference,S0_conv_center/prototype,c_only,125,0.464
original,ss_facebook_page_reference,S0_conv_center/prototype,both_wrong,226,0.4247787610619469
original,ss_facebook_page_reference,S0_conv_center/ridge,both_correct,1568,0.7825255102040817
original,ss_facebook_page_reference,S0_conv_center/ridge,b_only,1153,0.6617519514310495
original,ss_facebook_page_reference,S0_conv_center/ridge,c_only,125,0.512
original,ss_facebook_page_reference,S0_conv_center/ridge,both_wrong,226,0.4247787610619469
original,ss_facebook_page_reference,S0_pool/prototype,both_correct,1568,0.8316326530612245
original,ss_facebook_page_reference,S0_pool/prototype,b_only,1153,0.7198612315698178
