view,subset,n,discovery_group_cv_winner_accuracy,target_query_supervised_diagnostic,routed_accuracy,routed_auc,routed_nll,fixed_b_accuracy,fixed_c_accuracy,oracle_accuracy,winner_prediction_accuracy
metadata,all_fresh,3072,0.6690226715686274,True,0.8151041666666666,0.9095217264508602,0.39509123609739794,0.8955078125,0.5641276041666666,0.9358723958333334,
metadata,fresh_disagreements,1266,0.6690226715686274,True,0.7069510268562401,0.8763636363636363,0.3972905865000156,0.9020537124802528,0.09794628751974724,1.0,0.7069510268562401
metadata,novel_users,2553,0.6690226715686274,True,0.81786133960047,0.9126180219575164,0.3899136469336595,0.8942420681551116,0.5616921269095182,0.9349784567175872,
metadata,novel_user_disagreements,1057,0.6690226715686274,True,0.7171239356669821,0.885121842645644,0.38563778711697533,0.9016083254493851,0.09839167455061495,1.0,0.7171239356669821
raw_center,all_fresh,3072,0.6573223039215688,True,0.8050130208333334,0.8965908089008254,0.4123083340088994,0.8955078125,0.5641276041666666,0.9358723958333334,
raw_center,fresh_disagreements,1266,0.6573223039215688,True,0.6824644549763034,0.8631618381618382,0.39925340406864,0.9020537124802528,0.09794628751974724,1.0,0.6824644549763034
raw_center,novel_users,2553,0.6573223039215688,True,0.799843321582452,0.8932901041404515,0.4138899038049918,0.8942420681551116,0.5616921269095182,0.9349784567175872,
raw_center,novel_user_disagreements,1057,0.6573223039215688,True,0.67360454115421,0.8579639282585907,0.4040767773684357,0.9016083254493851,0.09839167455061495,1.0,0.67360454115421
raw_context,all_fresh,3072,0.6009558823529412,True,0.7884114583333334,0.8936333903029563,0.43606741748480465,0.8955078125,0.5641276041666666,0.9358723958333334,
raw_context,fresh_disagreements,1266,0.6009558823529412,True,0.6421800947867299,0.8380219780219781,0.4171397105444567,0.9020537124802528,0.09794628751974724,1.0,0.6421800947867299
raw_context,novel_users,2553,0.6009558823529412,True,0.7888758323540932,0.8955968341695588,0.43238818166727105,0.8942420681551116,0.5616921269095182,0.9349784567175872,
raw_context,novel_user_disagreements,1057,0.6009558823529412,True,0.6471144749290445,0.8432523442323985,0.4139406513768584,0.9016083254493851,0.09839167455061495,1.0,0.6471144749290445
raw_joint,all_fresh,3072,0.7152328431372549,True,0.8326822916666666,0.9213335978351543,0.3860428648535152,0.8955078125,0.5641276041666666,0.9358723958333334,
raw_joint,fresh_disagreements,1266,0.7152328431372549,True,0.7496050552922591,0.9089260739260739,0.35507356716775096,0.9020537124802528,0.09794628751974724,1.0,0.7496050552922591
raw_joint,novel_users,2553,0.7152328431372549,True,0.8311790050920486,0.9212783875723847,0.38315889960932764,0.8942420681551116,0.5616921269095182,0.9349784567175872,
raw_joint,novel_user_disagreements,1057,0.7152328431372549,True,0.7492904446546831,0.9095011416016887,0.35568928604246897,0.9016083254493851,0.09839167455061495,1.0,0.7492904446546831
prediction_state,all_fresh,3072,0.6776501225490197,True,0.8199869791666666,0.9154395308144622,0.3540476140150662,0.8955078125,0.5641276041666666,0.9358723958333334,
prediction_state,fresh_disagreements,1266,0.6776501225490197,True,0.7187993680884676,0.8846603396603396,0.36882490880498964,0.9020537124802528,0.09794628751974724,1.0,0.7187993680884676
prediction_state,novel_users,2553,0.6776501225490197,True,0.8194281237759499,0.9158491626901458,0.35234958948955786,0.8942420681551116,0.5616921269095182,0.9349784567175872,
prediction_state,novel_user_disagreements,1057,0.6776501225490197,True,0.7209082308420057,0.8868270652938726,0.3648296895792689,0.9016083254493851,0.09839167455061495,1.0,0.7209082308420057
task_identity,all_fresh,3072,0.5273529411764706,True,0.7356770833333334,0.8611433260764885,0.4841924602017533,0.8955078125,0.5641276041666666,0.9358723958333334,
task_identity,fresh_disagreements,1266,0.5273529411764706,True,0.514218009478673,0.796018981018981,0.507675280231897,0.9020537124802528,0.09794628751974724,1.0,0.514218009478673
task_identity,novel_users,2553,0.5273529411764706,True,0.7399138268703486,0.8617834129046751,0.4873297910715357,0.8942420681551116,0.5616921269095182,0.9349784567175872,
task_identity,novel_user_disagreements,1057,0.5273529411764706,True,0.5288552507095553,0.8044701962980514,0.504599306765264,0.9016083254493851,0.09839167455061495,1.0,0.5288552507095553
readout_state,all_fresh,3072,0.7668229166666667,True,0.84765625,0.9374063222717315,0.33515832108969307,0.8955078125,0.5641276041666666,0.9358723958333334,
readout_state,fresh_disagreements,1266,0.7668229166666667,True,0.7859399684044234,0.928603896103896,0.3211762714545823,0.9020537124802528,0.09794628751974724,1.0,0.7859399684044234
readout_state,novel_users,2553,0.7668229166666667,True,0.8495887191539365,0.9388587640395643,0.3319276442199699,0.8942420681551116,0.5616921269095182,0.9349784567175872,
readout_state,novel_user_disagreements,1057,0.7668229166666667,True,0.793755912961211,0.93318758167119,0.3161209361795478,0.9016083254493851,0.09839167455061495,1.0,0.793755912961211
task_and_readout_state,all_fresh,3072,0.7652604166666667,True,0.8479817708333334,0.937468208915746,0.33467666368437005,0.8955078125,0.5641276041666666,0.9358723958333334,
task_and_readout_state,fresh_disagreements,1266,0.7652604166666667,True,0.7867298578199052,0.9286863136863137,0.3212308798145208,0.9020537124802528,0.09794628751974724,1.0,0.7867298578199052
task_and_readout_state,novel_users,2553,0.7652604166666667,True,0.8495887191539365,0.9389526782743842,0.3313279359146722,0.8942420681551116,0.5616921269095182,0.9349784567175872,
task_and_readout_state,novel_user_disagreements,1057,0.7652604166666667,True,0.793755912961211,0.9331409124197647,0.3161377104741643,0.9016083254493851,0.09839167455061495,1.0,0.793755912961211
