stream,model,decoder,n,accuracy,auc
original,ss_ukr_rus,full_model,3072,0.8857421875,0.9286826625071365
original,ss_ukr_rus,raw_center/prototype,3072,0.7350260416666666,0.8130993767501291
original,ss_ukr_rus,raw_center/ridge,3072,0.7340494791666666,0.8079326727020635
original,ss_ukr_rus,raw_context/prototype,3072,0.8111979166666666,0.889200683739771
original,ss_ukr_rus,raw_context/ridge,3072,0.6878255208333334,0.744523625044178
original,ss_ukr_rus,raw_joint/prototype,3072,0.6845703125,0.7357863602071608
original,ss_ukr_rus,raw_joint/ridge,3072,0.7389322916666666,0.8091016909985591
original,ss_ukr_rus,S0_conv_center/prototype,3072,0.7626953125,0.8321927758747247
original,ss_ukr_rus,S0_conv_center/ridge,3072,0.7692057291666666,0.8381432149362478
original,ss_ukr_rus,S0_pool/prototype,3072,0.8688151041666666,0.9095548555039012
original,ss_ukr_rus,S0_pool/ridge,3072,0.90625,0.9336310252018596
original,ss_ukr_rus,U1_pre_meta/prototype,3072,0.8994140625,0.9381673429301579
original,ss_ukr_rus,U1_pre_meta/ridge,3072,0.9059244791666666,0.9419666523937689
original,ss_ukr_rus,M2_post_meta/prototype,3072,0.4371744791666667,0.5209318842943751
original,ss_ukr_rus,M2_post_meta/ridge,3072,0.4554036458333333,0.5359383920561129
original,ss_ukr_rus,final_input/prototype,3072,0.4371744791666667,0.5209318842943751
original,ss_ukr_rus,final_input/ridge,3072,0.4554036458333333,0.5359383920561129
original,ss_facebook_page_reference,full_model,3072,0.5511067708333334,0.5643202192588967
original,ss_facebook_page_reference,raw_center/prototype,3072,0.7350260416666666,0.8130993767501291
original,ss_facebook_page_reference,raw_center/ridge,3072,0.7340494791666666,0.8079326727020635
original,ss_facebook_page_reference,raw_context/prototype,3072,0.8111979166666666,0.889200683739771
original,ss_facebook_page_reference,raw_context/ridge,3072,0.6878255208333334,0.744523625044178
original,ss_facebook_page_reference,raw_joint/prototype,3072,0.6845703125,0.7357863602071608
original,ss_facebook_page_reference,raw_joint/ridge,3072,0.7389322916666666,0.8091016909985591
original,ss_facebook_page_reference,S0_conv_center/prototype,3072,0.7021484375,0.7592969238506919
original,ss_facebook_page_reference,S0_conv_center/ridge,3072,0.6998697916666666,0.7611220281787783
original,ss_facebook_page_reference,S0_pool/prototype,3072,0.7483723958333334,0.8007739223962156
original,ss_facebook_page_reference,S0_pool/ridge,3072,0.8743489583333334,0.9020705047168529
original,ss_facebook_page_reference,U1_pre_meta/prototype,3072,0.7073567708333334,0.7692195613462741
original,ss_facebook_page_reference,U1_pre_meta/ridge,3072,0.779296875,0.8405479433433922
original,ss_facebook_page_reference,M2_post_meta/prototype,3072,0.71875,0.7667625839382324
original,ss_facebook_page_reference,M2_post_meta/ridge,3072,0.7708333333333334,0.8489698026262131
original,ss_facebook_page_reference,final_input/prototype,3072,0.71875,0.7667625839382324
original,ss_facebook_page_reference,final_input/ridge,3072,0.7708333333333334,0.8489698026262131
fresh,ss_ukr_rus,full_model,3072,0.8955078125,0.9408172936716244
fresh,ss_ukr_rus,raw_center/prototype,3072,0.7532552083333334,0.8257517955604385
fresh,ss_ukr_rus,raw_center/ridge,3072,0.7428385416666666,0.8185924433864371
fresh,ss_ukr_rus,raw_context/prototype,3072,0.8082682291666666,0.9061900208210407
fresh,ss_ukr_rus,raw_context/ridge,3072,0.68359375,0.7688733070187932
fresh,ss_ukr_rus,raw_joint/prototype,3072,0.6927083333333334,0.7603346456692914
fresh,ss_ukr_rus,raw_joint/ridge,3072,0.73828125,0.8250973231059296
fresh,ss_ukr_rus,S0_conv_center/prototype,3072,0.7740885416666666,0.8451210434935944
fresh,ss_ukr_rus,S0_conv_center/ridge,3072,0.7708333333333334,0.8482234294356616
fresh,ss_ukr_rus,S0_pool/prototype,3072,0.8876953125,0.9344421215758882
fresh,ss_ukr_rus,S0_pool/ridge,3072,0.9182942708333334,0.9510302854585037
fresh,ss_ukr_rus,U1_pre_meta/prototype,3072,0.91015625,0.9538524859780124
fresh,ss_ukr_rus,U1_pre_meta/ridge,3072,0.9147135416666666,0.9562923457242263
fresh,ss_ukr_rus,M2_post_meta/prototype,3072,0.44921875,0.5300222283261103
fresh,ss_ukr_rus,M2_post_meta/ridge,3072,0.4677734375,0.550495262704565
fresh,ss_ukr_rus,final_input/prototype,3072,0.44921875,0.5300222283261103
fresh,ss_ukr_rus,final_input/ridge,3072,0.4677734375,0.550495262704565
fresh,ss_facebook_page_reference,full_model,3072,0.5641276041666666,0.5927477330837521
fresh,ss_facebook_page_reference,raw_center/prototype,3072,0.7532552083333334,0.8257517955604385
fresh,ss_facebook_page_reference,raw_center/ridge,3072,0.7428385416666666,0.8185924433864371
fresh,ss_facebook_page_reference,raw_context/prototype,3072,0.8082682291666666,0.9061900208210407
