view,stream,cluster,n,selected_k,discovery_silhouette,accuracy_b,accuracy_c,b_minus_c_accuracy,b_only_rate,c_only_rate,oracle_accuracy
metadata,original,0,602,8,0.6949337082014718,0.9053156146179402,0.5598006644518272,0.345514950166113,0.3803986710963455,0.03488372093023256,0.9401993355481728
metadata,original,1,601,8,0.6949337082014718,0.9234608985024958,0.5391014975041597,0.3843594009983361,0.40266222961730447,0.018302828618968387,0.9417637271214643
metadata,original,2,515,8,0.6949337082014718,0.8116504854368932,0.5611650485436893,0.2504854368932039,0.32233009708737864,0.07184466019417475,0.883495145631068
metadata,original,3,258,8,0.6949337082014718,0.9806201550387597,0.5930232558139535,0.3875968992248061,0.3953488372093023,0.007751937984496124,0.9883720930232558
metadata,original,4,54,8,0.6949337082014718,0.9259259259259259,0.5740740740740741,0.35185185185185186,0.4074074074074074,0.05555555555555555,0.9814814814814815
metadata,original,5,478,8,0.6949337082014718,0.8284518828451883,0.604602510460251,0.2238493723849373,0.28661087866108786,0.06276150627615062,0.891213389121339
metadata,original,6,269,8,0.6949337082014718,0.8698884758364313,0.4944237918215613,0.37546468401486993,0.4275092936802974,0.05204460966542751,0.9219330855018587
metadata,original,7,295,8,0.6949337082014718,0.9152542372881356,0.46440677966101696,0.45084745762711864,0.4745762711864407,0.023728813559322035,0.9389830508474576
metadata,fresh,0,570,8,0.6949337082014718,0.9298245614035088,0.5333333333333333,0.39649122807017545,0.4245614035087719,0.028070175438596492,0.9578947368421052
metadata,fresh,1,637,8,0.6949337082014718,0.9324960753532182,0.5839874411302983,0.3485086342229199,0.35949764521193095,0.01098901098901099,0.9434850863422292
metadata,fresh,2,480,8,0.6949337082014718,0.84375,0.6145833333333334,0.22916666666666663,0.30416666666666664,0.075,0.91875
metadata,fresh,3,247,8,0.6949337082014718,0.9838056680161943,0.6234817813765182,0.36032388663967607,0.3603238866396761,0.0,0.9838056680161943
metadata,fresh,4,61,8,0.6949337082014718,0.9836065573770492,0.6885245901639344,0.29508196721311475,0.29508196721311475,0.0,0.9836065573770492
metadata,fresh,5,489,8,0.6949337082014718,0.7934560327198364,0.5991820040899796,0.19427402862985688,0.28629856850715746,0.09202453987730061,0.885480572597137
metadata,fresh,6,305,8,0.6949337082014718,0.9081967213114754,0.5180327868852459,0.39016393442622954,0.4262295081967213,0.036065573770491806,0.9442622950819672
metadata,fresh,7,283,8,0.6949337082014718,0.8975265017667845,0.40636042402826855,0.49116607773851595,0.5229681978798587,0.03180212014134275,0.9293286219081273
raw_center,original,0,1018,2,0.09084121137857437,0.8614931237721022,0.5776031434184676,0.28388998035363455,0.3290766208251473,0.04518664047151277,0.906679764243615
raw_center,original,1,2054,2,0.09084121137857437,0.8977604673807206,0.5379746835443038,0.3597857838364168,0.39824732229795523,0.038461538461538464,0.936222005842259
raw_center,fresh,0,1058,2,0.09084121137857437,0.8875236294896031,0.5992438563327032,0.2882797731568999,0.3279773156899811,0.03969754253308128,0.9272211720226843
raw_center,fresh,1,2014,2,0.09084121137857437,0.8997020854021847,0.5456802383316782,0.35402184707050643,0.39473684210526316,0.0407149950347567,0.9404170804369414
raw_context,original,0,2079,2,0.6915392279624939,0.9172679172679172,0.5363155363155363,0.38095238095238093,0.40885040885040885,0.027898027898027897,0.9451659451659452
raw_context,original,1,993,2,0.6915392279624939,0.8197381671701913,0.5820745216515609,0.2376636455186304,0.30513595166163143,0.06747230614300101,0.8872104733131924
raw_context,fresh,0,2103,2,0.6915392279624939,0.9310508796956728,0.5444602948169281,0.38659058487874465,0.4070375653827865,0.020446980504041846,0.9514978601997147
raw_context,fresh,1,969,2,0.6915392279624939,0.8183694530443757,0.6068111455108359,0.21155830753353977,0.2951496388028896,0.08359133126934984,0.9019607843137255
raw_joint,original,0,2079,2,0.4785827100276947,0.9172679172679172,0.5363155363155363,0.38095238095238093,0.40885040885040885,0.027898027898027897,0.9451659451659452
raw_joint,original,1,993,2,0.4785827100276947,0.8197381671701913,0.5820745216515609,0.2376636455186304,0.30513595166163143,0.06747230614300101,0.8872104733131924
raw_joint,fresh,0,2103,2,0.4785827100276947,0.9310508796956728,0.5444602948169281,0.38659058487874465,0.4070375653827865,0.020446980504041846,0.9514978601997147
raw_joint,fresh,1,969,2,0.4785827100276947,0.8183694530443757,0.6068111455108359,0.21155830753353977,0.2951496388028896,0.08359133126934984,0.9019607843137255
