run_id,n_sources,sources,target,target_in_pretraining,seed,checkpoint_step,stop_reason,converged,final_step,roc_auc,roc_auc_score_kind,dot_roc_auc,dot_average_precision,dot_bce,dot_positive_bce,dot_negative_bce,dot_brier,dot_ece_15_equal_width,dot_n_pairs,dot_n_positive,dot_n_negative,dot_accuracy_at_0_5,dot_balanced_accuracy_at_0_5,dot_precision_at_0_5,dot_recall_at_0_5,dot_f1_at_0_5,dot_mcc_at_0_5,dot_tp_at_0_5,dot_tn_at_0_5,dot_fp_at_0_5,dot_fn_at_0_5,dot_accuracy_at_val_threshold,dot_balanced_accuracy_at_val_threshold,dot_precision_at_val_threshold,dot_recall_at_val_threshold,dot_f1_at_val_threshold,dot_mcc_at_val_threshold,calibrated_bce,calibrated_brier,calibrated_ece_15_equal_width,cosine_average_precision
ladder_r1,1,election2020,ukr_rus_twitter,False,0,53500,validation_plateau,True,58500,0.5084395408163266,validation_oriented_cosine,0.5021022959183673,0.5023186964254229,0.8289329241569195,0.748012537073457,0.9098533112403819,0.28225543582596924,0.11380817414385412,2800,1400,1400,0.5078571428571429,0.5078571428571428,0.5064102564102564,0.6207142857142857,0.5577663671373556,0.01613055825572705,869,553,847,531,0.51,0.51,0.5085679314565483,0.5935714285714285,0.5477916941331575,0.020285360494708093,0.6934679216107242,0.25015763787901985,0.0019460711135589933,0.5094642534041959
ladder_r1,1,election2020,covid19_twitter,False,0,53500,validation_plateau,True,58500,0.5307989795918368,validation_oriented_cosine,0.5163683673469388,0.5109615295232834,0.812891650972305,0.7810214201482004,0.8447618817964095,0.27454110151863986,0.0886082947663065,2800,1400,1400,0.5157142857142857,0.5157142857142858,0.5123873873873874,0.65,0.5730478589420654,0.03262730610399215,910,534,866,490,0.5160714285714286,0.5160714285714286,0.5125488008923592,0.6564285714285715,0.575634199812089,0.03348942058730506,0.6936155556774111,0.2502286598026898,0.004898858834826697,0.5284029479397677
ladder_r1,1,election2020,midterm,False,0,53500,validation_plateau,True,58500,0.5111857142857142,validation_oriented_cosine,0.506385969387755,0.5073661442662545,0.8044397010863741,0.770811693314906,0.8380677088578422,0.275603121357171,0.09338803603022755,2800,1400,1400,0.5128571428571429,0.5128571428571429,0.510158013544018,0.6457142857142857,0.5699873896595208,0.02667313632714677,904,532,868,496,0.5121428571428571,0.5121428571428571,0.5099531615925058,0.6221428571428571,0.5604890604890604,0.024895661174607862,0.693078310226482,0.24996557313964046,9.81744823624342e-05,0.5040277515233442
ladder_r1,1,election2020,covid_political,False,0,53500,validation_plateau,True,58500,0.5996505102040817,validation_oriented_cosine,0.601955612244898,0.5752800046202483,0.9106319283819817,0.6291714433745156,1.192092413389448,0.2673483325520749,0.11126113673716956,2800,1400,1400,0.5764285714285714,0.5764285714285714,0.5605203619909502,0.7078571428571429,0.6256313131313131,0.158428311778517,991,623,777,409,0.5735714285714286,0.5735714285714286,0.566025641025641,0.6307142857142857,0.5966216216216216,0.14811330694983557,0.6880555247949645,0.24714563062229442,0.021848010165029075,0.5753949566536185
ladder_r1,1,election2020,election2020,True,0,53500,validation_plateau,True,58500,0.7785852040816327,validation_oriented_cosine,0.799630612244898,0.7262229474363151,0.7556589898820225,0.20146178135679446,1.3098561984072505,0.19688347843220144,0.16302458302406653,2800,1400,1400,0.7653571428571428,0.7653571428571428,0.685286783042394,0.9814285714285714,0.8070484581497798,0.5885021596824774,1374,769,631,26,0.7657142857142857,0.7657142857142858,0.6848906560636183,0.9842857142857143,0.8077373974208675,0.5908753038061845,0.569779385991803,0.18320250757121395,0.11803710208542598,0.6872561776503555
ladder_r1,1,election2020,ukr_rus_suspended,False,0,53500,validation_plateau,True,58500,0.519143112244898,validation_oriented_cosine,0.5124017857142857,0.5106595832199774,0.8102269109418914,0.7122634547981306,0.9081903670856522,0.2779121923860126,0.10290284402360103,2800,1400,1400,0.5157142857142857,0.5157142857142857,0.5129564193168433,0.6221428571428571,0.5622982569399613,0.03216570216142342,871,573,827,529,0.5135714285714286,0.5135714285714286,0.5160744500846024,0.4357142857142857,0.47250193648334626,0.027478030402075165,0.6931819600645927,0.2500172098729048,0.0015014446918373238,0.5162971383879719
ladder_r1,1,election2020,twibot20,False,0,53500,validation_plateau,True,58500,0.5528270408163265,validation_oriented_cosine,0.5401964285714286,0.5285310723114569,0.977337659364981,0.7796032200696551,1.1750720986603067,0.2744957192010183,0.09040965853038914,2800,1400,1400,0.5285714285714286,0.5285714285714286,0.5236127508854782,0.6335714285714286,0.5733678086619263,0.05844612472342981,887,593,807,513,0.53,0.53,0.5237825594563986,0.6607142857142857,0.5843335439039797,0.06216181221729519,0.6931471805599454,0.25,0.0,0.5384381909646725
ladder_r1,1,election2020,cp_hk_twitter,False,0,53500,validation_plateau,True,58500,0.4914816326530612,validation_oriented_cosine,0.49649795918367345,0.4983994654250364,0.7879975198155597,0.6750957026656961,0.900899336965423,0.27768049793615984,0.10929682655963191,2800,1400,1400,0.49642857142857144,0.49642857142857144,0.49736842105263157,0.675,0.5727272727272728,-0.007647191129018726,945,445,955,455,0.4992857142857143,0.4992857142857143,0.49915824915824913,0.4235714285714286,0.45826893353941267,-0.0014452376158027168,0.6931471805599454,0.25,0.0,0.491587077309719
ladder_r1,1,election2020,facebook_page_reference,False,0,53500,validation_plateau,True,58500,0.5495081632653062,validation_oriented_cosine,0.5372010204081633,0.5317249046361998,0.7531255225788062,0.7003147401505124,0.8059363050070998,0.2619817787673462,0.07120237467741695,2800,1400,1400,0.5342857142857143,0.5342857142857143,0.526258205689278,0.6871428571428572,0.5960346964064436,0.07201948390595135,962,534,866,438,0.5275,0.5275000000000001,0.5319502074688797,0.45785714285714285,0.4921305182341651,0.05554140453467965,0.6933624251448446,0.24964714547896608,0.005570964054585702,0.5543465212073277
ladder_r2,2,"election2020,covid_political",ukr_rus_twitter,False,0,65000,validation_plateau,True,75000,0.5134507653061224,validation_oriented_cosine,0.5100323979591836,0.5127541180555826,0.7631105172470698,0.6869979959358672,0.8392230385582723,0.2665006694833394,0.07772994835496207,2800,1400,1400,0.5057142857142857,0.5057142857142857,0.5047114252061249,0.6121428571428571,0.5532601678502259,0.011696618967790336,857,559,841,543,0.4982142857142857,0.4982142857142857,0.49894559257697174,0.845,0.6274197825510475,-0.004957646781392389,0.6931109187943653,0.24997788945831506,0.001983396319882137,0.5187075373225202
