target,pair,sequential_model,interleaved_model,queries,delta_u1_agreement,delta_accuracy,delta_roc_auc,u1_agreement_interleaved,u1_agreement_sequential,accuracy_interleaved,accuracy_sequential,roc_auc_interleaved,roc_auc_sequential
covid_political,cov_covpol,cov_then_covpol,cov_covpol_interleaved,3072,0.08235675096511841,0.07161458333333337,0.004614370840567261,0.8486328125,0.9309895634651184,0.791015625,0.8626302083333334,0.9386461046006944,0.9432604754412617
covid_political,cov_covpol,covpol_then_cov,cov_covpol_interleaved,3072,0.12239581346511841,0.1240234375,0.01581008345992474,0.8486328125,0.9710286259651184,0.791015625,0.9150390625,0.9386461046006944,0.9544561880606192
covid_political,cov_cphk,cov_then_cphk,cov_cphk_interleaved,3072,0.020182311534881592,-0.0107421875,-0.03512431957103579,0.9345703125,0.9547526240348816,0.8798828125,0.869140625,0.9444475527162906,0.9093232331452548
covid_political,cov_cphk,cphk_then_cov,cov_cphk_interleaved,3072,0.03678387403488159,0.02799479166666663,0.0004360057689524188,0.9345703125,0.9713541865348816,0.8798828125,0.9078776041666666,0.9444475527162906,0.944883558485243
election2020,cov_covpol,cov_then_covpol,cov_covpol_interleaved,256,-0.00390625,0.0078125,0.00689697265625,1.0,0.99609375,0.97265625,0.98046875,0.97503662109375,0.98193359375
election2020,cov_covpol,covpol_then_cov,cov_covpol_interleaved,256,0.0,0.0,0.00311279296875,1.0,1.0,0.97265625,0.97265625,0.97503662109375,0.9781494140625
election2020,cov_cphk,cov_then_cphk,cov_cphk_interleaved,256,0.0,-0.0078125,0.00079345703125,0.9921875,0.9921875,0.96875,0.9609375,0.98114013671875,0.98193359375
election2020,cov_cphk,cphk_then_cov,cov_cphk_interleaved,256,0.00390625,0.0078125,-0.00103759765625,0.9921875,0.99609375,0.96875,0.9765625,0.98114013671875,0.9801025390625
facebook_page_reference,cov_covpol,cov_then_covpol,cov_covpol_interleaved,1024,-0.0068359375,0.0537109375,0.048580169677734375,0.8369140625,0.830078125,0.640625,0.6943359375,0.7037429809570312,0.7523231506347656
facebook_page_reference,cov_covpol,covpol_then_cov,cov_covpol_interleaved,1024,0.0458984375,0.0224609375,0.03410530090332031,0.8369140625,0.8828125,0.640625,0.6630859375,0.7037429809570312,0.7378482818603516
facebook_page_reference,cov_cphk,cov_then_cphk,cov_cphk_interleaved,1024,0.001953125,-0.0576171875,-0.059268951416015625,0.8427734375,0.8447265625,0.677734375,0.6201171875,0.7319374084472656,0.67266845703125
facebook_page_reference,cov_cphk,cphk_then_cov,cov_cphk_interleaved,1024,0.0068359375,-0.0537109375,-0.0372161865234375,0.8427734375,0.849609375,0.677734375,0.6240234375,0.7319374084472656,0.6947212219238281
twibot20,cov_covpol,cov_then_covpol,cov_covpol_interleaved,3072,-0.020833313465118408,-0.03515625,-0.04510519239637578,0.7171223759651184,0.6962890625,0.564453125,0.529296875,0.5763123830159504,0.5312071906195747
twibot20,cov_covpol,covpol_then_cov,cov_covpol_interleaved,3072,0.1064453125,0.0006510416666666297,0.02534039815266942,0.7171223759651184,0.8235676884651184,0.564453125,0.5651041666666666,0.5763123830159504,0.6016527811686199
twibot20,cov_cphk,cov_then_cphk,cov_cphk_interleaved,3072,0.032877564430236816,0.01236979166666663,0.02513885498046875,0.7848307490348816,0.8177083134651184,0.599609375,0.6119791666666666,0.6365865071614583,0.661725362141927
twibot20,cov_cphk,cphk_then_cov,cov_cphk_interleaved,3072,0.0006510019302368164,-0.01822916666666663,-0.021022796630859264,0.7848307490348816,0.7854817509651184,0.599609375,0.5813802083333334,0.6365865071614583,0.615563710530599
ukr_rus_suspended,cov_covpol,cov_then_covpol,cov_covpol_interleaved,256,-0.109375,0.0234375,0.0023193359375,0.77734375,0.66796875,0.46484375,0.48828125,0.470947265625,0.4732666015625
ukr_rus_suspended,cov_covpol,covpol_then_cov,cov_covpol_interleaved,256,0.06640625,0.03125,0.03631591796875,0.77734375,0.84375,0.46484375,0.49609375,0.470947265625,0.50726318359375
ukr_rus_suspended,cov_cphk,cov_then_cphk,cov_cphk_interleaved,256,0.03125,-0.04296875,-0.06634521484375,0.7890625,0.8203125,0.53125,0.48828125,0.5552978515625,0.48895263671875
ukr_rus_suspended,cov_cphk,cphk_then_cov,cov_cphk_interleaved,256,0.05078125,0.0078125,-0.01190185546875,0.7890625,0.83984375,0.53125,0.5390625,0.5552978515625,0.54339599609375
