target,comparisons,mean_delta_u1_agreement,mean_delta_accuracy,mean_delta_roc_auc,sequential_health_wins,sequential_accuracy_wins
covid_political,4,0.0654296875,0.05322265625,-0.0035659648753978423,4,3
election2020,4,0.0,0.001953125,0.00244140625,1,2
facebook_page_reference,4,0.011962890625,-0.0087890625,-0.0034499168395996094,3,2
twibot20,4,0.029785141348838806,-0.010091145833333343,-0.003912183973524219,3,2
ukr_rus_suspended,4,0.009765625,0.0048828125,-0.0099029541015625,3,3
