target,pair,model,schedule,queries,u1_agreement,accuracy,roc_auc,weights_sha256,episode_fingerprint
covid_political,cov_covpol,cov_covpol_interleaved,interleaved,3072,0.8486328125,0.791015625,0.9386461046006944,968678cf8a47ecd93b215d89fcd09b15569e47179467b3a09a91adfa5159deff,720532292f3c73ef63bfc8b0cd8f740ccb248272ffca4b33bc4ef4c649aa6ae7
covid_political,cov_covpol,cov_then_covpol,sequential,3072,0.9309895634651184,0.8626302083333334,0.9432604754412617,696d9697662094565fef755cf0cbfe9d341f8ee4854a254248cdd4b89cadee1c,720532292f3c73ef63bfc8b0cd8f740ccb248272ffca4b33bc4ef4c649aa6ae7
covid_political,cov_covpol,covpol_then_cov,sequential,3072,0.9710286259651184,0.9150390625,0.9544561880606192,de816b70d1cf81c15972b2103276214d091227f73ddc2b593be5935ceca7514e,720532292f3c73ef63bfc8b0cd8f740ccb248272ffca4b33bc4ef4c649aa6ae7
covid_political,cov_cphk,cov_cphk_interleaved,interleaved,3072,0.9345703125,0.8798828125,0.9444475527162906,c75cb4b5e72293115c2cc8671b3093bd7f807bbbca168ed52d508ecebcb7f304,720532292f3c73ef63bfc8b0cd8f740ccb248272ffca4b33bc4ef4c649aa6ae7
covid_political,cov_cphk,cov_then_cphk,sequential,3072,0.9547526240348816,0.869140625,0.9093232331452548,09eabdcda91083d2c9db97450ca29b6061d1d29e40e3b91c5f1e3dc61a5add84,720532292f3c73ef63bfc8b0cd8f740ccb248272ffca4b33bc4ef4c649aa6ae7
covid_political,cov_cphk,cphk_then_cov,sequential,3072,0.9713541865348816,0.9078776041666666,0.944883558485243,f08ab19694b91195b4218bb93cf6474026eb3f2a6c0316c654268c4e932f41f5,720532292f3c73ef63bfc8b0cd8f740ccb248272ffca4b33bc4ef4c649aa6ae7
election2020,cov_covpol,cov_covpol_interleaved,interleaved,256,1.0,0.97265625,0.97503662109375,968678cf8a47ecd93b215d89fcd09b15569e47179467b3a09a91adfa5159deff,fa648ea5a7cab89edacf5cccf7a49a6c24fe2c038cd861dbc9bdddccd34e7cb2
election2020,cov_covpol,cov_then_covpol,sequential,256,0.99609375,0.98046875,0.98193359375,696d9697662094565fef755cf0cbfe9d341f8ee4854a254248cdd4b89cadee1c,fa648ea5a7cab89edacf5cccf7a49a6c24fe2c038cd861dbc9bdddccd34e7cb2
election2020,cov_covpol,covpol_then_cov,sequential,256,1.0,0.97265625,0.9781494140625,de816b70d1cf81c15972b2103276214d091227f73ddc2b593be5935ceca7514e,fa648ea5a7cab89edacf5cccf7a49a6c24fe2c038cd861dbc9bdddccd34e7cb2
election2020,cov_cphk,cov_cphk_interleaved,interleaved,256,0.9921875,0.96875,0.98114013671875,c75cb4b5e72293115c2cc8671b3093bd7f807bbbca168ed52d508ecebcb7f304,fa648ea5a7cab89edacf5cccf7a49a6c24fe2c038cd861dbc9bdddccd34e7cb2
election2020,cov_cphk,cov_then_cphk,sequential,256,0.9921875,0.9609375,0.98193359375,09eabdcda91083d2c9db97450ca29b6061d1d29e40e3b91c5f1e3dc61a5add84,fa648ea5a7cab89edacf5cccf7a49a6c24fe2c038cd861dbc9bdddccd34e7cb2
election2020,cov_cphk,cphk_then_cov,sequential,256,0.99609375,0.9765625,0.9801025390625,f08ab19694b91195b4218bb93cf6474026eb3f2a6c0316c654268c4e932f41f5,fa648ea5a7cab89edacf5cccf7a49a6c24fe2c038cd861dbc9bdddccd34e7cb2
facebook_page_reference,cov_covpol,cov_covpol_interleaved,interleaved,1024,0.8369140625,0.640625,0.7037429809570312,968678cf8a47ecd93b215d89fcd09b15569e47179467b3a09a91adfa5159deff,4fd9916241b1f156c0ab0e6dde2a76fd200a53611b2bbd6a5446c5f019e75aa5
facebook_page_reference,cov_covpol,cov_then_covpol,sequential,1024,0.830078125,0.6943359375,0.7523231506347656,696d9697662094565fef755cf0cbfe9d341f8ee4854a254248cdd4b89cadee1c,4fd9916241b1f156c0ab0e6dde2a76fd200a53611b2bbd6a5446c5f019e75aa5
facebook_page_reference,cov_covpol,covpol_then_cov,sequential,1024,0.8828125,0.6630859375,0.7378482818603516,de816b70d1cf81c15972b2103276214d091227f73ddc2b593be5935ceca7514e,4fd9916241b1f156c0ab0e6dde2a76fd200a53611b2bbd6a5446c5f019e75aa5
