scope,metric,n,spearman,pvalue,same_sign_fraction
all_targets,accuracy,20,0.36685522477917704,0.11160038196100062,0.55
all_targets,roc_auc,20,0.27378715738364334,0.24278205740237147,0.4
above_chance_targets,accuracy,16,0.459499263622975,0.07335684094334516,0.5625
above_chance_targets,roc_auc,16,0.3046358440624721,0.25128697579494985,0.4375
