model_id	checkpoint	sources
cov_covpol_interleaved	/dataMeR1/phil/gfm/prodigy-nm2sched/state/nm_two_source_schedule_pilot/nm2sched_cov_covpol_interleaved_s0_20260902/checkpoint/state_dict_2500.ckpt	covid,covid_political
cov_then_covpol	/dataMeR1/phil/gfm/prodigy-nm2sched/state/nm_two_source_schedule_pilot/nm2sched_cov_then_covpol_s0_20260902/checkpoint/state_dict_2500.ckpt	covid,covid_political
covpol_then_cov	/dataMeR1/phil/gfm/prodigy-nm2sched/state/nm_two_source_schedule_pilot/nm2sched_covpol_then_cov_s0_20260902/checkpoint/state_dict_2500.ckpt	covid,covid_political
cov_cphk_interleaved	/dataMeR1/phil/gfm/prodigy-nm2sched/state/nm_two_source_schedule_pilot/nm2sched_cov_cphk_interleaved_s0_20260902/checkpoint/state_dict_2500.ckpt	covid,cp_hk
cov_then_cphk	/dataMeR1/phil/gfm/prodigy-nm2sched/state/nm_two_source_schedule_pilot/nm2sched_cov_then_cphk_s0_20260902/checkpoint/state_dict_2500.ckpt	covid,cp_hk
cphk_then_cov	/dataMeR1/phil/gfm/prodigy-nm2sched/state/nm_two_source_schedule_pilot/nm2sched_cphk_then_cov_s0_20260902/checkpoint/state_dict_2500.ckpt	covid,cp_hk
