run_id	sources	mixture_size	best_step	final_step	best_validation_loss	elapsed_seconds
ss_ukr_rus_twitter	ukr_rus_twitter	1	4000	4000	0.2997964099049568	92.18060625798535
ss_covid19_twitter	covid19_twitter	1	2750	2750	0.26804020404815676	13.700082318042405
ss_midterm	midterm	1	2000	2250	0.26035102382302283	50.024116563028656
ss_covid_political	covid_political	1	2750	3500	0.06984991642336051	78.22180478897644
ss_election2020	election2020	1	4250	4500	0.05305772957702478	147.19455639098305
ss_ukr_rus_suspended	ukr_rus_suspended	1	2000	3000	0.2279894230040637	69.73756937595317
ss_twibot20	twibot20	1	3250	3250	0.18730335012078286	77.5785917059984
ss_cp_hk_twitter	cp_hk_twitter	1	2000	2250	0.2980393528938293	48.09673988999566
ss_facebook_page_reference	facebook_page_reference	1	5000	5000	0.09668275415897369	106.44255948800128
pair_ukr_rus_twitter__covid19_twitter	ukr_rus_twitter,covid19_twitter	2	3000	3000	0.282938115671277	69.41259045002516
pair_ukr_rus_twitter__midterm	ukr_rus_twitter,midterm	2	3750	3750	0.28008477166295054	85.3351309330319
pair_ukr_rus_twitter__covid_political	ukr_rus_twitter,covid_political	2	2750	3000	0.18636911728729805	68.73268667497905
pair_ukr_rus_twitter__election2020	ukr_rus_twitter,election2020	2	4500	4500	0.17658789868776997	130.05193140200572
pair_ukr_rus_twitter__ukr_rus_suspended	ukr_rus_twitter,ukr_rus_suspended	2	3000	3000	0.2681525791233236	66.17681402497692
pair_ukr_rus_twitter__twibot20	ukr_rus_twitter,twibot20	2	3750	3750	0.24248099699616432	91.72025836497778
pair_ukr_rus_twitter__cp_hk_twitter	ukr_rus_twitter,cp_hk_twitter	2	1750	2250	0.3026251271367073	44.09673497098265
pair_ukr_rus_twitter__facebook_page_reference	ukr_rus_twitter,facebook_page_reference	2	3250	3500	0.20138838961720468	93.72925271402346
pair_covid19_twitter__midterm	covid19_twitter,midterm	2	3000	3000	0.2644064374268055	71.24116636498366
pair_covid19_twitter__covid_political	covid19_twitter,covid_political	2	2750	3000	0.17071703641364971	70.34325028501917
pair_covid19_twitter__election2020	covid19_twitter,election2020	2	3750	4250	0.16073736306279898	128.32332351402147
pair_covid19_twitter__ukr_rus_suspended	covid19_twitter,ukr_rus_suspended	2	2500	2500	0.2525491726669398	62.91905336803757
pair_covid19_twitter__twibot20	covid19_twitter,twibot20	2	3750	3750	0.22675400972366333	85.4477962339879
pair_covid19_twitter__cp_hk_twitter	covid19_twitter,cp_hk_twitter	2	4000	4000	0.2865291438996792	93.5989352100296
pair_covid19_twitter__facebook_page_reference	covid19_twitter,facebook_page_reference	2	3000	3250	0.18587954007089139	75.71682415198302
pair_midterm__covid_political	midterm,covid_political	2	3000	3000	0.16600028748313586	61.598964807984885
pair_midterm__election2020	midterm,election2020	2	2500	3000	0.15682963024203977	84.01240494998638
pair_midterm__ukr_rus_suspended	midterm,ukr_rus_suspended	2	2500	2500	0.24804017459127037	66.33347633597441
pair_midterm__twibot20	midterm,twibot20	2	4000	4000	0.22279309555888177	105.33998239104403
pair_midterm__cp_hk_twitter	midterm,cp_hk_twitter	2	2250	2250	0.2835063595324755	49.620649608026724
pair_midterm__facebook_page_reference	midterm,facebook_page_reference	2	3250	3500	0.18265020120888947	81.5635858749738
pair_covid_political__election2020	covid_political,election2020	2	5250	6000	0.06152615540971358	169.5640339649981
pair_covid_political__ukr_rus_suspended	covid_political,ukr_rus_suspended	2	3000	3000	0.1554722459140149	68.03210944600869
pair_covid_political__twibot20	covid_political,twibot20	2	3250	3500	0.12988729334125915	90.47172543499619
pair_covid_political__cp_hk_twitter	covid_political,cp_hk_twitter	2	3000	3500	0.1843456689889232	75.91835960501339
pair_covid_political__facebook_page_reference	covid_political,facebook_page_reference	2	4250	4250	0.08699126752714316	106.71443159598857
pair_election2020__ukr_rus_suspended	election2020,ukr_rus_suspended	2	4250	4250	0.14419325726163207	121.53660848399159
pair_election2020__twibot20	election2020,twibot20	2	4250	5250	0.1196728805700938	156.76615636696806
pair_election2020__cp_hk_twitter	election2020,cp_hk_twitter	2	3250	3250	0.1767762448017796	88.79443408298539
pair_election2020__facebook_page_reference	election2020,facebook_page_reference	2	5750	5750	0.07510123873750368	164.04885110701434
pair_ukr_rus_suspended__twibot20	ukr_rus_suspended,twibot20	2	3500	3750	0.21108637425032528	94.78922911197878
pair_ukr_rus_suspended__cp_hk_twitter	ukr_rus_suspended,cp_hk_twitter	2	2750	3000	0.2661928870461204	77.0762990199728
pair_ukr_rus_suspended__facebook_page_reference	ukr_rus_suspended,facebook_page_reference	2	3750	4000	0.16754558614709159	16.89628653303953
pair_twibot20__cp_hk_twitter	twibot20,cp_hk_twitter	2	4000	4000	0.24690081737935543	102.80612654198194
pair_twibot20__facebook_page_reference	twibot20,facebook_page_reference	2	4000	4000	0.14499806743115187	98.31277553795371
