objective	task	run_id	sources	mixture_size	target	auc	checkpoint_step
graphmae	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	covid_political	0.8267478224247535	4000
graphmae	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	election2020	0.9661575088589669	4000
graphmae	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	facebook_page_reference	0.6682600698375689	4000
graphmae	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	twibot20	0.651112890197701	4000
graphmae	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	ukr_rus_suspended	0.5183264491693791	4000
graphmae	cls	ss_covid19_twitter	covid19_twitter	1	covid_political	0.8395654421537962	2750
graphmae	cls	ss_covid19_twitter	covid19_twitter	1	election2020	0.9691485660445536	2750
graphmae	cls	ss_covid19_twitter	covid19_twitter	1	facebook_page_reference	0.6729278668621125	2750
graphmae	cls	ss_covid19_twitter	covid19_twitter	1	twibot20	0.6509410446239292	2750
graphmae	cls	ss_covid19_twitter	covid19_twitter	1	ukr_rus_suspended	0.5201824448919206	2750
graphmae	cls	ss_midterm	midterm	1	covid_political	0.8369947739997501	2000
graphmae	cls	ss_midterm	midterm	1	election2020	0.9732329275079029	2000
graphmae	cls	ss_midterm	midterm	1	facebook_page_reference	0.6762666931188923	2000
graphmae	cls	ss_midterm	midterm	1	twibot20	0.6430520111224609	2000
graphmae	cls	ss_midterm	midterm	1	ukr_rus_suspended	0.5238564460145443	2000
graphmae	cls	ss_covid_political	covid_political	1	covid_political	0.8543379330921443	2750
graphmae	cls	ss_covid_political	covid_political	1	election2020	0.9768055307318498	2750
graphmae	cls	ss_covid_political	covid_political	1	facebook_page_reference	0.695735953617497	2750
graphmae	cls	ss_covid_political	covid_political	1	twibot20	0.6521713129528177	2750
graphmae	cls	ss_covid_political	covid_political	1	ukr_rus_suspended	0.5118998794269228	2750
graphmae	cls	ss_election2020	election2020	1	covid_political	0.8317186706397941	4250
graphmae	cls	ss_election2020	election2020	1	election2020	0.9813703883953014	4250
graphmae	cls	ss_election2020	election2020	1	facebook_page_reference	0.6841162967872377	4250
graphmae	cls	ss_election2020	election2020	1	twibot20	0.6519702569756523	4250
graphmae	cls	ss_election2020	election2020	1	ukr_rus_suspended	0.5185701246650387	4250
graphmae	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	covid_political	0.7500778232332619	2000
graphmae	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	election2020	0.9055377086912669	2000
graphmae	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	facebook_page_reference	0.6604396580050996	2000
graphmae	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	twibot20	0.6438266175140925	2000
graphmae	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	ukr_rus_suspended	0.5161136269697535	2000
graphmae	cls	ss_twibot20	twibot20	1	covid_political	0.8363001515854731	3250
graphmae	cls	ss_twibot20	twibot20	1	election2020	0.9782676154878232	3250
graphmae	cls	ss_twibot20	twibot20	1	facebook_page_reference	0.6905769005243502	3250
graphmae	cls	ss_twibot20	twibot20	1	twibot20	0.6582426131484386	3250
graphmae	cls	ss_twibot20	twibot20	1	ukr_rus_suspended	0.5189146597200478	3250
graphmae	cls	ss_cp_hk_twitter	cp_hk_twitter	1	covid_political	0.7959049772120455	2000
graphmae	cls	ss_cp_hk_twitter	cp_hk_twitter	1	election2020	0.9654212104278594	2000
graphmae	cls	ss_cp_hk_twitter	cp_hk_twitter	1	facebook_page_reference	0.6753721449136916	2000
graphmae	cls	ss_cp_hk_twitter	cp_hk_twitter	1	twibot20	0.6458986078254859	2000
graphmae	cls	ss_cp_hk_twitter	cp_hk_twitter	1	ukr_rus_suspended	0.5193565915993814	2000
graphmae	cls	ss_facebook_page_reference	facebook_page_reference	1	covid_political	0.8198547202860132	5000
graphmae	cls	ss_facebook_page_reference	facebook_page_reference	1	election2020	0.9777050977864623	5000
graphmae	cls	ss_facebook_page_reference	facebook_page_reference	1	facebook_page_reference	0.7182321624904493	5000
graphmae	cls	ss_facebook_page_reference	facebook_page_reference	1	twibot20	0.651909931458639	5000
graphmae	cls	ss_facebook_page_reference	facebook_page_reference	1	ukr_rus_suspended	0.5225787914042204	5000
graphmae	cls	pair_ukr_rus_twitter__covid19_twitter	ukr_rus_twitter,covid19_twitter	2	covid_political	0.828857816570301	3000
graphmae	cls	pair_ukr_rus_twitter__covid19_twitter	ukr_rus_twitter,covid19_twitter	2	election2020	0.9690474338255497	3000
graphmae	cls	pair_ukr_rus_twitter__covid19_twitter	ukr_rus_twitter,covid19_twitter	2	facebook_page_reference	0.6691354316547279	3000
graphmae	cls	pair_ukr_rus_twitter__covid19_twitter	ukr_rus_twitter,covid19_twitter	2	twibot20	0.6497382564654807	3000
graphmae	cls	pair_ukr_rus_twitter__covid19_twitter	ukr_rus_twitter,covid19_twitter	2	ukr_rus_suspended	0.5193378284671439	3000
graphmae	cls	pair_ukr_rus_twitter__midterm	ukr_rus_twitter,midterm	2	covid_political	0.831386533107068	3750
