graph,method,nodes,edges,edges_per_node,isolates_pct,degree_ks,degree_p50,degree_p90,degree_p99,largest_component_pct,components
ukraine,parent,7973536,57964016,7.269549670309384,2.0869160181881665,0,2.0,15.0,179.0,95.8599672717349,236189
ukraine,uniform,500000,218163,0.436326,79.12599999999999,0.7703908398181183,0.0,1.0,11.0,18.6268,400171
ukraine,edge,500000,25710237,51.420474,0.0,0.538407756410205,23.0,197.0,948.0,98.8026,2882
ukraine,walk1_s0,500000,5653956,11.307912,1.567,0.05875038593266524,2.0,32.0,371.0100000000093,91.0224,25224
ukraine,walk2_s0,500000,11759945,23.51989,0.9736,0.1891042880087329,3.0,86.0,610.0,94.978,13378
ukraine,walk4_s0,500000,15538818,31.077636,0.683,0.27263828800873297,5.0,125.0,725.0,96.6882,8327
ukraine,walk8_s0,500000,18903150,37.8063,0.44400000000000006,0.35165428800873294,8.0,155.0,808.0,97.9626,4900
ukraine,walk1_s1,500000,5730968,11.461936,1.6161999999999999,0.06011238593266521,2.0,32.0,377.0,90.964,25431
ukraine,walk2_s1,500000,11754142,23.508284,0.9904,0.18873828800873294,3.0,86.0,611.0,94.903,13523
covid,parent,18493966,85719134,4.63497845729791,2.077142350104894,0,2.0,11.0,97.0,94.94778459093091,628335
covid,uniform,500000,63956,0.127912,88.881,0.8680385764989511,0.0,1.0,3.0,8.4322,449826
covid,edge,500000,14072647,28.145294,0.0,0.4681488840115744,12.0,121.0,567.0,97.354,6450
covid,walk1_s0,500000,2647100,5.2942,1.4234,0.04139568647222569,2.0,17.0,158.0,85.86439999999999,37504
covid,walk2_s0,500000,4835739,9.671478,0.9022,0.15235088401157437,3.0,36.0,264.0,92.19319999999999,18928
covid,walk4_s0,500000,6709199,13.418398,0.6224000000000001,0.23758601675638424,4.0,54.0,345.0,95.379,10570
covid,walk8_s0,500000,8695861,17.391722,0.3548,0.31833601675638423,5.0,73.0,415.0,97.508,5423
covid,walk1_s1,500000,2643971,5.287942,1.4122,0.041749686472225656,2.0,17.0,158.0,85.8154,37674
covid,walk2_s1,500000,4859771,9.719542,0.8684000000000001,0.15299888401157435,3.0,36.0,267.0,92.2506,18756
