task,baseline,n,median_pp,mean_pp,positive_fraction
Neighbor matching,Each singleton,648,2.248187037720075,4.126119859399264,0.7160493827160493
Neighbor matching,Better singleton,324,-0.15992246825119,0.24191142532594623,0.4444444444444444
Node classification,Each singleton,360,0.616455078125,2.1528335853859226,0.625
Node classification,Better singleton,180,-0.37078857421875,-0.828625714337385,0.35
