base_source,added_source,pair_model_id,base_all_target_mean_auc,heldout_mean_delta_auc,all_target_mean_delta_auc,delta_to_ukr_rus,delta_to_facebook_page_reference,delta_to_covid,delta_to_twibot20,delta_to_covid_political,delta_to_ukr_rus_suspended,delta_to_midterm,delta_to_election2020,delta_to_cp_hk
ukr_rus,cp_hk,nmpair_ukr_rus__cp_hk,85.60997986093182,0.2522403696683392,1.081259386140565,-0.8324743002310786,0.5996975679507188,-0.3233871377747777,0.29460363004398804,0.6625020503997825,-1.0961435170009248,1.2518565134070236,0.3765534806525639,8.79812618781779
ukr_rus,covid,nmpair_ukr_rus__covid,85.60997986093182,0.20820709284890626,0.15647726192937378,-0.6993979832221608,-0.41863899121339365,0.6502436906441811,0.8422458993977311,0.3114712238311834,0.7751947983928087,0.24889359528992294,0.3523727532090848,-0.6540896289649933
ukr_rus,twibot20,nmpair_ukr_rus__twibot20,85.60997986093182,0.07520259894761017,0.11928663399940846,-1.0916131118248407,-0.8488925846143691,-0.053508980520833305,1.6387746251862456,-0.1699641381187056,0.19380975043635784,0.7271881898244237,0.6675105670402859,0.010275388586111767
ukr_rus,election2020,nmpair_ukr_rus__election2020,85.60997986093182,-0.2073255274291887,0.22484406657602676,-1.1684591742767814,-0.7746338844299316,-0.6146188302971978,0.06601308954173879,-0.13964203582411683,-1.1844707905561136,0.7196256210064145,4.643334465465343,0.47644813855488577
ukr_rus,covid_political,nmpair_ukr_rus__covid_political,85.60997986093182,-0.2236451206144558,0.15207417471047036,-1.056365816072502,-0.7158581278790099,-0.22178419705093377,0.08562431938348158,3.990549232767926,-0.7538186955725834,0.3455279750385509,-1.1698714755047135,0.8646643572840174
ukr_rus,ukr_rus_suspended,nmpair_ukr_rus__ukr_rus_suspended,85.60997986093182,-0.2660341568181005,0.763012571200868,-0.8518757354254003,-1.3365801312457681,-0.5506155271639779,-0.14780429587966104,-0.2697641548068841,9.581227973959916,0.2265176964902471,-0.297028429206736,0.5130357440860767
ukr_rus,facebook_page_reference,nmpair_ukr_rus__facebook_page_reference,85.60997986093182,-0.38004461376145754,-0.4820076639777053,-1.490028644430219,-0.18772803503892543,-1.0635478058080516,-0.2779949807572679,0.24621975832974652,-1.7745938383299742,-0.7666530143255468,0.6506220910741045,0.32563549348678666
ukr_rus,midterm,nmpair_ukr_rus__midterm,85.60997986093182,-0.4255546744429596,-0.23666320175959907,-1.5105869030130337,-1.091669373128601,-1.0200798648527298,-0.34835723624832005,-0.30863433048642364,-1.363724182392012,2.3595008082773594,0.42518797962145527,0.7283942863859139
covid,ukr_rus,nmpair_ukr_rus__covid,84.95043919765476,0.6458172755092639,0.816017925206426,2.7276226158799877,2.7050191506572285,0.0958177824129991,0.12155986380302242,0.0788395295197808,1.844303100958633,0.2140468838571108,-0.016273863014137913,-0.4267737372167901
covid,twibot20,nmpair_covid__twibot20,84.95043919765476,0.33712106776746836,0.32457211769708866,-0.5433322643411675,1.1169570889966396,-0.38185677309143795,0.943158357992957,0.02259440805720825,-0.301526593065804,0.6889480146868299,0.3409111773830853,1.0352956426554871
covid,midterm,nmpair_covid__midterm,84.95043919765476,-0.05438575995182969,0.10294563012105654,-0.3723286486220223,0.5757810192546842,-0.3225906552939528,-0.3443765914302954,0.6572435368066398,-0.6832277089699801,1.6298016460462694,-0.2841573611073067,0.07036543440547272
covid,ukr_rus_suspended,nmpair_covid__ukr_rus_suspended,84.95043919765476,-0.1611209855291031,0.9656562902613803,-0.7169146236331914,0.9194935738355281,-0.5225764745953154,-0.5170709922395877,-0.3085537477471423,10.341329985651459,-0.06004475999153991,-0.48134009043374615,0.03658374150595778
covid,covid_political,nmpair_covid__covid_political,84.95043919765476,-0.2276013656985693,0.17170260844712676,-0.5834909965252266,0.4117798805236883,-0.42308973169873365,0.07684352754178114,3.56162276761286,-0.3100196383465037,0.05577906794932419,-1.4241182804107466,0.18001687937769795
covid,election2020,nmpair_covid__election2020,84.95043919765476,-0.36243483546527827,0.10653907464077807,-0.6591388822972166,0.8713161671298542,-0.800923602334358,-0.26004447334112557,-1.451543048880588,-0.6556794287144285,-0.3531751550477247,4.2968191223583085,-0.02877902710571867
covid,cp_hk,nmpair_covid__cp_hk,84.95043919765476,-0.49137761635928656,0.517623427574972,-0.6163722482220968,-0.31472630884454844,-0.604515157896901,-0.6441030283083737,-0.5454090545917389,-0.651721118510451,-0.3896481963409748,-0.27766335969682254,8.702769320586656
covid,facebook_page_reference,nmpair_covid__facebook_page_reference,84.95043919765476,-1.1601332745137067,-0.718459834845432,-0.6828125043847,2.831186371288097,-1.1763919633010378,-0.6029445549537549,-0.8238133890875465,-2.2098839557033845,-2.215594656165998,-0.11733151030266509,-1.4685523509978982
twibot20,ukr_rus,nmpair_ukr_rus__twibot20,83.93997396545849,1.445478983896312,1.7892925294727462,5.967979760005548,4.870747793679964,1.8409742021012643,0.01730011797498321,0.14900846042850135,3.3827332929633025,0.47666149577874073,-0.1056569883193137,-0.49611536935827427
twibot20,covid,nmpair_covid__twibot20,83.93997396545849,1.415130563557446,1.3350373498933743,3.089240008387073,3.71293932542035,2.0670523177618416,0.042369886376403265,0.5741987009158178,1.8182886468953163,0.47326803207395907,-0.06360976175329158,0.3015889929628979
twibot20,election2020,nmpair_election2020__twibot20,83.93997396545849,0.22341030180356158,0.5776298715998187,0.6019768495669209,-0.1865826255973646,0.1426472746092644,-0.21735968260931937,0.22940295866165084,1.1542381089309273,-0.2118867019127335,3.852156414382757,-0.16592375163373418
twibot20,ukr_rus_suspended,nmpair_ukr_rus_suspended__twibot20,83.93997396545849,0.2090835688736692,1.4906216124465237,1.8977241817562218,0.03231351402985805,0.5634107671935062,-0.46062755858761184,0.07126943818455134,12.41263708849064,-0.5997308369340648,-0.8637582433634772,0.36235616124908887
twibot20,cp_hk,nmpair_twibot20__cp_hk,83.93997396545849,-0.22256642335349058,0.7487785937990142,-0.1099495093027647,0.7675481801745598,-0.17139715709904024,-0.17942284715587453,-1.2109844300938866,-0.9537917444075394,0.718652434732725,-0.598042737478488,8.476395154821436
twibot20,covid_political,nmpair_covid_political__twibot20,83.93997396545849,-0.27758373807020525,0.1541408512022903,0.1123157725936963,-1.0324323177337447,0.02283174416114475,-0.21567169277147968,3.546025520083529,0.8506266139019614,-0.24685559601619333,-1.368412985198808,-0.2811593981994931
