arm,mean_auc_or_delta_pp
async_kd,95.55583503401363
extended_bce,94.93052806122449
extended_bce_matched,94.60595408163266
rewind_bce,94.93052806122449
rewind_bce_matched,94.60595408163266
Ukraine singleton,95.76420238095238
Facebook singleton,88.01231887755102
KD minus matched BCE,0.949880952380956
KD minus Ukraine singleton,-0.2083673469387648
