experiment,run_id,kind,seed,mixture_size,sources,best_step,final_step,step,train_loss,validation_loss,elapsed_seconds
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,250,0.6849669218063354,0.6817784109995481,22.0267387481872
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,500,0.6821505427360535,0.677074865642048,44.53511000517756
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,750,0.6489818096160889,0.675017060197535,66.97640047804452
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,1000,0.6758626699447632,0.6751097643659228,89.68526648101397
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,1250,0.6795868873596191,0.6708389082834835,112.13973868801259
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,1500,0.6360576748847961,0.6699296531223116,134.7817572799977
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,1750,0.6682388782501221,0.6726115624109904,157.71569142700173
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,2000,0.6767491698265076,0.6687653662902968,180.24057002807967
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,2250,0.6414971947669983,0.6699869356694675,202.95115499617532
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,2500,0.6605018377304077,0.6684257500938008,225.72636895696633
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,2750,0.6844263076782227,0.6773388399964287,248.35318201011978
primary_s0,loo_cora_s0,leave_one_out,0,6,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",3250,4500,3000,0.6331537365913391,0.6692793883738064,271.069281241158
