architecture	pretraining_objective	model_id	n_sources	sources	target	auc	average_precision	hits_at_50	orientation	n_test_pairs	holdout_leakage_edges	endpoint_sensitivity	endpoint_permutation_auc	checkpoint_step	seed	protocol
graphsage	graphmae	ss_covid_political	1	covid_political	ukr_rus_suspended	0.6145933673469388				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_covid_political	1	covid_political	ukr_rus_twitter	0.5955441326530613				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	covid19_twitter	0.681558418367347				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	covid_political	0.5854372448979592				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	cp_hk_twitter	0.5518538265306122				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	election2020	0.6581619897959183				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	facebook_page_reference	0.5921520408163266				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	midterm	0.5883989795918367				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	twibot20	0.6914405612244898				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	ukr_rus_suspended	0.6221477040816327				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_cp_hk_twitter	1	cp_hk_twitter	ukr_rus_twitter	0.6109767857142857				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	covid19_twitter	0.6157619897959183				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	covid_political	0.5941321428571429				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	cp_hk_twitter	0.5335433673469387				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	election2020	0.7519918367346938				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	facebook_page_reference	0.599390306122449				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	midterm	0.5871698979591837				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	twibot20	0.7063178571428571				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	ukr_rus_suspended	0.6038619897959183				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_election2020	1	election2020	ukr_rus_twitter	0.5697423469387755				2800	0			4250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	covid19_twitter	0.7817609693877551				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	covid_political	0.5757821428571429				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	cp_hk_twitter	0.572052806122449				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	election2020	0.6798007653061224				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	facebook_page_reference	0.7861964285714286				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	midterm	0.6641484693877551				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	twibot20	0.7373520408163265				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	ukr_rus_suspended	0.6316938775510204				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_facebook_page_reference	1	facebook_page_reference	ukr_rus_twitter	0.6951775510204081				2800	0			5000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	covid19_twitter	0.7464614795918367				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	covid_political	0.630825				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	cp_hk_twitter	0.545868112244898				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	election2020	0.7296813775510204				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	facebook_page_reference	0.6287663265306123				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	midterm	0.6683959183673469				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	twibot20	0.7468387755102041				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	ukr_rus_suspended	0.622875				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_midterm	1	midterm	ukr_rus_twitter	0.6564280612244898				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	covid19_twitter	0.7863696428571428				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	covid_political	0.6089535714285714				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	cp_hk_twitter	0.5628913265306122				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	election2020	0.7294147959183673				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	facebook_page_reference	0.685719387755102				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	midterm	0.6734780612244898				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	twibot20	0.7749668367346939				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	ukr_rus_suspended	0.6421280612244898				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_twibot20	1	twibot20	ukr_rus_twitter	0.6682581632653061				2800	0			3250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	covid19_twitter	0.6158466836734694				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	covid_political	0.542868112244898				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	cp_hk_twitter	0.505572193877551				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	election2020	0.608463775510204				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	facebook_page_reference	0.5488836734693877				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	midterm	0.5548711734693877				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	twibot20	0.6371272959183674				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
