architecture,baseline,baseline_mean_roc_auc,update100_mean_roc_auc,mean_delta,update100_cells_above_baseline_fraction
prodigy,raw_cosine_prototype,0.6827440791659886,0.5840374708460508,-0.09870660831993769,0.2903225806451613
prodigy,raw_logistic,0.6829655258743852,0.5840374708460508,-0.09892805502833432,0.2903225806451613
vision,raw_cosine_prototype,0.6827440791659886,0.7390682512144319,0.05632417204844339,0.7580645161290323
vision,raw_logistic,0.6829655258743852,0.7390682512144319,0.056102725340046754,0.75
gilt,raw_cosine_prototype,0.6827440791659886,0.6831340151733253,0.00038993600733675866,0.33064516129032256
gilt,raw_logistic,0.6829655258743852,0.6831340151733253,0.0001684892989401255,0.33064516129032256
