arm,source,step,loss
MT,covid_political,0,0.7926
MT,covid_political,1,0.4577
MT,covid_political,5,0.357
MT,covid_political,9,0.2571
MT,covid_political,12,0.2645
MT,covid_political,16,0.3493
MT,covid_political,19,0.4203
MT,covid_political,22,0.3128
MT,covid_political,25,0.4652
MT,covid_political,28,0.2245
MT,covid_political,30,0.2168
MT,covid_political,32,0.3693
MT,covid_political,34,0.1733
MT,covid_political,36,0.3558
MT,covid_political,38,0.3281
MT,covid_political,40,0.4463
MT,covid_political,42,0.1611
MT,covid_political,44,0.356
MT,covid_political,46,0.1973
MT,covid_political,48,0.3641
MT,covid_political,50,0.5074
MT,covid_political,52,0.198
MT,covid_political,54,0.2228
MT,covid_political,56,0.4334
MT,covid_political,58,0.3326
MT,covid_political,60,0.3439
MT,covid_political,62,0.2399
MT,covid_political,64,0.1856
MT,covid_political,66,0.2521
MT,covid_political,68,0.3221
MT,covid_political,70,0.2232
MT,covid_political,72,0.2804
MT,covid_political,74,0.1762
MT,covid_political,76,0.2829
MT,covid_political,78,0.2617
MT,covid_political,80,0.2597
MT,covid_political,82,0.1712
MT,covid_political,84,0.1717
MT,covid_political,86,0.2613
MT,covid_political,88,0.2507
MT,covid_political,90,0.199
MT,covid_political,92,0.2012
MT,covid_political,94,0.2186
MT,covid_political,96,0.2314
MT,covid_political,98,0.4333
MT,covid_political,100,0.1408
MT,covid_political,102,0.4335
MT,covid_political,104,0.2441
MT,covid_political,106,0.3151
MT,covid_political,108,0.1416
MT,covid_political,110,0.3723
MT,covid_political,112,0.2757
MT,covid_political,114,0.2989
MT,covid_political,116,0.3334
MT,covid_political,118,0.169
MT,covid_political,120,0.3281
MT,covid_political,122,0.1455
MT,covid_political,124,0.3361
MT,covid_political,126,0.3982
MT,covid_political,129,0.2825
MT,covid_political,131,0.3293
MT,covid_political,133,0.184
MT,covid_political,135,0.2276
MT,covid_political,137,0.1411
MT,covid_political,139,0.1879
MT,covid_political,141,0.1225
MT,covid_political,143,0.3013
MT,covid_political,145,0.2736
MT,covid_political,147,0.2429
MT,covid_political,149,0.2025
MT,covid_political,151,0.161
MT,covid_political,153,0.3605
MT,covid_political,155,0.2243
MT,covid_political,157,0.2741
MT,covid_political,159,0.1613
MT,covid_political,161,0.3151
MT,covid_political,163,0.2856
MT,covid_political,165,0.3319
MT,covid_political,167,0.3286
MT,covid_political,169,0.2632
MT,covid_political,171,0.3174
MT,covid_political,173,0.2057
MT,covid_political,175,0.2954
MT,covid_political,177,0.1469
MT,covid_political,179,0.162
MT,covid_political,181,0.1519
MT,covid_political,183,0.4804
MT,covid_political,185,0.2421
MT,covid_political,187,0.138
MT,covid_political,189,0.3753
MT,covid_political,191,0.3162
MT,covid_political,193,0.2433
MT,covid_political,195,0.3414
MT,covid_political,197,0.2626
MT,covid_political,199,0.3072
MT,covid_political,201,0.2234
MT,covid_political,203,0.4008
MT,covid_political,205,0.2776
MT,covid_political,207,0.2794
MT,covid_political,209,0.2491
MT,covid_political,211,0.2686
MT,covid_political,213,0.2208
MT,covid_political,215,0.3087
MT,covid_political,217,0.2872
MT,covid_political,219,0.1968
MT,covid_political,221,0.2552
MT,covid_political,223,0.1945
MT,covid_political,225,0.1989
MT,covid_political,227,0.2856
MT,covid_political,229,0.1948
MT,covid_political,231,0.3984
MT,covid_political,233,0.1657
MT,covid_political,235,0.2946
MT,covid_political,237,0.1274
MT,covid_political,239,0.1811
MT,covid_political,241,0.193
MT,covid_political,243,0.1821
MT,covid_political,245,0.1926
MT,covid_political,247,0.2851
MT,covid_political,249,0.1519
MT,covid_political,251,0.1395
MT,covid_political,253,0.2699
MT,covid_political,255,0.1967
MT,covid_political,257,0.2146
MT,covid_political,259,0.1363
MT,covid_political,261,0.1769
MT,covid_political,263,0.2724
MT,covid_political,265,0.0878
MT,covid_political,267,0.378
MT,covid_political,269,0.3419
MT,covid_political,271,0.3141
MT,covid_political,273,0.1326
MT,covid_political,275,0.1795
MT,covid_political,277,0.2537
MT,covid_political,279,0.1378
MT,covid_political,281,0.2321
MT,covid_political,283,0.3437
MT,covid_political,285,0.1516
MT,covid_political,287,0.2484
MT,covid_political,289,0.2801
MT,covid_political,291,0.1264
MT,covid_political,293,0.1688
MT,covid_political,295,0.2021
MT,covid_political,297,0.1854
MT,covid_political,299,0.1853
MT,covid_political,301,0.2037
MT,covid_political,303,0.0614
MT,covid_political,305,0.1304
MT,covid_political,307,0.1314
MT,covid_political,309,0.2997
MT,covid_political,311,0.1458
MT,covid_political,313,0.2026
MT,covid_political,315,0.1706
MT,covid_political,317,0.2848
MT,covid_political,319,0.1396
MT,covid_political,321,0.1722
MT,covid_political,323,0.228
MT,covid_political,325,0.2127
MT,covid_political,327,0.255
MT,covid_political,329,0.2182
MT,covid_political,331,0.1597
MT,covid_political,333,0.1016
MT,covid_political,335,0.1663
MT,covid_political,337,0.2512
MT,covid_political,339,0.2011
MT,covid_political,341,0.1842
MT,covid_political,343,0.2661
MT,covid_political,345,0.1083
MT,covid_political,347,0.2475
MT,covid_political,349,0.2456
MT,covid_political,351,0.3182
MT,covid_political,353,0.2384
MT,covid_political,355,0.1651
MT,covid_political,357,0.2493
MT,covid_political,359,0.317
MT,covid_political,361,0.2327
MT,covid_political,363,0.2267
MT,covid_political,365,0.3087
MT,covid_political,367,0.1689
MT,covid_political,369,0.1225
MT,covid_political,371,0.1216
MT,covid_political,373,0.208
MT,covid_political,375,0.2393
MT,covid_political,377,0.183
MT,covid_political,379,0.2934
MT,covid_political,381,0.6313
MT,covid_political,383,0.3164
MT,covid_political,385,0.1332
MT,covid_political,387,0.1939
MT,covid_political,389,0.2701
MT,covid_political,391,0.1803
MT,covid_political,393,0.3117
MT,covid_political,395,0.1853
MT,covid_political,397,0.2553
MT,covid_political,399,0.1937
MT,covid_political,401,0.2449
MT,covid_political,403,0.2706
MT,covid_political,405,0.187
MT,covid_political,407,0.2894
MT,covid_political,409,0.2828
MT,covid_political,411,0.1717
MT,covid_political,413,0.1962
MT,covid_political,415,0.2505
MT,covid_political,417,0.2358
MT,covid_political,419,0.2623
MT,covid_political,421,0.283
MT,covid_political,423,0.2252
MT,covid_political,425,0.2066
MT,covid_political,427,0.2344
MT,covid_political,429,0.2993
MT,covid_political,431,0.2567
MT,covid_political,433,0.1622
MT,covid_political,435,0.1285
MT,covid_political,437,0.2377
MT,covid_political,439,0.1392
MT,covid_political,441,0.1444
MT,covid_political,443,0.3111
MT,covid_political,445,0.234
MT,covid_political,447,0.4389
MT,covid_political,449,0.2381
MT,covid_political,451,0.4339
MT,covid_political,453,0.2511
MT,covid_political,455,0.3427
MT,covid_political,457,0.292
MT,covid_political,459,0.2596
MT,covid_political,461,0.2554
MT,covid_political,463,0.221
MT,covid_political,465,0.3809
MT,covid_political,467,0.1933
MT,covid_political,469,0.274
MT,covid_political,471,0.2681
MT,covid_political,473,0.2379
MT,covid_political,475,0.1135
MT,covid_political,477,0.1631
MT,covid_political,479,0.2594
MT,covid_political,481,0.3777
MT,covid_political,483,0.1879
MT,covid_political,485,0.2167
MT,covid_political,487,0.1892
MT,covid_political,489,0.2859
MT,covid_political,491,0.1615
MT,covid_political,493,0.2957
MT,covid_political,495,0.162
MT,covid_political,497,0.0955
MT,covid_political,499,0.1419
MT,covid_political,501,0.3587
MT,covid_political,503,0.14
MT,covid_political,505,0.3148
MT,covid_political,507,0.158
MT,covid_political,509,0.1879
MT,covid_political,511,0.1701
MT,covid_political,513,0.2829
MT,covid_political,515,0.3506
MT,covid_political,517,0.1746
MT,covid_political,519,0.2625
MT,covid_political,521,0.2058
MT,covid_political,523,0.213
MT,covid_political,525,0.1374
MT,covid_political,527,0.325
MT,covid_political,529,0.3114
MT,covid_political,531,0.2089
MT,covid_political,533,0.1989
MT,covid_political,535,0.1525
MT,covid_political,537,0.2036
MT,covid_political,539,0.299
MT,covid_political,541,0.2573
MT,covid_political,543,0.1953
MT,covid_political,545,0.1805
MT,covid_political,547,0.1777
MT,covid_political,549,0.1884
MT,covid_political,551,0.3088
MT,covid_political,553,0.14
MT,covid_political,555,0.1831
MT,covid_political,557,0.2119
MT,covid_political,559,0.3155
MT,covid_political,561,0.1907
MT,covid_political,563,0.2752
MT,covid_political,565,0.197
MT,covid_political,567,0.3553
MT,covid_political,569,0.2435
MT,covid_political,571,0.2672
MT,covid_political,573,0.334
MT,covid_political,575,0.1431
MT,covid_political,577,0.2375
MT,covid_political,579,0.3317
MT,covid_political,581,0.1964
MT,covid_political,583,0.1701
MT,covid_political,585,0.3271
MT,covid_political,587,0.2205
MT,covid_political,589,0.3355
MT,covid_political,591,0.3641
MT,covid_political,593,0.2035
MT,covid_political,595,0.1553
