arm,source,target,accuracy,f1,roc_auc,run_dir
MT,covid_political,covid_political,0.9204166666666667,0.9200134008961849,0.9650957960069445,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_covid_political_to_covid_political_pl_3shot_31_08_2026_17_17_57
MT,covid_political,election2020,0.97625,0.9765490002468526,0.987053,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_covid_political_to_election2020_pl_3shot_31_08_2026_17_18_29
MT,covid_political,facebook_page_reference,0.03157083333333333,0.02349524160317341,0.4900563448186064,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_covid_political_to_facebook_page_reference_pl_3shot_31_08_2026_17_22_22
MT,covid_political,twibot20,0.5273333333333333,0.5594905250077664,0.5485922256944444,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_covid_political_to_twibot20_pl_3shot_31_08_2026_17_19_45
MT,covid_political,ukr_rus_suspended,0.5255,0.41238390092879257,0.5369938750000001,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_covid_political_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_20_26
MT,election2020,covid_political,0.8729375,0.8684681576052966,0.9264134453125,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_election2020_to_covid_political_pl_3shot_31_08_2026_17_17_57
MT,election2020,election2020,0.9805,0.9806643529995042,0.988723,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_election2020_to_election2020_pl_3shot_31_08_2026_17_18_29
MT,election2020,facebook_page_reference,0.0290375,0.021126457982476712,0.4762721879938937,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_election2020_to_facebook_page_reference_pl_3shot_31_08_2026_17_22_21
MT,election2020,twibot20,0.47433333333333333,0.5148438701738194,0.4428488394097222,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_election2020_to_twibot20_pl_3shot_31_08_2026_17_19_49
MT,election2020,ukr_rus_suspended,0.52,0.48580610605249064,0.5278008750000001,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_election2020_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_20_27
MT,facebook_page_reference,covid_political,0.5605625,0.6061285082068232,0.5814423237847222,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_facebook_page_reference_to_covid_political_pl_3shot_31_08_2026_17_17_57
MT,facebook_page_reference,election2020,0.55775,0.6329113924050633,0.55233825,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_facebook_page_reference_to_election2020_pl_3shot_31_08_2026_17_18_59
MT,facebook_page_reference,facebook_page_reference,0.3814875,0.36512257169041346,0.886971547575431,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_facebook_page_reference_to_facebook_page_reference_pl_3shot_31_08_2026_17_22_22
MT,facebook_page_reference,twibot20,0.56925,0.6246596231347348,0.5654853324652778,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_facebook_page_reference_to_twibot20_pl_3shot_31_08_2026_17_19_50
