source,covid_political,election2020,facebook_page_reference,twibot20,ukr_rus_suspended
covid_political,0.8658958333333333,0.959,0.06708333333333333,0.5781041666666666,0.5125
election2020,0.8270833333333333,0.965,0.0594625,0.5423541666666667,0.505
facebook_page_reference,0.6899791666666667,0.814,0.0997125,0.5503333333333333,0.48425
twibot20,0.7927916666666667,0.9655,0.1201875,0.5675833333333333,0.4875
ukr_rus_suspended,0.6277708333333333,0.736,0.057495833333333336,0.5820208333333333,0.49925
heldout_mixture,0.7505625,0.9685,0.08071666666666667,0.5083125,0.485
