source,covid_political,election2020,facebook_page_reference,twibot20,ukr_rus_suspended
covid_political,0.9126666666666666,0.96175,0.0625375,0.5906041666666667,0.51425
election2020,0.8622708333333333,0.98,0.05214166666666667,0.5394166666666667,0.503
facebook_page_reference,0.41354166666666664,0.47575,0.2885083333333333,0.4345,0.47375
twibot20,0.7754375,0.91725,0.097725,0.76125,0.484
ukr_rus_suspended,0.7118125,0.74675,0.05515833333333333,0.5911041666666667,0.58375
