source,objective,update,accuracy,loss
covid_political,NM,851,0.9375,0.1828
covid_political,MT,855,0.875,0.3088
covid_political,NM,855,0.9375,0.1402
covid_political,MT,861,0.9531,0.2175
covid_political,NM,861,0.9062,0.1646
covid_political,MT,867,0.9062,0.1734
covid_political,NM,867,0.9375,0.1332
covid_political,MT,873,0.7656,0.3701
covid_political,NM,873,1.0,0.0346
covid_political,MT,879,0.7969,0.4224
covid_political,NM,879,0.875,0.2939
covid_political,MT,885,0.9219,0.2288
covid_political,NM,885,0.8125,0.3967
covid_political,MT,891,0.9219,0.1794
covid_political,NM,891,0.8281,0.3118
covid_political,MT,895,0.875,0.2719
covid_political,NM,895,0.875,0.3331
covid_political,MT,899,0.8594,0.3145
covid_political,NM,899,0.9375,0.1871
election2020,NM,0,0.0323,3.4012
election2020,MT,1,0.0323,3.4012
election2020,NM,1,0.5625,0.7887
election2020,MT,3,0.0437,3.4003
election2020,NM,3,0.625,2.339
election2020,MT,5,0.0635,3.3998
election2020,NM,5,0.8906,0.3526
election2020,MT,7,0.051,3.3994
election2020,NM,7,0.5781,0.8604
election2020,MT,9,0.0667,3.3981
election2020,NM,9,0.9688,0.3476
election2020,MT,11,0.0604,3.3966
election2020,NM,11,0.6719,0.5054
election2020,MT,13,0.0635,3.395
election2020,NM,13,0.875,0.2973
election2020,MT,15,0.074,3.3954
election2020,NM,15,1.0,0.2291
election2020,MT,17,0.0646,3.395
election2020,NM,17,0.9375,0.2314
election2020,MT,19,0.0698,3.3867
election2020,NM,19,0.9062,0.2701
election2020,MT,21,0.0719,3.3906
election2020,NM,21,0.9062,0.2398
election2020,MT,23,0.0677,3.3897
election2020,NM,23,0.9219,0.2765
election2020,MT,25,0.0656,3.3871
election2020,NM,25,0.9688,0.1629
election2020,MT,27,0.0542,3.3836
election2020,NM,27,0.9844,0.1074
election2020,MT,29,0.0615,3.3864
election2020,NM,29,0.9844,0.1201
election2020,MT,31,0.076,3.3758
election2020,NM,31,0.9688,0.2126
election2020,MT,33,0.0688,3.3817
election2020,NM,33,0.9844,0.0622
election2020,MT,35,0.0656,3.3763
election2020,NM,35,0.9688,0.1498
election2020,MT,37,0.0792,3.3609
election2020,NM,37,0.9531,0.3517
election2020,MT,39,0.0896,3.3548
election2020,NM,39,0.9688,0.1841
election2020,MT,41,0.0865,3.3598
election2020,NM,41,1.0,0.0834
election2020,MT,43,0.0688,3.3472
election2020,NM,43,0.9531,0.2105
election2020,MT,45,0.0677,3.3586
election2020,NM,45,0.9688,0.0988
election2020,MT,47,0.0792,3.3213
election2020,NM,47,0.9844,0.0674
election2020,MT,49,0.0885,3.313
election2020,NM,49,0.9688,0.2547
election2020,MT,51,0.0729,3.3298
election2020,NM,51,0.9844,0.1715
election2020,MT,53,0.0781,3.3187
election2020,NM,53,0.9688,0.1356
election2020,MT,55,0.074,3.3183
election2020,NM,55,0.9688,0.1928
election2020,MT,57,0.0865,3.3141
election2020,NM,57,1.0,0.1019
election2020,MT,59,0.0885,3.3146
election2020,NM,59,0.9688,0.1499
election2020,MT,61,0.0844,3.2826
election2020,NM,61,0.9688,0.1479
election2020,MT,63,0.0875,3.2626
election2020,NM,63,0.9844,0.0542
election2020,MT,65,0.075,3.2651
election2020,NM,65,0.9375,0.2277
election2020,MT,67,0.0854,3.2568
election2020,NM,67,0.9219,0.4278
election2020,MT,69,0.0958,3.2458
election2020,NM,69,0.9688,0.1372
election2020,MT,71,0.0896,3.2704
election2020,NM,71,1.0,0.078
election2020,MT,73,0.0906,3.2417
election2020,NM,73,0.9688,0.138
election2020,MT,75,0.0865,3.236
election2020,NM,75,0.9844,0.1439
election2020,MT,77,0.0802,3.2487
election2020,NM,77,0.9531,0.1018
election2020,MT,79,0.1052,3.1957
election2020,NM,79,0.9844,0.1029
election2020,MT,81,0.099,3.197
election2020,NM,81,0.9531,0.1424
election2020,MT,83,0.0948,3.2132
election2020,NM,83,0.9531,0.1411
election2020,MT,85,0.1156,3.1473
election2020,NM,85,1.0,0.0253
election2020,MT,87,0.1094,3.1294
election2020,NM,87,1.0,0.0185
election2020,MT,89,0.0813,3.0879
election2020,NM,89,0.9844,0.0858
election2020,MT,91,0.0948,3.0935
election2020,NM,91,0.9844,0.1667
election2020,MT,93,0.1042,3.0504
election2020,NM,93,0.9531,0.2734
election2020,MT,95,0.0885,3.0341
election2020,NM,95,0.9844,0.1069
election2020,MT,97,0.1104,2.98
election2020,NM,97,0.9844,0.0541
election2020,MT,99,0.1167,2.8809
election2020,NM,99,0.9844,0.0369
election2020,MT,101,0.1135,2.7996
election2020,NM,101,1.0,0.03
election2020,MT,103,0.125,2.7982
election2020,NM,103,0.9844,0.109
election2020,MT,105,0.1042,2.7524
election2020,NM,105,0.9688,0.0604
election2020,MT,107,0.1083,2.7906
election2020,NM,107,0.9531,0.2212
election2020,MT,109,0.1021,2.7445
election2020,NM,109,0.9531,0.2967
election2020,MT,111,0.1083,2.7353
election2020,NM,111,0.9688,0.1432
election2020,MT,113,0.126,2.7225
election2020,NM,113,1.0,0.0488
election2020,MT,115,0.1156,2.6498
election2020,NM,115,1.0,0.0226
election2020,MT,117,0.1177,2.6645
election2020,NM,117,0.9531,0.219
election2020,MT,119,0.1229,2.6709
election2020,NM,119,1.0,0.0285
election2020,MT,121,0.1156,2.6402
election2020,NM,121,0.9688,0.1394
election2020,MT,123,0.1208,2.6292
election2020,NM,123,0.9844,0.076
election2020,MT,125,0.1115,2.6051
election2020,NM,125,0.9844,0.1675
election2020,MT,127,0.1177,2.6132
election2020,NM,127,0.9844,0.0623
election2020,MT,129,0.1177,2.6753
election2020,NM,129,1.0,0.0266
election2020,MT,131,0.1021,2.6556
election2020,NM,131,0.9531,0.2363
election2020,MT,133,0.101,2.6585
election2020,NM,133,0.9844,0.095
election2020,MT,135,0.1187,2.5891
election2020,NM,135,1.0,0.0154
election2020,MT,137,0.1156,2.6262
election2020,NM,137,0.9531,0.2138
election2020,MT,139,0.125,2.593
election2020,NM,139,0.9688,0.1976
election2020,MT,141,0.1062,2.6824
election2020,NM,141,0.9688,0.1089
election2020,MT,143,0.1094,2.611
election2020,NM,143,1.0,0.0297
election2020,MT,145,0.1146,2.6112
election2020,NM,145,1.0,0.028
election2020,MT,147,0.1125,2.6325
election2020,NM,147,0.9688,0.1427
election2020,MT,149,0.1167,2.6752
election2020,NM,149,1.0,0.0078
election2020,MT,151,0.0979,2.6486
election2020,NM,151,1.0,0.0239
election2020,MT,153,0.1229,2.5776
election2020,NM,153,0.9531,0.1283
election2020,MT,155,0.1062,2.684
election2020,NM,155,0.9844,0.103
election2020,MT,157,0.1271,2.6336
election2020,NM,157,0.9531,0.2199
election2020,MT,159,0.126,2.6415
election2020,NM,159,1.0,0.0113
election2020,MT,161,0.1094,2.6209
election2020,NM,161,0.9844,0.042
election2020,MT,163,0.1135,2.6704
election2020,NM,163,1.0,0.0255
election2020,MT,165,0.1271,2.5783
election2020,NM,165,0.9688,0.1401
election2020,MT,167,0.1323,2.6381
election2020,NM,167,0.9844,0.0361
election2020,MT,169,0.1208,2.5951
election2020,NM,169,0.9688,0.1648
election2020,MT,171,0.1208,2.5931
election2020,NM,171,0.9844,0.0561
election2020,MT,173,0.1417,2.5955
election2020,NM,173,0.9688,0.1708
election2020,MT,175,0.1437,2.6215
election2020,NM,175,0.9844,0.0645
election2020,MT,177,0.1281,2.6447
election2020,NM,177,0.9219,0.2925
election2020,MT,179,0.1167,2.5962
election2020,NM,179,0.9688,0.1695
election2020,MT,181,0.1292,2.6168
election2020,NM,181,1.0,0.0286
election2020,MT,183,0.1146,2.6609
election2020,NM,183,0.9375,0.2214
election2020,MT,185,0.1427,2.6292
election2020,NM,185,0.9531,0.1611
election2020,MT,187,0.1167,2.6001
election2020,NM,187,1.0,0.0628
election2020,MT,189,0.1313,2.63
election2020,NM,189,1.0,0.0564
election2020,MT,191,0.1177,2.6354
election2020,NM,191,0.9844,0.0517
election2020,MT,193,0.1375,2.6147
election2020,NM,193,0.9688,0.1818
election2020,MT,195,0.1365,2.5711
election2020,NM,195,0.9688,0.1311
election2020,MT,197,0.126,2.6074
election2020,NM,197,0.9688,0.1775
election2020,MT,199,0.1281,2.6504
election2020,NM,199,0.9688,0.1713
election2020,MT,201,0.1375,2.5687
election2020,NM,201,1.0,0.0205
election2020,MT,203,0.1313,2.6191
election2020,NM,203,1.0,0.0206
election2020,MT,205,0.1281,2.588
election2020,NM,205,0.9688,0.1501
election2020,MT,207,0.1417,2.6244
election2020,NM,207,0.9844,0.0996
