threshold,alpha,iterations,excluded,target,run_dir,val_accuracy,val_roc_auc,test_accuracy,test_roc_auc
0.9,0.25,1,facebook_page_reference,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_facebook_page_reference_to_covid_political_pl_3shot_01_09_2026_01_25_12,0.9086041666666667,0.9568438576388889,0.9055625,0.9537976692708334
0.9,0.25,1,facebook_page_reference,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_facebook_page_reference_to_election2020_pl_3shot_01_09_2026_01_25_12,0.979,0.9897868750000001,0.9785,0.9887779999999999
0.9,0.25,1,facebook_page_reference,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_facebook_page_reference_to_facebook_page_reference_pl_3shot_01_09_2026_01_26_03,0.053429166666666666,0.5528883718839798,0.05155,0.554305016172773
0.9,0.25,1,facebook_page_reference,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_facebook_page_reference_to_twibot20_pl_3shot_01_09_2026_01_26_03,0.7371875,0.8117308880208333,0.7288958333333333,0.8068822960069444
0.9,0.25,1,facebook_page_reference,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_facebook_page_reference_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_28_28,0.56825,0.582970375,0.554,0.573333875
0.9,0.25,1,twibot20,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_twibot20_to_covid_political_pl_3shot_01_09_2026_01_25_12,0.898,0.9536270399305555,0.8953958333333333,0.9485073776041668
0.9,0.25,1,twibot20,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_twibot20_to_election2020_pl_3shot_01_09_2026_01_25_11,0.97925,0.9909965,0.9785,0.98952825
0.9,0.25,1,twibot20,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_twibot20_to_facebook_page_reference_pl_3shot_01_09_2026_01_25_51,0.12017083333333334,0.7328414494881466,0.1196,0.7307435063218393
0.9,0.25,1,twibot20,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_twibot20_to_twibot20_pl_3shot_01_09_2026_01_25_51,0.646125,0.6854004270833334,0.6301875,0.6684281128472223
0.9,0.25,1,twibot20,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_twibot20_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_28_19,0.547,0.5834807500000001,0.55025,0.5798965
