condition,excluded,target,accuracy,roc_auc,run_dir
task8,covid_political,twibot20,0.7186875,0.7896752951388889,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_covid_political_to_twibot20_pl_3shot_31_08_2026_23_45_39
task8,covid_political,ukr_rus_suspended,0.532,0.564237,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_covid_political_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_48_04
task8,election2020,covid_political,0.8945625,0.944588171875,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_election2020_to_covid_political_pl_3shot_31_08_2026_23_44_55
task8,election2020,election2020,0.9735,0.9855317500000002,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_election2020_to_election2020_pl_3shot_31_08_2026_23_44_55
task8,election2020,facebook_page_reference,0.16057083333333333,0.735290466639727,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_election2020_to_facebook_page_reference_pl_3shot_31_08_2026_23_45_31
task8,election2020,twibot20,0.7326041666666666,0.8086106041666666,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_election2020_to_twibot20_pl_3shot_31_08_2026_23_45_31
task8,election2020,ukr_rus_suspended,0.54325,0.5674263749999999,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_election2020_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_47_57
task8,facebook_page_reference,covid_political,0.905,0.9516927569444446,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_facebook_page_reference_to_covid_political_pl_3shot_31_08_2026_23_44_55
task8,facebook_page_reference,election2020,0.9795,0.9872505000000001,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_facebook_page_reference_to_election2020_pl_3shot_31_08_2026_23_44_55
task8,facebook_page_reference,facebook_page_reference,0.06590416666666667,0.5738327892690372,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_facebook_page_reference_to_facebook_page_reference_pl_3shot_31_08_2026_23_45_39
task8,facebook_page_reference,twibot20,0.7405625,0.8160574852430555,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_facebook_page_reference_to_twibot20_pl_3shot_31_08_2026_23_45_39
task8,facebook_page_reference,ukr_rus_suspended,0.569,0.5892295000000001,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_facebook_page_reference_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_48_08
task8,twibot20,covid_political,0.8942708333333333,0.9502120008680557,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_twibot20_to_covid_political_pl_3shot_31_08_2026_23_44_54
task8,twibot20,election2020,0.97875,0.9877850000000001,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_twibot20_to_election2020_pl_3shot_31_08_2026_23_44_55
task8,twibot20,facebook_page_reference,0.15609166666666666,0.7538486135326868,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_twibot20_to_facebook_page_reference_pl_3shot_31_08_2026_23_45_30
task8,twibot20,twibot20,0.5820833333333333,0.6063167673611112,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_twibot20_to_twibot20_pl_3shot_31_08_2026_23_45_30
task8,twibot20,ukr_rus_suspended,0.567,0.590629875,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_twibot20_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_47_58
task8,ukr_rus_suspended,covid_political,0.9039375,0.9540294835069444,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_ukr_rus_suspended_to_covid_political_pl_3shot_31_08_2026_23_44_52
task8,ukr_rus_suspended,election2020,0.9785,0.9888075000000001,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_ukr_rus_suspended_to_election2020_pl_3shot_31_08_2026_23_44_54
task8,ukr_rus_suspended,facebook_page_reference,0.16306666666666667,0.7455200858387213,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_ukr_rus_suspended_to_facebook_page_reference_pl_3shot_31_08_2026_23_45_34
task8,ukr_rus_suspended,twibot20,0.7416458333333333,0.8216299609375,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_ukr_rus_suspended_to_twibot20_pl_3shot_31_08_2026_23_45_37
task8,ukr_rus_suspended,ukr_rus_suspended,0.48225,0.48073387500000003,/dataMeR1/phil/gfm/prodigy-task8/log/eval_TASK8_EXCL_ukr_rus_suspended_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_48_01
