physical_result_id	seed	model_id	target	accuracy_logged	f1_macro_logged	roc_auc_ovr_macro_logged	printed_decimal_places	source_log
prodigy|seed=0|model=ordA_r7|target=election2020|checkpoint=2500	0	ordA_r7	election2020	0.1872	0.1872	0.8641	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordA_r7|target=facebook_page_reference|checkpoint=2500	0	ordA_r7	facebook_page_reference	0.2826	0.2826	0.8483	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordA_r7|target=midterm|checkpoint=2500	0	ordA_r7	midterm	0.2380	0.2380	0.8655	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordA_r7|target=twibot20|checkpoint=2500	0	ordA_r7	twibot20	0.3167	0.3166	0.9107	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordA_r7|target=ukr_rus|checkpoint=2500	0	ordA_r7	ukr_rus	0.3957	0.3956	0.9071	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordA_r7|target=ukr_rus_suspended|checkpoint=2500	0	ordA_r7	ukr_rus_suspended	0.3094	0.3093	0.9044	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordA_r8|target=covid|checkpoint=2500	0	ordA_r8	covid	0.5338	0.5338	0.9553	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=covid_political|checkpoint=2500	0	ordA_r8	covid_political	0.1798	0.1798	0.8674	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=cp_hk|checkpoint=2500	0	ordA_r8	cp_hk	0.1326	0.1325	0.7474	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=election2020|checkpoint=2500	0	ordA_r8	election2020	0.1846	0.1846	0.8627	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=facebook_page_reference|checkpoint=2500	0	ordA_r8	facebook_page_reference	0.2674	0.2673	0.8340	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=midterm|checkpoint=2500	0	ordA_r8	midterm	0.2297	0.2297	0.8671	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=twibot20|checkpoint=2500	0	ordA_r8	twibot20	0.3036	0.3036	0.9074	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=ukr_rus|checkpoint=2500	0	ordA_r8	ukr_rus	0.3800	0.3800	0.9003	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordA_r8|target=ukr_rus_suspended|checkpoint=2500	0	ordA_r8	ukr_rus_suspended	0.3067	0.3066	0.9028	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r2|target=covid|checkpoint=2500	0	ordB_r2	covid	0.3466	0.3465	0.8974	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=covid_political|checkpoint=2500	0	ordB_r2	covid_political	0.1299	0.1298	0.8069	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=cp_hk|checkpoint=2500	0	ordB_r2	cp_hk	0.1062	0.1061	0.6962	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=election2020|checkpoint=2500	0	ordB_r2	election2020	0.2134	0.2134	0.8767	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=facebook_page_reference|checkpoint=2500	0	ordB_r2	facebook_page_reference	0.1931	0.1930	0.7755	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=midterm|checkpoint=2500	0	ordB_r2	midterm	0.1570	0.1570	0.7929	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=twibot20|checkpoint=2500	0	ordB_r2	twibot20	0.1895	0.1896	0.8133	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=ukr_rus|checkpoint=2500	0	ordB_r2	ukr_rus	0.2648	0.2648	0.8361	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r2|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r2	ukr_rus_suspended	0.3528	0.3528	0.9230	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordB_r3|target=covid|checkpoint=2500	0	ordB_r3	covid	0.5127	0.5127	0.9518	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker6.log
prodigy|seed=0|model=ordB_r3|target=covid_political|checkpoint=2500	0	ordB_r3	covid_political	0.1299	0.1299	0.8237	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker6.log
prodigy|seed=0|model=ordB_r3|target=cp_hk|checkpoint=2500	0	ordB_r3	cp_hk	0.1202	0.1202	0.7255	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker6.log
prodigy|seed=0|model=ordB_r3|target=election2020|checkpoint=2500	0	ordB_r3	election2020	0.2136	0.2136	0.8783	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker6.log
prodigy|seed=0|model=ordB_r3|target=facebook_page_reference|checkpoint=2500	0	ordB_r3	facebook_page_reference	0.2906	0.2906	0.8622	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker6.log
prodigy|seed=0|model=ordB_r3|target=midterm|checkpoint=2500	0	ordB_r3	midterm	0.2088	0.2088	0.8522	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker6.log
prodigy|seed=0|model=ordB_r3|target=twibot20|checkpoint=2500	0	ordB_r3	twibot20	0.2844	0.2843	0.8959	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker6.log
prodigy|seed=0|model=ordB_r3|target=ukr_rus|checkpoint=2500	0	ordB_r3	ukr_rus	0.3987	0.3987	0.9122	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker6.log
prodigy|seed=0|model=ordB_r3|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r3	ukr_rus_suspended	0.3510	0.3509	0.9231	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker6.log
prodigy|seed=0|model=ordB_r4|target=covid|checkpoint=2500	0	ordB_r4	covid	0.5045	0.5044	0.9493	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=covid_political|checkpoint=2500	0	ordB_r4	covid_political	0.1305	0.1305	0.8219	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=cp_hk|checkpoint=2500	0	ordB_r4	cp_hk	0.1134	0.1134	0.7231	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=election2020|checkpoint=2500	0	ordB_r4	election2020	0.2038	0.2038	0.8726	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=facebook_page_reference|checkpoint=2500	0	ordB_r4	facebook_page_reference	0.3297	0.3297	0.8677	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
