physical_result_id	seed	model_id	target	accuracy_logged	f1_macro_logged	roc_auc_ovr_macro_logged	printed_decimal_places	source_log
prodigy|seed=0|model=ordB_r6|target=cp_hk|checkpoint=2500	0	ordB_r6	cp_hk	0.1565	0.1564	0.7818	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=election2020|checkpoint=2500	0	ordB_r6	election2020	0.1863	0.1862	0.8641	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=facebook_page_reference|checkpoint=2500	0	ordB_r6	facebook_page_reference	0.3342	0.3342	0.8747	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=midterm|checkpoint=2500	0	ordB_r6	midterm	0.1997	0.1996	0.8422	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=twibot20|checkpoint=2500	0	ordB_r6	twibot20	0.2796	0.2795	0.8959	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=ukr_rus|checkpoint=2500	0	ordB_r6	ukr_rus	0.3891	0.3891	0.9075	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r6	ukr_rus_suspended	0.3202	0.3201	0.9092	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r7|target=covid|checkpoint=2500	0	ordB_r7	covid	0.5394	0.5394	0.9570	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=covid_political|checkpoint=2500	0	ordB_r7	covid_political	0.1749	0.1749	0.8530	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=cp_hk|checkpoint=2500	0	ordB_r7	cp_hk	0.1408	0.1407	0.7570	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=election2020|checkpoint=2500	0	ordB_r7	election2020	0.1825	0.1825	0.8587	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=facebook_page_reference|checkpoint=2500	0	ordB_r7	facebook_page_reference	0.3268	0.3268	0.8694	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=midterm|checkpoint=2500	0	ordB_r7	midterm	0.2136	0.2136	0.8512	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=twibot20|checkpoint=2500	0	ordB_r7	twibot20	0.2950	0.2950	0.9016	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=ukr_rus|checkpoint=2500	0	ordB_r7	ukr_rus	0.3881	0.3880	0.9029	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r7|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r7	ukr_rus_suspended	0.3091	0.3092	0.9051	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker2.log
prodigy|seed=0|model=ordB_r8|target=covid|checkpoint=2500	0	ordB_r8	covid	0.5317	0.5316	0.9551	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=covid_political|checkpoint=2500	0	ordB_r8	covid_political	0.1721	0.1721	0.8583	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=cp_hk|checkpoint=2500	0	ordB_r8	cp_hk	0.1356	0.1356	0.7485	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=election2020|checkpoint=2500	0	ordB_r8	election2020	0.1786	0.1786	0.8566	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=facebook_page_reference|checkpoint=2500	0	ordB_r8	facebook_page_reference	0.3245	0.3246	0.8708	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=midterm|checkpoint=2500	0	ordB_r8	midterm	0.2237	0.2236	0.8591	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=twibot20|checkpoint=2500	0	ordB_r8	twibot20	0.2934	0.2933	0.9006	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=ukr_rus|checkpoint=2500	0	ordB_r8	ukr_rus	0.3885	0.3884	0.9050	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordB_r8|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r8	ukr_rus_suspended	0.3028	0.3027	0.9028	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker5.log
prodigy|seed=0|model=ordC_r2|target=covid|checkpoint=2500	0	ordC_r2	covid	0.4681	0.4681	0.9322	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=covid_political|checkpoint=2500	0	ordC_r2	covid_political	0.1543	0.1542	0.8334	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=cp_hk|checkpoint=2500	0	ordC_r2	cp_hk	0.1109	0.1109	0.7175	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=election2020|checkpoint=2500	0	ordC_r2	election2020	0.1511	0.1511	0.8406	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=facebook_page_reference|checkpoint=2500	0	ordC_r2	facebook_page_reference	0.2248	0.2247	0.7846	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=midterm|checkpoint=2500	0	ordC_r2	midterm	0.2398	0.2398	0.8588	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=twibot20|checkpoint=2500	0	ordC_r2	twibot20	0.3243	0.3244	0.9097	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=ukr_rus|checkpoint=2500	0	ordC_r2	ukr_rus	0.3056	0.3056	0.8533	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r2|target=ukr_rus_suspended|checkpoint=2500	0	ordC_r2	ukr_rus_suspended	0.1525	0.1524	0.7972	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker0.log
prodigy|seed=0|model=ordC_r3|target=covid|checkpoint=2500	0	ordC_r3	covid	0.5568	0.5568	0.9594	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
prodigy|seed=0|model=ordC_r3|target=covid_political|checkpoint=2500	0	ordC_r3	covid_political	0.1586	0.1585	0.8454	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker3.log
