rung	prefix	newcomer_dataset	newcomer_graph_id	graph_filename
2	nm_ladder_global_h2m_r2	covid19_twitter	covid	ukr_rus_covid_retweet_graph.pt
3	nm_ladder_global_h2m_r3	midterm	midterm	ukr_rus_covid_midterm_retweet_graph.pt
4	nm_ladder_global_h2m_r4	covid_political	covid_political	ukr_rus_covid_midterm_4src_retweet_graph.pt
5	nm_ladder_global_h2m_r5	election2020	election2020	ukr_rus_covid_midterm_5src_retweet_graph.pt
6	nm_ladder_global_h2m_r6	ukr_rus_suspended	ukr_rus_suspended	ukr_rus_covid_midterm_6src_retweet_graph.pt
7	nm_ladder_global_h2m_r7	twibot20	twibot20	ukr_rus_covid_midterm_7src_retweet_graph.pt
8	nm_ladder_global_h2m_r8	cp_hk_twitter	cp_hk	ukr_rus_covid_midterm_all8_retweet_graph.pt
