training_seed	model_id	sources	checkpoint_step	dataset	episodes	queries	episode_fingerprint	roc_auc	accuracy	f1
0	all9	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference	2500	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.921219719780816	0.8623046875	0.7622259696458684
0	all9	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference	2500	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.9921875	0.984375	0.9846153846153847
0	all9	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference	2500	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7694511413574219	0.7041015625	0.7002967359050445
0	all9	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference	2500	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6129188537597656	0.5804036458333334	0.5856637737062038
0	all9	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference	2500	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.4967041015625	0.50390625	0.4940239043824701
0	ordA_r2	ukr_rus,covid	2500	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9424500641999422	0.8844401041666666	0.7967945048654836
0	ordA_r2	ukr_rus,covid	2500	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.98944091796875	0.984375	0.9846153846153847
0	ordA_r2	ukr_rus,covid	2500	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7521286010742188	0.6728515625	0.6660019940179461
0	ordA_r2	ukr_rus,covid	2500	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.5950018564860026	0.5680338541666666	0.6028135288835678
0	ordA_r2	ukr_rus,covid	2500	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.51068115234375	0.5078125	0.47058823529411764
0	ordA_r3	ukr_rus,covid,midterm	2500	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9227461638274016	0.8805338541666666	0.7865037812681792
0	ordA_r3	ukr_rus,covid,midterm	2500	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.9820556640625	0.984375	0.9846153846153847
0	ordA_r3	ukr_rus,covid,midterm	2500	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7487602233886719	0.6845703125	0.6720812182741117
0	ordA_r3	ukr_rus,covid,midterm	2500	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.5982943640814888	0.57421875	0.595046439628483
0	ordA_r3	ukr_rus,covid,midterm	2500	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.44488525390625	0.46484375	0.47104247104247104
0	ordA_r4	ukr_rus,covid,midterm,covid_political	2500	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.929329483597367	0.8736979166666666	0.781038374717833
0	ordA_r4	ukr_rus,covid,midterm,covid_political	2500	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.982757568359375	0.984375	0.9846153846153847
0	ordA_r4	ukr_rus,covid,midterm,covid_political	2500	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.726165771484375	0.6748046875	0.6639757820383451
0	ordA_r4	ukr_rus,covid,midterm,covid_political	2500	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.5857145521375868	0.5582682291666666	0.5810435319543069
0	ordA_r4	ukr_rus,covid,midterm,covid_political	2500	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.4708251953125	0.4765625	0.4596774193548387
0	ordA_r5	ukr_rus,covid,midterm,covid_political,election2020	2500	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9361108850549767	0.896484375	0.8125
