state,trial,action,source,gradient_cosine,conflict,update_norm,matched_scale,train_bce_delta,bce_before,bce_delta,auc_before,auc_delta_pp
initial,0,mixed,ukr_rus_twitter,0.6617864609498589,False,0.15235904064203815,1.0,0.014938130974769592,0.07761823572218417,0.014676835387945203,0.9897437653541565,0.032026696205122995
initial,0,mixed,facebook_page_reference,0.6617864609498589,False,0.15235904064203815,1.0,-0.08896881341934204,0.37319627404212946,-0.08587458133697501,0.8960884220600128,0.4052741527557413
initial,0,corrected,ukr_rus_twitter,0.6617864609498589,False,0.15235904064203815,1.0,0.014938130974769592,0.07761823572218417,0.014676835387945203,0.9897437653541565,0.032026696205122995
initial,0,corrected,facebook_page_reference,0.6617864609498589,False,0.15235904064203815,1.0,-0.08896881341934204,0.37319627404212946,-0.08587458133697501,0.8960884220600128,0.4052741527557413
initial,0,mixed_norm_matched,ukr_rus_twitter,0.6617864609498589,False,0.15235904064203815,1.0,0.014938130974769592,0.07761823572218417,0.014676835387945203,0.9897437653541565,0.032026696205122995
initial,0,mixed_norm_matched,facebook_page_reference,0.6617864609498589,False,0.15235904064203815,1.0,-0.08896881341934204,0.37319627404212946,-0.08587458133697501,0.8960884220600128,0.4052741527557413
initial,1,mixed,ukr_rus_twitter,0.3047328896147712,False,0.14668765093998162,1.0,0.013678714632987976,0.07761823572218417,0.011043041199445741,0.9897437653541565,0.029814100265490584
initial,1,mixed,facebook_page_reference,0.3047328896147712,False,0.14668765093998162,1.0,-0.08436441421508789,0.37319627404212946,-0.0823767259716987,0.8960884220600128,0.2807095527648906
initial,1,corrected,ukr_rus_twitter,0.3047328896147712,False,0.14668765093998162,1.0,0.013678714632987976,0.07761823572218417,0.011043041199445741,0.9897437653541565,0.029814100265490584
initial,1,corrected,facebook_page_reference,0.3047328896147712,False,0.14668765093998162,1.0,-0.08436441421508789,0.37319627404212946,-0.0823767259716987,0.8960884220600128,0.2807095527648906
initial,1,mixed_norm_matched,ukr_rus_twitter,0.3047328896147712,False,0.14668765093998162,1.0,0.013678714632987976,0.07761823572218417,0.011043041199445741,0.9897437653541565,0.029814100265490584
initial,1,mixed_norm_matched,facebook_page_reference,0.3047328896147712,False,0.14668765093998162,1.0,-0.08436441421508789,0.37319627404212946,-0.0823767259716987,0.8960884220600128,0.2807095527648906
