target,task,is_self,accuracy,f1,roc_auc
election2020,classification,False,0.943,0.943284,0.970828
covid_political,classification,False,0.706667,0.707203,0.777669
twibot20,classification,True,0.534333,0.5782,0.551237
ukr_rus_suspended,classification,False,0.512,0.536122,0.51708
twibot20,nm,True,0.483906,0.483896,0.950737
merged_covid_midterm,nm,False,0.501928,0.50192,0.940775
covid19_twitter,nm,False,0.499828,0.49982,0.940427
merged_ukr_rus_covid,nm,False,0.466294,0.466245,0.924319
ukr_rus_twitter,nm,False,0.339633,0.33964,0.852293
midterm,nm,False,0.2698,0.269864,0.847463
covid_political,nm,False,0.153522,0.153475,0.827115
election2020,nm,False,0.110133,0.109643,0.798102
ukr_rus_suspended,nm,False,0.130533,0.130627,0.689832
cp_hk_twitter,nm,False,0.480833,0.480711,0.684392
