comparison	cells	mean_node_only	mean_comparator	mean_delta	wins	heldout_cells	heldout_mean_delta	heldout_wins
neighborhood_only_vs_node_only	54	0.610098	0.639340	0.029242	37	48	0.035866	34
node_plus_neighborhood_vs_node_only	54	0.610098	0.661852	0.051754	43	48	0.057076	39
