predictor,kind,unordered_pairs,spearman_with_auc_asymmetry,graph_permutation_p_two_sided
edge_bio_coverage,signed_source_minus_target,36,-0.9041396656207992,0.0005
missing_bio_rate,signed_source_minus_target,36,0.8897187538364743,0.001
in_degree_gini,signed_source_minus_target,36,0.8442728442728443,0.002
feature_norm_mean,signed_source_minus_target,36,0.8110438991115259,0.004
largest_scc_frac,signed_source_minus_target,36,0.7418275418275418,0.015
feature_effective_dim,signed_source_minus_target,36,0.7142857142857143,0.0215
reciprocity,signed_source_minus_target,36,0.6448207697848138,0.043
dirichlet_energy,signed_source_minus_target,36,0.6115830115830116,0.0605
feature_homophily,signed_source_minus_target,36,-0.6115830115830116,0.057
in_degree_max,signed_source_minus_target,36,0.5639639639639641,0.086
out_degree_max,signed_source_minus_target,36,-0.5217503217503218,0.135
feature_homophily_random,signed_source_minus_target,36,-0.5111969111969112,0.124
out_degree_gini,signed_source_minus_target,36,-0.37940797940797943,0.271
n_nodes,signed_source_minus_target,36,0.25611325611325614,0.473
density,signed_source_minus_target,36,-0.2471042471042471,0.49
n_strongly_connected,signed_source_minus_target,36,0.2344916344916345,0.5245
n_weakly_connected,signed_source_minus_target,36,0.22213642213642215,0.5535
largest_wcc_frac,signed_source_minus_target,36,0.1456885456885457,0.694
degree_assortativity,signed_source_minus_target,36,0.1431145431145431,0.6835
n_edges,signed_source_minus_target,36,0.12947232947232948,0.729
isolated_fraction,signed_source_minus_target,36,0.09306714337694405,0.801
avg_clustering_approx,signed_source_minus_target,36,-0.027799227799227798,0.9405
in_degree_mean,signed_source_minus_target,36,-0.023166023166023165,0.953
out_degree_mean,signed_source_minus_target,36,-0.023166023166023165,0.952
