dataset,target,features_only_spearman
covid19_twitter,account_age_days,0.010535915459730646
covid19_twitter,followers_count,0.11880405450905833
covid19_twitter,statuses_count,0.055929440975750255
midterm,account_age_days,0.039823129990235316
midterm,followers_count,0.25969095768960315
midterm,statuses_count,0.05455768194450865
twibot20,account_age_days,0.03705528068893218
twibot20,followers_count,0.1597396683482624
twibot20,statuses_count,0.11838851675286131
ukr_rus_twitter,account_age_days,0.009549186014184743
ukr_rus_twitter,followers_count,0.20898877007055375
ukr_rus_twitter,statuses_count,0.12517741798078721
