dataset,target,spearman,spearman_fulldata,shots,n,seed
ukr_rus_suspended,followers_count,0.173325443726002,nan,10,56440,451
ukr_rus_suspended,statuses_count,0.04929661299468561,nan,10,56440,451
ukr_rus_suspended,account_age_days,0.025140076939193404,nan,10,56440,451
twibot20,followers_count,0.16876272726470146,nan,10,162988,451
twibot20,statuses_count,0.1209250204552993,nan,10,162988,451
twibot20,account_age_days,0.04884586029016478,nan,10,162988,451
