source,model,covid_political,election2020,ukr_rus_suspended,twibot20,mean
ukr_rus_twitter,nm_ss_ukr_rus_twitter,0.904609,0.984552,0.49788200000000005,0.630633625,0.75441915625
covid19_twitter,nm_ss_covid19_twitter,0.9074704027777778,0.982676,0.49838000000000005,0.6016127499999999,0.7475347881944445
midterm,nm_ss_midterm,0.8205045555555557,0.976084,0.497854,0.5252394861111112,0.7049205104166667
covid_political,nm_ss_covid_political,0.9211452083333334,0.980246,0.489162,0.5227526805555556,0.7283264722222222
election2020,nm_ss_election2020,0.8799622777777778,0.984972,0.526674,0.521764625,0.7283432256944444
ukr_rus_suspended,nm_ss_ukr_rus_suspended,0.7319930138888889,0.8850640000000001,0.465546,0.5672257222222221,0.6624571840277778
twibot20,nm_ss_twibot20,0.8895137638888889,0.979368,0.49479799999999996,0.6289819166666667,0.7481654201388889
cp_hk_twitter,nm_ss_cp_hk_twitter,0.721683125,0.7989740000000001,0.5045820000000001,0.5786785138888889,0.6509794097222222
