dataset,target,spearman,spearman_fulldata,shots,n,seed
ukr_rus_suspended,followers_count,0.1440151558107837,nan,10,56440,449
ukr_rus_suspended,statuses_count,0.026320737937509213,nan,10,56440,449
ukr_rus_suspended,account_age_days,0.024397472099147763,nan,10,56440,449
twibot20,followers_count,0.13117761299682765,nan,10,162988,449
twibot20,statuses_count,0.11818233147938464,nan,10,162988,449
twibot20,account_age_days,0.039360979610108426,nan,10,162988,449
