dataset,target,spearman,spearman_fulldata,shots,n,seed
ukr_rus_suspended,followers_count,0.07621955128655973,nan,10,56440,451
ukr_rus_suspended,statuses_count,0.0870606613049973,nan,10,56440,451
ukr_rus_suspended,account_age_days,0.17182602201621847,nan,10,56440,451
twibot20,followers_count,0.3635006903914897,nan,10,162988,451
twibot20,statuses_count,0.27346742576201394,nan,10,162988,451
twibot20,account_age_days,0.08313803362943396,nan,10,162988,451
