dataset,target,spearman,spearman_fulldata,shots,n,seed
ukr_rus_suspended,followers_count,0.08172509780451888,nan,10,56440,452
ukr_rus_suspended,statuses_count,0.10881567693962649,nan,10,56440,452
ukr_rus_suspended,account_age_days,0.12284700167664935,nan,10,56440,452
twibot20,followers_count,0.402022818770898,nan,10,162988,452
twibot20,statuses_count,0.2712832527309689,nan,10,162988,452
twibot20,account_age_days,0.05291035485157053,nan,10,162988,452
