baseline,dataset,target,mean,std,n
raw_features,ukr_rus_suspended,followers_count,0.16732271269516674,0.013223266138040349,5
raw_features,ukr_rus_suspended,statuses_count,0.046626611060376064,0.011735416223397513,5
raw_features,ukr_rus_suspended,account_age_days,0.019927146095248573,0.007228063085502461,5
raw_features,twibot20,followers_count,0.15812107300332615,0.015386029021535429,5
raw_features,twibot20,statuses_count,0.11163697783291796,0.010914360143446235,5
raw_features,twibot20,account_age_days,0.04231908585072467,0.005210041146258726,5
raw_degree,ukr_rus_suspended,followers_count,0.06799907585117329,0.013672857937259567,5
raw_degree,ukr_rus_suspended,statuses_count,0.10055170752631408,0.012818023290455876,5
raw_degree,ukr_rus_suspended,account_age_days,0.14527931020818993,0.025633643629429333,5
raw_degree,twibot20,followers_count,0.3881676933528573,0.019775515392612807,5
raw_degree,twibot20,statuses_count,0.2707175048863108,0.007102171279552028,5
raw_degree,twibot20,account_age_days,0.06459027001405716,0.013419621512388683,5
random_init,ukr_rus_suspended,followers_count,0.012292824918531065,0.09325155767068147,5
random_init,ukr_rus_suspended,statuses_count,0.007271098469010358,0.040554428108910835,5
random_init,ukr_rus_suspended,account_age_days,0.015145878077066527,0.05475316161383804,5
random_init,twibot20,followers_count,0.0522839847996983,0.20043241943228754,5
random_init,twibot20,statuses_count,0.024685139890349574,0.15391606886199646,5
random_init,twibot20,account_age_days,0.01004271100520959,0.0718296572473836,5
