order,rung,n_sources,test_graph,test_canonical,auc,entry_rung,rel_to_entry,in_training,added,sources,status,provenance
A,1,1,ukr_rus_twitter,ukraine,0.948,1,0,1,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,covid19_twitter,covid,0.973,2,-1,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,midterm,midterm,0.874,3,-2,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,covid_political,covid-political,0.849,4,-3,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,election2020,election2020-political,0.828,5,-4,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,ukr_rus_suspended,ukraine-suspended,0.771,6,-5,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,twibot20,twibot20,0.921,7,-6,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,1,1,cp_hk_twitter,hongkong,0.724,8,-7,0,ukr_rus,ukr_rus,reuse,order-A ladder rung 1 (nm_ladder_full.csv)
A,2,2,ukr_rus_twitter,ukraine,0.945,1,1,1,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,2,2,covid19_twitter,covid,0.98,2,0,1,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,2,2,midterm,midterm,0.885,3,-1,0,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,2,2,covid_political,covid-political,0.843,4,-2,0,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,2,2,election2020,election2020-political,0.828,5,-3,0,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,2,2,ukr_rus_suspended,ukraine-suspended,0.775,6,-4,0,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,2,2,twibot20,twibot20,0.925,7,-5,0,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
