arm,weight,logged_checkpoints,both_preserved_checkpoints,maximum_ukraine_delta_pp,maximum_facebook_delta_pp
kd_w010,0.1,31,0,-0.015992212295545816,0.7221450328826928
kd_w030,0.3,31,0,-0.032160758972177295,0.7221450328826928
kd_w050,0.5,31,0,-0.04621698856354106,0.7235364913940612
kd_w100,1.0,31,0,-0.10846800804137358,0.7370806932449292
