arm,weight,additional_step,logical_step,checkpoint,ukraine_validation_auc_pct,ukraine_validation_bce,ukraine_delta_singleton_pp,ukraine_hard_label_training_bce,retains_ukraine,ukraine_supervised_updates,ukraine_kd_updates,ukraine_positive_examples,ukraine_negative_examples,ukraine_supervised_positive_examples,ukraine_supervised_negative_examples,ukraine_kd_positive_examples,ukraine_kd_negative_examples,facebook_validation_auc_pct,facebook_validation_bce,facebook_delta_singleton_pp,facebook_hard_label_training_bce,retains_facebook,facebook_supervised_updates,facebook_kd_updates,facebook_positive_examples,facebook_negative_examples,facebook_supervised_positive_examples,facebook_supervised_negative_examples,facebook_kd_positive_examples,facebook_kd_negative_examples,retains_both
kd_w010,0.1,0,40000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_000000.pt,98.74585928916932,0.08812026716768742,-0.2285172462463403,0.08655679523944854,False,20000,0,20470890,102354450,20470890,102354450,0,0,96.10667834281921,0.1697579078376293,0.7221450328826928,0.12690456099808214,True,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355,False
kd_w010,0.1,2000,42000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_002000.pt,98.77129881381987,0.087084736302495,-0.20307772159577908,0.08500456139445306,False,21000,0,21494890,107474450,21494890,107474450,0,0,95.93348639011381,0.1738099202513695,0.5489530801773057,0.1354529529809952,True,5000,16000,21289456,106447280,5069279,25346395,16220177,81100885,False
kd_w010,0.1,4000,44000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_004000.pt,98.74697227478029,0.08556241393089295,-0.22740426063536656,0.08279706723988055,False,22000,0,22517979,112589895,22517979,112589895,0,0,95.8218045949936,0.1758807510137558,0.4372712850570837,0.13754098564386366,True,5000,17000,22303545,111517725,5069279,25346395,17234266,86171330,False
kd_w010,0.1,6000,46000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_006000.pt,98.75665192604066,0.08732688836753368,-0.21772460937499183,0.08423717506229877,False,23000,0,23541979,117709895,23541979,117709895,0,0,95.73193905353547,0.1809300668537617,0.3474057435989497,0.14198453500866892,True,5000,18000,23317051,116585255,5069279,25346395,18247772,91238860,False
kd_w010,0.1,8000,48000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_008000.pt,98.78816752433777,0.08635209426283838,-0.1862090110778869,0.08341089859604835,False,24000,0,24565068,122825340,24565068,122825340,0,0,95.76765093803405,0.17889927923679352,0.38311762809754013,0.14102538824081418,True,5000,19000,24330557,121652785,5069279,25346395,19261278,96306390,False
kd_w010,0.1,10000,50000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_010000.pt,98.76319596767425,0.08685077168047428,-0.21118056774140914,0.08341646604239941,False,25000,0,25588157,127940785,25588157,127940785,0,0,95.70452799797057,0.17946981117129326,0.3199946880340643,0.14605037271976473,True,5000,20000,25344646,126723230,5069279,25346395,20275367,101376835,False
kd_w010,0.1,12000,52000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_012000.pt,98.85058073997497,0.08583563305437565,-0.12379579544068431,0.08332460075616836,False,26000,0,26612157,133060785,26612157,133060785,0,0,95.79178178310394,0.17707188427448278,0.40724847316743196,0.14520282074809074,True,5000,21000,26358152,131790760,5069279,25346395,21288873,106444365,False
kd_w010,0.1,14000,54000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_014000.pt,98.82152037620544,0.08729245811700821,-0.1528561592102129,0.08360467590391636,False,27000,0,27635246,138176230,27635246,138176230,0,0,95.67702827453613,0.18169326707720757,0.29249496459961,0.1448560021817684,True,5000,22000,27372241,136861205,5069279,25346395,22302962,111514810,False
kd_w010,0.1,16000,56000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_016000.pt,98.83563704490662,0.08265264555811883,-0.13873949050903223,0.0790112767368555,False,28000,0,28659246,143296230,28659246,143296230,0,0,95.67740297317503,0.17790903076529505,0.29286966323852637,0.14554229155182835,True,5000,23000,28385747,141928735,5069279,25346395,23316468,116582340,False
kd_w010,0.1,18000,58000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_018000.pt,98.8578271150589,0.0815981972962618,-0.11654942035675964,0.07781069055199624,False,29000,0,29682335,148411675,29682335,148411675,0,0,95.78349585533144,0.17707854136824602,0.3989625453949208,0.1428812615573406,True,5000,24000,29399836,146999180,5069279,25346395,24330557,121652785,False
kd_w010,0.1,20000,60000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_020000.pt,98.8116060256958,0.09066306352615357,-0.16277050971985618,0.08645054735243321,False,30000,0,30706335,153531675,30706335,153531675,0,0,95.59396572113037,0.18646757379174228,0.20943241119385503,0.14985621646046643,True,5000,25000,30413342,152066710,5069279,25346395,25344063,126720315,False
kd_w010,0.1,22000,62000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_022000.pt,98.90228297710418,0.08268843144178392,-0.07209355831147013,0.0793678231537342,False,31000,0,31729424,158647120,31729424,158647120,0,0,95.72973129749298,0.17828548848628997,0.345197987556467,0.14792387709021565,True,5000,26000,31427431,157137155,5069279,25346395,26358152,131790760,False
kd_w010,0.1,24000,64000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_024000.pt,98.89049553871155,0.08035030253231525,-0.08388099670411098,0.07678088694810865,False,32000,0,32753424,163767120,32753424,163767120,0,0,95.7261995077133,0.17766891568899157,0.34166619777679097,0.14514451175928114,True,5000,27000,32440937,162204685,5069279,25346395,27371658,136858290,False
kd_w010,0.1,26000,66000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_026000.pt,98.93173549175262,0.08255435898900033,-0.04264104366302757,0.07926998101174831,False,33000,0,33776513,168882565,33776513,168882565,0,0,95.81588773727418,0.1779364250600338,0.43135442733766016,0.1484380140900612,True,5000,28000,33455026,167275130,5069279,25346395,28385747,141928735,False
kd_w010,0.1,28000,68000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_028000.pt,98.84064218997956,0.08466723263263701,-0.1337343454360984,0.08024511113762857,False,34000,0,34800513,174002565,34800513,174002565,0,0,95.66727926731109,0.1810226172208786,0.282745957374575,0.14633278101682662,True,5000,29000,34468532,172342660,5069279,25346395,29399253,146996265,False
kd_w010,0.1,30000,70000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_030000.pt,98.89886767864228,0.08007406853139402,-0.07550885677337638,0.07611500844359395,False,35000,0,35823602,179118010,35823602,179118010,0,0,95.75768411159514,0.17643878534436228,0.37315080165862824,0.14569445922970775,True,5000,30000,35482038,177410190,5069279,25346395,30412759,152063795,False
kd_w010,0.1,32000,72000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_032000.pt,98.90787086486816,0.0796852521598339,-0.06650567054748979,0.07532815262675284,False,36000,0,36847602,184238010,36847602,184238010,0,0,95.72307283878328,0.17784734591841692,0.33853952884675964,0.14723996371030806,True,5000,31000,36496127,182480635,5069279,25346395,31426848,157134240,False
kd_w010,0.1,34000,74000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_034000.pt,98.9577079296112,0.08310115188360215,-0.01666860580444851,0.07912381663918493,False,37000,0,37870691,189353455,37870691,189353455,0,0,95.81501190662382,0.17938010469079016,0.4304785966873115,0.1513338305056095,True,5000,32000,37509633,187548165,5069279,25346395,32440354,162201770,False
kd_w010,0.1,36000,76000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_036000.pt,98.95838432312011,0.08644238635897639,-0.015992212295545816,0.083293791487813,False,38000,0,38894691,194473455,38894691,194473455,0,0,95.66935935020446,0.18416239619255062,0.2848260402679492,0.15863365083932876,True,5000,33000,38523722,192618610,5069279,25346395,33454443,167272215,False
kd_w010,0.1,38000,78000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_038000.pt,98.94788661003113,0.08019514083862306,-0.026489925384520774,0.07557075284421444,False,39000,0,39917780,199588900,39917780,199588900,0,0,95.77130014896393,0.17731555178761485,0.38676683902741926,0.14735356867313384,True,5000,34000,39537228,197686140,5069279,25346395,34467949,172339745,False
kd_w010,0.1,40000,80000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_040000.pt,98.91741948127746,0.07953511103987691,-0.05695705413819585,0.07481682784855366,False,40000,0,40941780,204708900,40941780,204708900,0,0,95.75529825687408,0.17843111976981163,0.370764946937574,0.14565884321928024,True,5000,35000,40551317,202756585,5069279,25346395,35482038,177410190,False
kd_w010,0.1,42000,82000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_042000.pt,98.92058062553406,0.0804050762206316,-0.05379590988159322,0.07540216222405434,False,41000,0,41964869,209824345,41964869,209824345,0,0,95.68601019382474,0.17895319461822506,0.3014768838882298,0.14633299931883811,True,5000,36000,41564823,207824115,5069279,25346395,36495544,182477720,False
kd_w010,0.1,44000,84000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_044000.pt,98.95178980827332,0.07889270894229412,-0.02258672714233745,0.07422666773200035,False,42000,0,42988869,214944345,42988869,214944345,0,0,95.76901378631592,0.17830223068594933,0.38448047637941185,0.14610718935728076,True,5000,37000,42578912,212894560,5069279,25346395,37509633,187548165,False
