arm,target,checkpoint_step,roc_auc,bce,average_precision
extended_bce,ukr_rus_twitter,100000,0.9887395918367349,0.08123333368668194,0.9681886058628342
extended_bce,covid19_twitter,100000,0.9603283673469388,0.190720534553049,0.8885563464950808
extended_bce,midterm,100000,0.9360345918367347,0.28665442750457615,0.7779998280833385
extended_bce,covid_political,100000,0.954319081632653,0.1894980938417544,0.8671361874306748
extended_bce,ukr_rus_suspended,100000,0.9462387244897957,0.22194675079123624,0.8482031308977619
extended_bce,twibot20,100000,0.9376297959183674,0.2480105739211284,0.7993280764358952
extended_bce,cp_hk_twitter,100000,0.9612811224489795,0.18832501377604743,0.8743893410300523
extended_bce,facebook_page_reference,100000,0.9493964285714284,0.29187340653791366,0.8703013622290654
async_kd,ukr_rus_twitter,40000,0.9892741836734695,0.08284090215272188,0.9685698473515196
async_kd,covid19_twitter,40000,0.9664211224489796,0.158948607776073,0.9066340105300102
async_kd,midterm,40000,0.9428330612244898,0.2401331904377864,0.7937744349038183
async_kd,covid_political,40000,0.9612871428571429,0.17155961978458936,0.8762868203186172
async_kd,ukr_rus_suspended,40000,0.9490757142857144,0.21217176651630196,0.8484662417061322
async_kd,twibot20,40000,0.9438184693877552,0.23549287296215918,0.8184579424453466
async_kd,cp_hk_twitter,40000,0.9699145918367348,0.15346076929831073,0.9118958082603579
async_kd,facebook_page_reference,40000,0.9567787755102041,0.17699122386779415,0.874728111099196
rewind_bce,ukr_rus_twitter,100000,0.9887395918367349,0.08123333368668194,0.9681886058628342
rewind_bce,covid19_twitter,100000,0.9603283673469388,0.190720534553049,0.8885563464950808
rewind_bce,midterm,100000,0.9360345918367347,0.28665442750457615,0.7779998280833385
rewind_bce,covid_political,100000,0.954319081632653,0.1894980938417544,0.8671361874306748
rewind_bce,ukr_rus_suspended,100000,0.9462387244897957,0.22194675079123624,0.8482031308977619
rewind_bce,twibot20,100000,0.9376297959183674,0.2480105739211284,0.7993280764358952
rewind_bce,cp_hk_twitter,100000,0.9612811224489795,0.18832501377604743,0.8743893410300523
rewind_bce,facebook_page_reference,100000,0.9493964285714284,0.29187340653791366,0.8703013622290654
extended_bce_matched,ukr_rus_twitter,40000,0.9863412244897959,0.0881414272225098,0.9631490448335362
extended_bce_matched,covid19_twitter,40000,0.9602935714285715,0.18361592130355622,0.8858386603545783
extended_bce_matched,midterm,40000,0.934123163265306,0.2630370319164256,0.7789113645565455
extended_bce_matched,covid_political,40000,0.9437076020408164,0.20607336855969263,0.8356156370493304
extended_bce_matched,ukr_rus_suspended,40000,0.9434778061224489,0.22669632692287658,0.8353939962739267
extended_bce_matched,twibot20,40000,0.9373485714285715,0.24095329744560878,0.7959387693266841
extended_bce_matched,cp_hk_twitter,40000,0.9574065306122449,0.18409027585094193,0.8747504139192758
extended_bce_matched,facebook_page_reference,40000,0.9537281632653061,0.21777306121609613,0.8746979090464153
rewind_bce_matched,ukr_rus_twitter,40000,0.9863412244897959,0.0881414272225098,0.9631490448335362
rewind_bce_matched,covid19_twitter,40000,0.9602935714285715,0.18361592130355622,0.8858386603545783
rewind_bce_matched,midterm,40000,0.934123163265306,0.2630370319164256,0.7789113645565455
rewind_bce_matched,covid_political,40000,0.9437076020408164,0.20607336855969263,0.8356156370493304
rewind_bce_matched,ukr_rus_suspended,40000,0.9434778061224489,0.22669632692287658,0.8353939962739267
rewind_bce_matched,twibot20,40000,0.9373485714285715,0.24095329744560878,0.7959387693266841
rewind_bce_matched,cp_hk_twitter,40000,0.9574065306122449,0.18409027585094193,0.8747504139192758
rewind_bce_matched,facebook_page_reference,40000,0.9537281632653061,0.21777306121609613,0.8746979090464153
