arm,source,logical_steps,physical_steps,validation_auc,validation_bce,training_bce,supervised_updates,kd_updates,positive_examples,negative_examples,supervised_positive_examples,supervised_negative_examples,kd_positive_examples,kd_negative_examples
extended_bce,ukr_rus_twitter,100000,100000,98.62324917316437,0.09142704643309114,0.08614758886396885,50000,0,51176314,255881570,51176314,255881570,0,0
async_kd,ukr_rus_twitter,40000,52000,98.74585928916932,0.08812026716768742,0.08655679523944854,20000,0,20470890,102354450,20470890,102354450,0,0
rewind_bce,ukr_rus_twitter,100000,90000,98.62324917316437,0.09142704643309114,0.08614758886396885,50000,0,51176314,255881570,51176314,255881570,0,0
extended_bce,facebook_page_reference,100000,100000,95.09357979297637,0.28852619081735614,0.034880594164133076,50000,0,50688709,253443545,50688709,253443545,0,0
async_kd,facebook_page_reference,40000,52000,96.10667834281921,0.1697579078376293,0.12690456099808214,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355
rewind_bce,facebook_page_reference,100000,90000,95.09357979297637,0.28852619081735614,0.034880594164133076,50000,0,50688709,253443545,50688709,253443545,0,0
